SampleID,CampylobacterCulturable_MPNPerML,DetectionLevel,CampylobacterCulturable_MPNPer100ML
A-101-S-30-T,0.03,BDL,3
A-101-S-T2,0.03,BDL,3
A-203-P-T2,0.03,BDL,3
A-204-X-30-T,0.03,BDL,3
A-204-X-T2,0.03,BDL,3
A-209-C-30-T,0.0041,BDL,0.41
A-209-C-T2,0.0041,BDL,0.41
A-405-X-30-T,0.03,BDL,3
A-406-S-30-T,0.03,BDL,3
A-406-S-T2-a,0.03,BDL,3
A-407-X-30-T,0.0041,BDL,0.41
A-408-P-T2,2.2,BDL,220
A-410-S-30-T,0.0032,BDL,0.32
A-410-S-T2,0.0032,BDL,0.32
A-102-P-30-T,0.16,WR,16
A-102-P-T2,2.9,WR,290
A-104-X-T2,0.29,WR,29
A-105-X-30-T,0.029,WR,2.9
A-105-X-T2,0.02,WR,2
A-106-P-30-T,0.23,WR,23
A-106-P-T2,0.054,WR,5.4
A-107-C-30-T,0.017,WR,1.7
A-107-C-T2,0.0083,WR,0.83
A-108-P-30-T,0.13,WR,13
A-108-P-T2,0.32,WR,32
A-109-C-40-T,0.29,WR,29
A-109-C-T2,0.93,WR,93
A-110-C-T2-a,0.93,WR,93
A-110-C-T2-b,0.29,WR,29
A-111-S-30-T,0.04,WR,4
A-111-S-T2,0.029,WR,2.9
A-112-P-30-T,0.07,WR,7
A-112-P-T2,0.019,WR,1.9
A-201-P-30-T,0.16,WR,16
A-201-P-T2,0.032,WR,3.2
A-202-S-30-T,0.047,WR,4.7
A-202-S-T2,0.047,WR,4.7
A-203-P-30-T,0.21,WR,21
A-205-C-30-T,0.23,WR,23
A-205-C-T2-a,2.4,WR,240
A-206-P-30-T,0.23,WR,23
A-206-P-T2,0.23,WR,23
A-210-S-T2,0.48,WR,48
A-307-C-30-T,0.017,WR,1.7
A-307-C-T2,0.013,WR,1.3
A-308-X-30-T,2.2,WR,220
A-308-X-T2,0.013,WR,1.3
A-401-S-30-T,0.021,WR,2.1
A-401-S-T2,0.013,WR,1.3
A-402-X-30-T,0.023,WR,2.3
A-402-X-T2,0.023,WR,2.3
A-403-C-30-T,0.03,WR,3
A-403-C-T2,0.92,WR,92
A-404-P-30-T,0.034,WR,3.4
A-404-P-T2,0.044,WR,4.4
A-405-X-T2,0.062,WR,6.2
A-407-X-T2,0.48,WR,48
A-408-P-30-T,0.48,WR,48
A-409-C-30-T,0.0096,WR,0.96
A-409-C-T2,0.0064,WR,0.64
A-411-S-T2,0.092,WR,9.2
A-412-C-T2,0.21,WR,21
A-501-X-30-T,0.013,WR,1.3
A-501-X-T2,0.021,WR,2.1
A-502-S-30-T,0.021,WR,2.1
A-502-S-T2,0.0042,WR,0.42
A-503-C-30-T,0.013,WR,1.3
A-503-C-T2,0.0063,WR,0.63
A-504-X-30-T,0.0096,WR,0.96
A-504-X-T2,0.0096,WR,0.96
