SampleID,Campylobacter_GUPerML,DetectionLevel,Campylobacter_GUPer100ML
A-101-S-30-T,0.99,BDL,99
A-101-S-T2,2.034,BDL,203.4
A-102-P-30-T,5.654737012,BQL,565.4737012
A-102-P-T2,0.54,BDL,54
A-109-C-40-T,1.54,BDL,154
A-109-C-T2,2.754,BDL,275.4
A-110-C-T2-a,0.612,BDL,61.2
A-110-C-T2-b,1.26,BDL,126
A-203-P-30-T,0.54,BDL,54
A-203-P-T2,0.54,BDL,54
A-204-X-30-T,1.08,BDL,108
A-204-X-T2,1.224,BDL,122.4
A-205-C-30-T,0.81,BDL,81
A-205-C-T2-a,0.99,BDL,99
A-206-P-30-T,0.54,BDL,54
A-206-P-T2,0.504738,BQL,50.4738
A-405-X-30-T,1.728,BDL,172.8
A-405-X-T2,0.9,BDL,90
A-406-S-30-T,0.9,BDL,90
A-406-S-T2-a,3.06,BDL,306
A-411-S-T2,2.304,BDL,230.4
A-412-C-T2,1.320084,BQL,132.0084
A-104-x-T2,0.801,BDL,80.1
A-108-P-30-T,0.54,BDL,54
A-108-P-T2,2.86902,BQL,286.902
A-501-X-30-T,1.782,BDL,178.2
A-501-X-T2,1.458,BDL,145.8
A-502-S-30-T,0.882,BDL,88.2
A-502-S-T2,1.098,BDL,109.8
A-107-C-30-T,2.484,BDL,248.4
A-107-C-T2,1.926,BDL,192.6
A-111-S-30-T,0.774,BDL,77.4
A-111-S-T2,0.918,BDL,91.8
A-112-P-30-T,0.63,BDL,63
A-112-P-T2,0.936,BDL,93.6
A-209-C-30-T,0.828,BDL,82.8
A-209-C-T2,1.9125,BDL,191.25
A-210-S-T2,1.17,BDL,117
A-307-C-30-T,1.17,BDL,117
A-307-C-T2,0.792,BDL,79.2
A-308-X-30-T,2.592,BDL,259.2
A-308-X-T2,0.54,BDL,54
A-407-X-30-T,2.286,BDL,228.6
A-407-X-T2,1.386,BDL,138.6
A-408-P-30-T,0.84375,BDL,84.375
A-408-P-T2,2.53125,BDL,253.125
A-105-X-30-T,0.918,BDL,91.8
A-105-X-T2,1.17,BDL,117
A-106-P-30-T,1.062,BDL,106.2
A-106-P-T2,1.836,BDL,183.6
A-503-C-30-T,0.684,BDL,68.4
A-503-C-T2,1.134,BDL,113.4
A-504-X-30-T,1.728,BDL,172.8
A-504-X-T2,1.752228454,BDL,175.2228454
A-201-P-30-T,2.178,BDL,217.8
A-201-P-T2,1.854,BDL,185.4
A-202-S-30-T,2.592,BDL,259.2
A-202-S-T2,3.312,BDL,331.2
A-401-S-30-T,2.664,BDL,266.4
A-401-S-T2,0.954,BDL,95.4
A-402-X-30-T,2.448,BDL,244.8
A-402-X-T2,1.908,BDL,190.8
A-403-C-30-T,2.376,BDL,237.6
A-403-C-T2,3.132,BDL,313.2
A-404-P-30-T,0.9,BDL,90
A-404-P-T2,1.224,BDL,122.4
A-409-C-30-T,1.17,BDL,117
A-409-C-T2,1.44,BDL,144
A-410-S-30-T,2.736,BDL,273.6
A-410-S-T2,2.556,BDL,255.6
