SampleID,ClostridiumCulturable_TSCF_CFUPer100ml,DetectionLevel
A-104-X-15,0.0,BDL
A-110-C-15,0.0,BDL
A-110-C-T2-a,0.0,BDL
A-110-C-T2-b,0.0,BDL
A-112-P-T2,0.0,BDL
A-203-P-15,0.0,BDL
A-204-X-15,0.0,BDL
A-205-C-15,0.0,BDL
A-206-P-15,0.0,BDL
A-209-C-30-T,0.0,BDL
A-406-S-15,0.0,BDL
A-210-S-T2,,TNTC
A-101-S-15,30.0,WR
A-101-S-30-T,59.3,WR
A-101-S-T2,54.7,WR
A-102-P-15,3.3,WR
A-102-P-30-T,71.1,WR
A-102-P-T2,66.7,WR
A-104-X-T2,47.0,WR
A-105-X-15,4.0,WR
A-105-X-30-T,5.3,WR
A-105-X-T2,2.7,WR
A-106-P-15,135,WR
A-106-P-30-T,123,WR
A-106-P-T2,93.3,WR
A-107-C-15,179,WR
A-107-C-30-T,1050,WR
A-107-C-T2,443,WR
A-108-P-15,1399,WR
A-108-P-30-T,1032,WR
A-108-P-T2,573,WR
A-109-C-15,10.0,WR
A-109-C-40-T,3.3,WR
A-109-C-T2,10.0,WR
A-111-S-15,80.0,WR
A-111-S-30-T,43.3,WR
A-111-S-T2,63.3,WR
A-112-P-15,9.3,WR
A-112-P-30-T,2.7,WR
A-201-P-15,66.7,WR
A-201-P-30-T,43.3,WR
A-201-P-T2,38.3,WR
A-202-S-15,134,WR
A-202-S-30-T,140,WR
A-202-S-T2,140,WR
A-203-P-30-T,643,WR
A-203-P-T2,23.3,WR
A-204-X-30-T,76.7,WR
A-204-X-T2,36.7,WR
A-205-C-30-T,20.0,WR
A-205-C-T2-a,11.7,WR
A-206-P-30-T,26.7,WR
A-206-P-T2,13.3,WR
A-209-C-15,3.3,WR
A-209-C-T2,20.0,WR
A-210-S-15,43.3,WR
A-307-C-15,3.3,WR
A-307-C-30-T,2.0,WR
A-307-C-T2,1.7,WR
A-308-X-15,1.0,WR
A-308-X-30-T,7.7,WR
A-308-X-T2,3.7,WR
A-401-S-15,63.3,WR
A-401-S-30-T,73.7,WR
A-401-S-T2,67.3,WR
A-402-X-15,1770,WR
A-402-X-30-T,1780,WR
A-402-X-T2,1357,WR
A-403-C-15,82.3,WR
A-403-C-30-T,138,WR
A-403-C-T2,103,WR
A-404-P-15,1120,WR
A-404-P-30-T,773,WR
A-404-P-T2,617,WR
A-405-X-15,2.7,WR
A-405-X-30-T,30.7,WR
A-405-X-T2,37.3,WR
A-406-S-30-T,457,WR
A-406-S-T2-a,273,WR
A-407-X-15,1.7,WR
A-407-X-30-T,9.3,WR
A-407-X-T2,2.0,WR
A-408-P-15,17.3,WR
A-408-P-30-T,26.7,WR
A-408-P-T2,9.3,WR
A-409-C-15,153,WR
A-409-C-30-T,116,WR
A-409-C-T2,84.3,WR
A-410-S-15,197,WR
A-410-S-30-T,0.0,WR
A-410-S-T2,69.3,WR
A-411-S-15,0.7,WR
A-411-S-T2,117,WR
A-412-C-15,5.3,WR
A-412-C-T2,17.3,WR
A-501-X-15,17.7,WR
A-501-X-30-T,17.3,WR
A-501-X-T2,10.7,WR
A-502-S-15,34.0,WR
A-502-S-30-T,147,WR
A-502-S-T2,117,WR
A-503-C-15,7.3,WR
A-503-C-30-T,304,WR
A-503-C-T2,214,WR
A-504-X-15,14.0,WR
A-504-X-30-T,3.3,WR
A-504-X-T2,8.7,WR
