SampleID,Giardia_CystsPerLiter,DetectionLevel,Giardia_CystsPer100mL
A-101-S-30-T,0.27,BDL,0.026666667
A-101-S-T2,0.27,BDL,0.026666667
A-102-P-30-T,,ANP,0
A-102-P-T2,,ANP,0
A-109-C-40-T,129.50,WR,12.95
A-109-C-T2,260.00,WR,26
A-110-C-T2-a,194.00,WR,19.4
A-110-C-T2-b,65.00,WR,6.5
A-203-P-30-T,,ANP,0
A-203-P-T2,,ANP,0
A-204-X-30-T,0.67,BDL,0.066666667
A-204-X-T2,0.67,BDL,0.066666667
A-205-C-30-T,43.00,WR,4.3
A-205-C-T2-a,52.00,WR,5.2
A-206-P-30-T,,ANP,0
A-206-P-T2,,ANP,0
A-405-X-30-T,0.24,BDL,0.023529412
A-405-X-T2,0.25,BDL,0.025
A-406-S-30-T,0.25,BDL,0.025
A-406-S-T2-a,0.24,BDL,0.023529412
A-411-S-T2,0.21,BDL,0.021052632
A-412-C-T2,91.50,WR,9.15
A-104-X-T2,0.23,BDL,0.023255814
A-107-C-30-T,0.29,BDL,0.028985507
A-107-C-T2,0.25,BDL,0.024691358
A-108-P-30-T,,ANP,0
A-108-P-T2,,ANP,0
A-501-X-30-T,0.25,BDL,0.025
A-501-X-T2,0.23,BDL,0.022727273
A-502-S-30-T,0.22,BDL,0.021978022
A-502-S-T2,0.22,BDL,0.022222222
A-111-S-30-T,0.22,BDL,0.022222222
A-111-S-T2,0.22,BDL,0.021978022
A-112-P-30-T,,ANP,0
A-112-P-T2,,ANP,0
A-209-C-30-T,0.23,BDL,0.023255814
A-209-C-T2,0.49,WR,0.048780488
A-210-S-T2,0.23,BDL,0.023255814
A-105-X-30-T,0.40,BDL,0.04
A-105-X-T2,0.33,BDL,0.033333333
A-106-P-30-T,,ANP,0
A-106-P-T2,,ANP,0
A-307-C-30-T,0.63,BDL,0.0625
A-307-C-T2,0.50,WR,0.05
A-308-X-30-T,0.56,BDL,0.055555556
A-308-X-T2,0.22,BDL,0.021978022
A-407-X-30-T,0.24,BDL,0.023529412
A-407-X-T2,0.24,BDL,0.023529412
A-408-P-30-T,,ANP,0
A-408-P-T2,,ANP,0
A-503-C-30-T,0.40,BDL,0.04
A-503-C-T2,0.36,BDL,0.036363636
A-504-X-30-T,0.40,BDL,0.04
A-504-X-T2,0.40,BDL,0.04
A-201-P-30-T,,ANP,0
A-201-P-T2,,ANP,0
A-202-S-30-T,0.25,BDL,0.025
A-202-S-T2,0.25,BDL,0.025
A-401-S-30-T,0.24,BDL,0.023529412
A-401-S-T2,0.25,BDL,0.025
A-402-X-30-T,0.25,BDL,0.025
A-402-X-T2,0.25,BDL,0.025
A-403-C-30-T,0.36,BDL,0.036363636
A-403-C-T2,0.33,BDL,0.033333333
A-404-P-30-T,,ANP,0
A-404-P-T2,,ANP,0
A-409-C-30-T,0.27,BDL,0.027027027
A-409-C-T2,0.22,BDL,0.02247191
A-410-S-30-T,0.29,WR,0.029411765
A-410-S-T2,0.27,BDL,0.02739726
