PlotID,ManureTreatmentID,StudyID
101,M_S_Day1_A,A
102,M_P_Day1_A,A
104,M_X_Day4_A,A
105,M_X_Day1_A,A
106,M_P_Day1_A,A
107,M_C_Day1_A,A
108,M_P_Day1_A,A
109,M_C_Day1_A,A
110,M_C_Day1_A,A
111,M_S_Day2_A,A
112,M_P_Day2_A,A
201,M_P_Day2_A,A
202,M_S_Day2_A,A
203,M_P_Day2_A,A
204,M_X_Day2_A,A
205,M_C_Day2_A,A
206,M_P_Day2_A,A
209,M_C_Day2_A,A
210,M_S_Day2_A,A
307,M_C_Day3_A,A
308,M_X_Day3_A,A
401,M_S_Day2_A,A
402,M_X_Day2_A,A
403,M_C_Day3_A,A
404,M_P_Day3_A,A
405,M_X_Day3_A,A
406,M_S_Day3_A,A
407,M_X_Day3_A,A
408,M_P_Day3_A,A
409,M_C_Day3_A,A
410,M_S_Day3_A,A
411,M_S_Day3_A,A
412,M_C_Day3_A,A
501,M_X_Day1_A,A
502,M_S_Day1_A,A
503,M_C_Day1_A,A
504,M_X_Day1_A,A
