SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
A-101-S-5,R_101_A,101,A,,5,3.10
A-101-S-10,R_101_A,101,A,,10,7.14
A-101-S-15,R_101_A,101,A,,15,11.95
A-101-S-20,R_101_A,101,A,,20,16.91
A-101-S-30,R_101_A,101,A,,30,27.88
A-101-S-30-T,R_101_A,101,A,,30,27.88
A-101-S-60,R_101_A,101,A,,60,59.41
A-101-S-T1,R_101_A,101,A,,60,59.41
A-101-S-T2,R_101_A,101,A,,60,59.41
A-102-P-5,R_102_A,102,A,,5,2.71
A-102-P-10,R_102_A,102,A,,10,5.73
A-102-P-15,R_102_A,102,A,,15,9.23
A-102-P-20,R_102_A,102,A,,20,12.88
A-102-P-30,R_102_A,102,A,,30,20.58
A-102-P-30-T,R_102_A,102,A,,30,20.58
A-102-P-60,R_102_A,102,A,,60,40.87
A-102-P-T1,R_102_A,102,A,,60,40.87
A-102-P-T2,R_102_A,102,A,,60,40.87
A-104-X-5,R_104_A,104,A,25,5,0.97
A-104-X-10,R_104_A,104,A,30,10,2.04
A-104-X-15,R_104_A,104,A,35,15,3.28
A-104-X-20,R_104_A,104,A,40,20,4.87
A-104-X-30,R_104_A,104,A,50,30,8.25
A-104-X-30-T,R_104_A,104,A,55,30,8.25
A-104-X-60,R_104_A,104,A,80,60,22.79
A-104-X-T1,R_104_A,104,A,85,60,22.79
A-104-X-T2,R_104_A,104,A,85,60,22.79
A-105-X-5,R_105_A,105,A,8,5,3.48
A-105-X-10,R_105_A,105,A,13,10,9.02
A-105-X-15,R_105_A,105,A,18,15,14.98
A-105-X-20,R_105_A,105,A,23,20,21.38
A-105-X-30,R_105_A,105,A,33,30,34.25
A-105-X-30-T,R_105_A,105,A,38,30,34.25
A-105-X-60,R_105_A,105,A,63,60,74.34
A-105-X-T1,R_105_A,105,A,68,60,74.34
A-105-X-T2,R_105_A,105,A,68,60,74.34
A-106-P-5,R_106_A,106,A,,5,4.18
A-106-P-10,R_106_A,106,A,,10,9.65
A-106-P-15,R_106_A,106,A,,15,16.03
A-106-P-20,R_106_A,106,A,,20,22.45
A-106-P-30,R_106_A,106,A,,30,35.34
A-106-P-30-T,R_106_A,106,A,,30,35.34
A-106-P-60,R_106_A,106,A,,60,75.25
A-106-P-T1,R_106_A,106,A,,60,75.25
A-106-P-T2,R_106_A,106,A,,60,75.25
A-107-C-5,R_107_A,107,A,15,5,1.00
A-107-C-10,R_107_A,107,A,20,10,2.70
A-107-C-15,R_107_A,107,A,25,15,5.85
A-107-C-20,R_107_A,107,A,30,20,9.15
A-107-C-30,R_107_A,107,A,40,30,17.26
A-107-C-30-T,R_107_A,107,A,45,30,17.26
A-107-C-60,R_107_A,107,A,70,60,42.68
A-107-C-T1,R_107_A,107,A,75,60,42.68
A-107-C-T2,R_107_A,107,A,75,60,42.68
A-108-P-5,R_108_A,108,A,15,5,2.15
A-108-P-10,R_108_A,108,A,20,10,5.00
A-108-P-15,R_108_A,108,A,25,15,8.19
A-108-P-20,R_108_A,108,A,30,20,11.84
A-108-P-30,R_108_A,108,A,40,30,19.25
A-108-P-30-T,R_108_A,108,A,45,30,19.25
A-108-P-60,R_108_A,108,A,70,60,42.36
A-108-P-T1,R_108_A,108,A,75,60,42.36
A-108-P-T2,R_108_A,108,A,75,60,42.36
A-109-C-5,R_109_A,109,A,,5,1.05
A-109-C-10,R_109_A,109,A,,10,3.00
A-109-C-15,R_109_A,109,A,,15,5.99
A-109-C-20,R_109_A,109,A,,20,9.24
A-109-C-30,R_109_A,109,A,,30,16.30
A-109-C-30-T,R_109_A,109,A,,30,16.30
A-109-C-60,R_109_A,109,A,,60,40.57
A-109-C-T1,R_109_A,109,A,,60,40.57
A-109-C-T2,R_109_A,109,A,,60,40.57
A-110-C-5,R_110_A,110,A,,5,0.55
A-110-C-10,R_110_A,110,A,,10,2.40
A-110-C-15,R_110_A,110,A,,15,4.69
A-110-C-20,R_110_A,110,A,,20,6.84
A-110-C-30,R_110_A,110,A,,30,12.69
A-110-C-30-T,R_110_A,110,A,,30,12.69
A-110-C-60,R_110_A,110,A,,60,37.56
A-110-C-T1,R_110_A,110,A,,60,37.56
A-110-C-T2,R_110_A,110,A,,60,37.56
A-111-S-5,R_111_A,111,A,48,5,1.44
A-111-S-10,R_111_A,111,A,53,10,3.71
A-111-S-15,R_111_A,111,A,58,15,6.68
A-111-S-20,R_111_A,111,A,63,20,10.04
A-111-S-30,R_111_A,111,A,73,30,18.02
A-111-S-30-T,R_111_A,111,A,78,30,18.02
A-111-S-60,R_111_A,111,A,103,60,43.39
A-111-S-T1,R_111_A,111,A,108,60,43.39
A-111-S-T2,R_111_A,111,A,108,60,43.39
A-112-P-5,R_112_A,112,A,48,5,1.51
A-112-P-10,R_112_A,112,A,53,10,4.23
A-112-P-15,R_112_A,112,A,58,15,7.52
A-112-P-20,R_112_A,112,A,63,20,11.20
A-112-P-30,R_112_A,112,A,73,30,19.18
A-112-P-30-T,R_112_A,112,A,78,30,19.18
A-112-P-60,R_112_A,112,A,103,60,46.86
A-112-P-T1,R_112_A,112,A,108,60,46.86
A-112-P-T2,R_112_A,112,A,108,60,46.86
A-201-P-5,R_201_A,201,A,13,5,1.38
A-201-P-10,R_201_A,201,A,18,10,4.99
A-201-P-15,R_201_A,201,A,23,15,11.61
A-201-P-20,R_201_A,201,A,28,20,18.27
A-201-P-30,R_201_A,201,A,38,30,29.38
A-201-P-30-T,R_201_A,201,A,43,30,29.38
A-201-P-60,R_201_A,201,A,68,60,67.92
A-201-P-T1,R_201_A,201,A,73,60,67.92
A-201-P-T2,R_201_A,201,A,73,60,67.92
A-202-S-5,R_202_A,202,A,14,5,2.35
A-202-S-10,R_202_A,202,A,19,10,7.89
A-202-S-15,R_202_A,202,A,24,15,14.13
A-202-S-20,R_202_A,202,A,29,20,20.83
A-202-S-30,R_202_A,202,A,39,30,34.73
A-202-S-30-T,R_202_A,202,A,44,30,34.73
A-202-S-60,R_202_A,202,A,69,60,76.98
A-202-S-T1,R_202_A,202,A,74,60,76.98
A-202-S-T2,R_202_A,202,A,74,60,76.98
A-203-P-5,R_203_A,203,A,,5,2.05
A-203-P-10,R_203_A,203,A,,10,5.10
A-203-P-15,R_203_A,203,A,,15,8.49
A-203-P-20,R_203_A,203,A,,20,12.14
A-203-P-30,R_203_A,203,A,,30,19.95
A-203-P-30-T,R_203_A,203,A,,30,19.95
A-203-P-60,R_203_A,203,A,,60,44.16
A-203-P-T1,R_203_A,203,A,,60,44.16
A-203-P-T2,R_203_A,203,A,,60,44.16
A-204-X-5,R_204_A,204,A,,5,4.20
A-204-X-10,R_204_A,204,A,,10,8.31
A-204-X-15,R_204_A,204,A,,15,13.55
A-204-X-20,R_204_A,204,A,,20,18.36
A-204-X-30,R_204_A,204,A,,30,29.07
A-204-X-30-T,R_204_A,204,A,,30,29.07
A-204-X-60,R_204_A,204,A,,60,58.99
A-204-X-T1,R_204_A,204,A,,60,58.99
A-204-X-T2,R_204_A,204,A,,60,58.99
A-205-C-5,R_205_A,205,A,,5,1.46
A-205-C-10,R_205_A,205,A,,10,4.01
A-205-C-15,R_205_A,205,A,,15,7.50
A-205-C-20,R_205_A,205,A,,20,11.22
A-205-C-30,R_205_A,205,A,,30,18.97
A-205-C-30-T,R_205_A,205,A,,30,18.97
A-205-C-60,R_205_A,205,A,,60,43.37
A-205-C-T1,R_205_A,205,A,,60,43.37
A-205-C-T2,R_205_A,205,A,,60,43.37
A-206-P-5,R_206_A,206,A,,5,1.70
A-206-P-10,R_206_A,206,A,,10,4.66
A-206-P-15,R_206_A,206,A,,15,9.06
A-206-P-20,R_206_A,206,A,,20,13.83
A-206-P-30,R_206_A,206,A,,30,24.00
A-206-P-30-T,R_206_A,206,A,,30,24.00
A-206-P-60,R_206_A,206,A,,60,57.84
A-206-P-T1,R_206_A,206,A,,60,57.84
A-206-P-T2,R_206_A,206,A,,60,57.84
A-209-C-5,R_209_A,209,A,37,5,1.56
A-209-C-10,R_209_A,209,A,42,10,4.38
A-209-C-15,R_209_A,209,A,47,15,7.41
A-209-C-20,R_209_A,209,A,52,20,10.68
A-209-C-30,R_209_A,209,A,62,30,18.02
A-209-C-30-T,R_209_A,209,A,67,30,18.02
A-209-C-60,R_209_A,209,A,92,60,44.34
A-209-C-T1,R_209_A,209,A,97,60,44.34
A-209-C-T2,R_209_A,209,A,97,60,44.34
A-210-S-5,R_210_A,210,A,20,5,0.76
A-210-S-10,R_210_A,210,A,25,10,1.75
A-210-S-15,R_210_A,210,A,30,15,3.11
A-210-S-20,R_210_A,210,A,35,20,4.59
A-210-S-30,R_210_A,210,A,45,30,10.19
A-210-S-30-T,R_210_A,210,A,50,30,10.19
A-210-S-60,R_210_A,210,A,75,60,32.91
A-210-S-T1,R_210_A,210,A,80,60,32.91
A-210-S-T2,R_210_A,210,A,80,60,32.91
A-307-C-5,R_307_A,307,A,28,5,1.37
A-307-C-10,R_307_A,307,A,33,10,3.29
A-307-C-15,R_307_A,307,A,38,15,5.49
A-307-C-20,R_307_A,307,A,43,20,7.85
A-307-C-30,R_307_A,307,A,53,30,12.80
A-307-C-30-T,R_307_A,307,A,58,30,12.80
A-307-C-60,R_307_A,307,A,83,60,30.72
A-307-C-T1,R_307_A,307,A,88,60,30.72
A-307-C-T2,R_307_A,307,A,88,60,30.72
A-308-X-5,R_308_A,308,A,28,5,1.77
A-308-X-10,R_308_A,308,A,33,10,3.32
A-308-X-15,R_308_A,308,A,38,15,5.27
A-308-X-20,R_308_A,308,A,43,20,7.24
A-308-X-30,R_308_A,308,A,53,30,12.11
A-308-X-30-T,R_308_A,308,A,58,30,12.11
A-308-X-60,R_308_A,308,A,83,60,30.91
A-308-X-T1,R_308_A,308,A,88,60,30.91
A-308-X-T2,R_308_A,308,A,88,60,30.91
A-401-S-5,R_401_A,401,A,15,5,3.20
A-401-S-10,R_401_A,401,A,20,10,8.70
A-401-S-15,R_401_A,401,A,25,15,15.52
A-401-S-20,R_401_A,401,A,30,20,22.60
A-401-S-30,R_401_A,401,A,40,30,37.00
A-401-S-30-T,R_401_A,401,A,45,30,37.00
A-401-S-60,R_401_A,401,A,70,60,81.02
A-401-S-T1,R_401_A,401,A,75,60,81.02
A-401-S-T2,R_401_A,401,A,75,60,81.02
A-402-X-5,R_402_A,402,A,18,5,4.33
A-402-X-10,R_402_A,402,A,23,10,10.76
A-402-X-15,R_402_A,402,A,28,15,17.62
A-402-X-20,R_402_A,402,A,33,20,24.63
A-402-X-30,R_402_A,402,A,43,30,39.11
A-402-X-30-T,R_402_A,402,A,48,30,39.11
A-402-X-60,R_402_A,402,A,73,60,83.85
A-402-X-T1,R_402_A,402,A,78,60,83.85
A-402-X-T2,R_402_A,402,A,78,60,83.85
A-403-C-5,R_403_A,403,A,24,5,1.12
A-403-C-10,R_403_A,403,A,29,10,3.09
A-403-C-15,R_403_A,403,A,34,15,5.69
A-403-C-20,R_403_A,403,A,39,20,9.23
A-403-C-30,R_403_A,403,A,49,30,18.60
A-403-C-30-T,R_403_A,403,A,54,30,18.60
A-403-C-60,R_403_A,403,A,79,60,52.72
A-403-C-T1,R_403_A,403,A,84,60,52.72
A-403-C-T2,R_403_A,403,A,84,60,52.72
A-404-P-5,R_404_A,404,A,26,5,1.99
A-404-P-10,R_404_A,404,A,31,10,4.98
A-404-P-15,R_404_A,404,A,36,15,9.07
A-404-P-20,R_404_A,404,A,41,20,13.96
A-404-P-30,R_404_A,404,A,51,30,24.77
A-404-P-30-T,R_404_A,404,A,56,30,24.77
A-404-P-60,R_404_A,404,A,81,60,61.29
A-404-P-T1,R_404_A,404,A,86,60,61.29
A-404-P-T2,R_404_A,404,A,86,60,61.29
A-405-X-5,R_405_A,405,A,,5,2.55
A-405-X-10,R_405_A,405,A,,10,6.26
A-405-X-15,R_405_A,405,A,,15,10.43
A-405-X-20,R_405_A,405,A,,20,15.30
A-405-X-30,R_405_A,405,A,,30,25.29
A-405-X-30-T,R_405_A,405,A,,30,25.29
A-405-X-60,R_405_A,405,A,,60,61.71
A-405-X-T1,R_405_A,405,A,,60,61.71
A-405-X-T2,R_405_A,405,A,,60,61.71
A-406-S-5,R_406_A,406,A,27,5,2.00
A-406-S-10,R_406_A,406,A,32,10,5.46
A-406-S-15,R_406_A,406,A,37,15,9.48
A-406-S-20,R_406_A,406,A,42,20,13.99
A-406-S-30,R_406_A,406,A,52,30,23.49
A-406-S-30-T,R_406_A,406,A,57,30,23.49
A-406-S-60,R_406_A,406,A,82,60,56.94
A-406-S-T1,R_406_A,406,A,87,60,56.94
A-406-S-T2,R_406_A,406,A,87,60,56.94
A-407-X-5,R_407_A,407,A,43,5,0.94
A-407-X-10,R_407_A,407,A,48,10,2.67
A-407-X-15,R_407_A,407,A,53,15,5.12
A-407-X-20,R_407_A,407,A,58,20,8.68
A-407-X-30,R_407_A,407,A,68,30,17.47
A-407-X-30-T,R_407_A,407,A,73,30,17.47
A-407-X-60,R_407_A,407,A,98,60,48.82
A-407-X-T1,R_407_A,407,A,103,60,48.82
A-407-X-T2,R_407_A,407,A,103,60,48.82
A-408-P-5,R_408_A,408,A,43,5,1.41
A-408-P-10,R_408_A,408,A,48,10,3.58
A-408-P-15,R_408_A,408,A,53,15,6.34
A-408-P-20,R_408_A,408,A,58,20,9.83
A-408-P-30,R_408_A,408,A,68,30,18.15
A-408-P-30-T,R_408_A,408,A,73,30,18.15
A-408-P-60,R_408_A,408,A,98,60,47.05
A-408-P-T1,R_408_A,408,A,103,60,47.05
A-408-P-T2,R_408_A,408,A,103,60,47.05
A-409-C-5,R_409_A,409,A,24,5,1.84
A-409-C-10,R_409_A,409,A,29,10,4.96
A-409-C-15,R_409_A,409,A,34,15,8.68
A-409-C-20,R_409_A,409,A,39,20,12.83
A-409-C-30,R_409_A,409,A,49,30,22.73
A-409-C-30-T,R_409_A,409,A,54,30,22.73
A-409-C-60,R_409_A,409,A,79,60,59.29
A-409-C-T1,R_409_A,409,A,84,60,59.29
A-409-C-T2,R_409_A,409,A,84,60,59.29
A-410-S-5,R_410_A,410,A,31,5,2.16
A-410-S-10,R_410_A,410,A,36,10,4.39
A-410-S-15,R_410_A,410,A,41,15,7.47
A-410-S-20,R_410_A,410,A,46,20,11.17
A-410-S-30,R_410_A,410,A,56,30,19.51
A-410-S-30-T,R_410_A,410,A,61,30,19.51
A-410-S-60,R_410_A,410,A,86,60,48.86
A-410-S-T1,R_410_A,410,A,91,60,48.86
A-410-S-T2,R_410_A,410,A,91,60,48.86
A-411-S-5,R_411_A,411,A,24,5,0.70
A-411-S-10,R_411_A,411,A,29,10,1.80
A-411-S-15,R_411_A,411,A,34,15,3.20
A-411-S-20,R_411_A,411,A,39,20,4.60
A-411-S-30,R_411_A,411,A,49,30,8.21
A-411-S-30-T,R_411_A,411,A,54,30,8.21
A-411-S-60,R_411_A,411,A,79,60,22.22
A-411-S-T1,R_411_A,411,A,84,60,22.22
A-411-S-T2,R_411_A,411,A,84,60,22.22
A-412-C-5,R_412_A,412,A,37,5,1.05
A-412-C-10,R_412_A,412,A,42,10,2.20
A-412-C-15,R_412_A,412,A,47,15,3.35
A-412-C-20,R_412_A,412,A,52,20,5.10
A-412-C-30,R_412_A,412,A,62,30,9.30
A-412-C-30-T,R_412_A,412,A,67,30,9.30
A-412-C-60,R_412_A,412,A,92,60,30.11
A-412-C-T1,R_412_A,412,A,97,60,30.11
A-412-C-T2,R_412_A,412,A,97,60,30.11
A-501-X-5,R_501_A,501,A,21,5,1.13
A-501-X-10,R_501_A,501,A,26,10,4.27
A-501-X-15,R_501_A,501,A,31,15,8.92
A-501-X-20,R_501_A,501,A,36,20,13.96
A-501-X-30,R_501_A,501,A,46,30,24.78
A-501-X-30-T,R_501_A,501,A,51,30,24.78
A-501-X-60,R_501_A,501,A,76,60,58.55
A-501-X-T1,R_501_A,501,A,81,60,58.55
A-501-X-T2,R_501_A,501,A,81,60,58.55
A-502-S-5,R_502_A,502,A,11,5,3.25
A-502-S-10,R_502_A,502,A,16,10,8.48
A-502-S-15,R_502_A,502,A,21,15,14.67
