SampleID,PlotID,StudyID,SampleTypeID,ManureTreatmentID,RainfallTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
A-101-S-5,101,A,1,M_S_Day1_A,R_101_A,747,,5,
A-101-S-10,101,A,1,M_S_Day1_A,R_101_A,894,,10,
A-101-S-15,101,A,1,M_S_Day1_A,R_101_A,957,,15,
A-101-S-20,101,A,1,M_S_Day1_A,R_101_A,,,20,
A-101-S-30,101,A,1,M_S_Day1_A,R_101_A,910,,30,
A-101-S-30-T,101,A,2,M_S_Day1_A,R_101_A,,,30,
A-101-S-60,101,A,1,M_S_Day1_A,R_101_A,1057,,60,
A-101-S-T1,101,A,2,M_S_Day1_A,R_101_A,,,60,
A-101-S-T2,101,A,2,M_S_Day1_A,R_101_A,,,60,
A-102-P-5,102,A,1,M_P_Day1_A,R_102_A,956,,5,
A-102-P-10,102,A,1,M_P_Day1_A,R_102_A,976,,10,
A-102-P-15,102,A,1,M_P_Day1_A,R_102_A,943,,15,
A-102-P-20,102,A,1,M_P_Day1_A,R_102_A,,,20,
A-102-P-30,102,A,1,M_P_Day1_A,R_102_A,947,,30,
A-102-P-30-T,102,A,2,M_P_Day1_A,R_102_A,,,30,
A-102-P-60,102,A,1,M_P_Day1_A,R_102_A,917,,60,
A-102-P-T1,102,A,2,M_P_Day1_A,R_102_A,,,60,
A-102-P-T2,102,A,2,M_P_Day1_A,R_102_A,,,60,
A-104-X-5,104,A,1,M_X_Day4_A,R_104_A,569,25,5,
A-104-X-10,104,A,1,M_X_Day4_A,R_104_A,573,30,10,
A-104-X-15,104,A,1,M_X_Day4_A,R_104_A,937,35,15,
A-104-X-20,104,A,1,M_X_Day4_A,R_104_A,540,40,20,
A-104-X-30,104,A,1,M_X_Day4_A,R_104_A,573,50,30,
A-104-X-30-T,104,A,2,M_X_Day4_A,R_104_A,,55,30,
A-104-X-60,104,A,1,M_X_Day4_A,R_104_A,575,80,60,
A-104-X-T1,104,A,2,M_X_Day4_A,R_104_A,,85,60,
A-104-X-T2,104,A,2,M_X_Day4_A,R_104_A,,85,60,
A-105-X-5,105,A,1,M_X_Day1_A,R_105_A,673,8,5,
A-105-X-10,105,A,1,M_X_Day1_A,R_105_A,640,13,10,
A-105-X-15,105,A,1,M_X_Day1_A,R_105_A,955,18,15,
A-105-X-20,105,A,1,M_X_Day1_A,R_105_A,597,23,20,
A-105-X-30,105,A,1,M_X_Day1_A,R_105_A,656,33,30,
A-105-X-30-T,105,A,2,M_X_Day1_A,R_105_A,10560,38,30,
A-105-X-60,105,A,1,M_X_Day1_A,R_105_A,654,63,60,
A-105-X-T1,105,A,2,M_X_Day1_A,R_105_A,,68,60,
A-105-X-T2,105,A,2,M_X_Day1_A,R_105_A,11060,68,60,
A-106-P-5,106,A,1,M_P_Day1_A,R_106_A,676,,5,
A-106-P-10,106,A,1,M_P_Day1_A,R_106_A,762,,10,
A-106-P-15,106,A,1,M_P_Day1_A,R_106_A,974,,15,
A-106-P-20,106,A,1,M_P_Day1_A,R_106_A,619,,20,
A-106-P-30,106,A,1,M_P_Day1_A,R_106_A,573,,30,
A-106-P-30-T,106,A,2,M_P_Day1_A,R_106_A,9560,,30,
A-106-P-60,106,A,1,M_P_Day1_A,R_106_A,578,,60,
A-106-P-T1,106,A,2,M_P_Day1_A,R_106_A,,,60,
A-106-P-T2,106,A,2,M_P_Day1_A,R_106_A,11060,,60,
A-107-C-5,107,A,1,M_C_Day1_A,R_107_A,1000,15,5,
A-107-C-10,107,A,1,M_C_Day1_A,R_107_A,700,20,10,
A-107-C-15,107,A,1,M_C_Day1_A,R_107_A,940,25,15,
A-107-C-20,107,A,1,M_C_Day1_A,R_107_A,700,30,20,
A-107-C-30,107,A,1,M_C_Day1_A,R_107_A,600,40,30,
A-107-C-30-T,107,A,2,M_C_Day1_A,R_107_A,10260,45,30,
A-107-C-60,107,A,1,M_C_Day1_A,R_107_A,800,70,60,
A-107-C-T1,107,A,2,M_C_Day1_A,R_107_A,,75,60,
A-107-C-T2,107,A,2,M_C_Day1_A,R_107_A,10860,75,60,
A-108-P-5,108,A,1,M_P_Day1_A,R_108_A,800,15,5,
A-108-P-10,108,A,1,M_P_Day1_A,R_108_A,500,20,10,
A-108-P-15,108,A,1,M_P_Day1_A,R_108_A,940,25,15,
A-108-P-20,108,A,1,M_P_Day1_A,R_108_A,700,30,20,
A-108-P-30,108,A,1,M_P_Day1_A,R_108_A,600,40,30,
A-108-P-30-T,108,A,2,M_P_Day1_A,R_108_A,10760,45,30,
A-108-P-60,108,A,1,M_P_Day1_A,R_108_A,700,70,60,
A-108-P-T1,108,A,2,M_P_Day1_A,R_108_A,,75,60,
A-108-P-T2,108,A,2,M_P_Day1_A,R_108_A,10460,75,60,
