SampleID,TotalColiformsCulturableColilert_MPNPer100ml,DetectionLevel,,
A-109-C-5,2022.4,WR,,
A-109-C-10,241960,TNTC,,
A-109-C-20,64880,WR,,
A-109-C-30,241960,TNTC,,
A-109-C-60,241960,TNTC,,
A-109-C-T1,,ANP,,
A-110-C-5,241960,TNTC,,
A-110-C-10,241960,TNTC,,
A-110-C-20,2022.4,WR,,
A-110-C-30,241960,TNTC,,
A-110-C-60,241960,TNTC,,
A-110-C-T1,101120,WR,,
A-101-S-5,17624.13333,WR,,
A-101-S-10,92040,WR,,
A-101-S-20,,ANP,,
A-101-S-30,98040,WR,,
A-101-S-60,50031.2,WR,,
A-101-S-T1,,ANP,,
A-102-P-5,241960,TNTC,,
A-102-P-10,241960,TNTC,,
A-102-P-20,,ANP,,
A-102-P-30,101120,WR,,
A-102-P-60,241960,TNTC,,
A-102-P-T1,missing,ANP,,
A-203-P-5,78480,WR,,
A-203-P-10,34410,WR,,
A-203-P-20,241960,TNTC,,
A-203-P-30,241960,TNTC,,
A-203-P-60,241960,TNTC,,
A-203-P-T1,241960,TNTC,,
A-204-X-5,241960,TNTC,,
A-204-X-10,101120,WR,,
A-204-X-20,101120,WR,,
A-204-X-30,241960,TNTC,,
A-204-X-60,101120,WR,,
A-204-X-T1,241960,TNTC,,
A-205-C-5,241960,TNTC,,
A-205-C-10,108305,WR,,
A-205-C-20,86675,WR,,
A-205-C-30,85035,WR,,
A-205-C-60,40730,WR,,
A-205-C-T1,45410,WR,,
A-206-P-5,1063830,WR,,
A-206-P-10,139590,WR,,
A-206-P-20,729855,WR,,
A-206-P-30,1020615,WR,,
A-206-P-60,1218170,WR,,
A-206-P-T1,610940,WR,,
A-405-X-5,10643.13333,WR,,
A-405-X-10,65996.2,WR,,
A-405-X-20,2022.4,WR,,
A-405-X-30,16658.1,WR,,
A-405-X-60,241960,TNTC,,
A-405-X-T1,241960,TNTC,,
A-406-S-5,241960,TNTC,,
A-406-S-10,241960,TNTC,,
A-406-S-20,241960,TNTC,,
A-406-S-30,241960,TNTC,,
A-406-S-60,241960,TNTC,,
A-406-S-T1,241960,TNTC,,
A-411-S-5,241960,TNTC,,
A-411-S-10,111990,WR,,
A-411-S-20,9230.4,WR,,
A-411-S-30,65860,WR,,
A-411-S-60,5657.5,WR,,
A-411-S-T1,6808.6,WR,,
A-412-C-5,17169.2,WR,,
A-412-C-10,4017.6,WR,,
A-412-C-20,3742.1,WR,,
A-412-C-30,4393.7,WR,,
A-412-C-60,4479.1,WR,,
A-412-C-T1,25335.5,WR,,
A-502-S-5,241960,TNTC,,
A-502-S-10,241960,TNTC,,
A-502-S-20,241960,TNTC,,
A-502-S-30,241960,TNTC,,
A-502-S-60,241960,TNTC,,
A-502-S-T1,241960,TNTC,,
A-501-X-5,241960,TNTC,,
A-501-X-10,241960,TNTC,,
A-501-X-20,241960,TNTC,,
A-501-X-30,241960,TNTC,,
A-501-X-60,241960,TNTC,,
A-501-X-T1,241960,TNTC,,
A-107-C-5,2419600,TNTC,,
A-107-C-10,2419600,TNTC,,
A-107-C-20,2419600,TNTC,,
A-107-C-30,2419600,TNTC,,
A-107-C-60,2419600,WR,,
A-107-C-T1,2419600,TNTC,,
A-108-P-5,2419600,TNTC,,
A-108-P-10,2419600,TNTC,,
A-108-P-20,2419600,TNTC,,
A-108-P-30,2419600,TNTC,,
A-108-P-60,2419600,TNTC,,
A-108-P-T1,2419600,TNTC,,
A-209-C-5,2419600,TNTC,,
A-209-C-10,1011200,WR,,
A-209-C-20,576845,WR,,
A-209-C-30,579400,WR,,
A-209-C-60,269910,WR,,
A-209-C-T1,333020,WR,,
A-210-S-5,1853.15,WR,,
A-210-S-10,1949.55,WR,,
A-210-S-20,4839.2,TNTC,,
A-210-S-30,4839.2,TNTC,,
A-210-S-60,4839.2,TNTC,,
A-210-S-T1,1986.3,WR,,
A-111-S-5,2266.666667,WR,,
A-111-S-10,1203.3,WR,,
A-111-S-20,4839.2,TNTC,,
A-111-S-30,4839.2,TNTC,,
A-111-S-60,4839.2,TNTC,,
A-111-S-T1,4839.2,TNTC,,
A-112-P-5,2419600,TNTC,,
A-112-P-10,665300,WR,,
A-112-P-20,2419600,TNTC,,
A-112-P-30,2419600,TNTC,,
A-112-P-60,2419600,TNTC,,
A-112-P-T1,2419600,TNTC,,
A-307-C-5,223840,WR,,
A-307-C-10,589515,WR,,
A-307-C-20,652210,WR,,
A-307-C-30,1553100,WR,,
A-307-C-60,1299700,WR,,
A-307-C-T1,2419600,WR,,
A-308-X-5,241960,TNTC,,
A-308-X-10,241960,TNTC,,
A-308-X-20,241960,TNTC,,
A-308-X-30,241960,TNTC,,
A-308-X-60,241960,TNTC,,
A-308-X-T1,241960,TNTC,,
A-407-X-5,241960,TNTC,,
A-407-X-10,241960,TNTC,,
A-407-X-20,241960,TNTC,,
A-407-X-30,241960,TNTC,,
A-407-X-60,241960,TNTC,,
A-407-X-T1,241960,TNTC,,
A-408-P-5,2419600,TNTC,,
A-408-P-10,2419600,WR,,
A-408-P-20,186865,WR,,
A-408-P-30,533500,WR,,
A-408-P-60,1732900,WR,,
A-408-P-T1,2419600,TNTC,,
A-106-P-5,2419600,TNTC,,
A-106-P-10,2419600,TNTC,,
A-106-P-20,2419600,TNTC,,
A-106-P-30,2419600,TNTC,,
A-106-P-60,2419600,TNTC,,
A-106-P-T1,2419600,TNTC,,
A-105-X-5,241960,TNTC,,
A-105-X-10,241960,TNTC,,
A-105-X-20,241960,TNTC,,
A-105-X-30,241960,TNTC,,
A-105-X-60,241960,TNTC,,
A-105-X-T1,241960,TNTC,,
A-503-C-5,2419600,TNTC,,
A-503-C-10,2419600,TNTC,,
A-503-C-20,2419600,TNTC,,
A-503-C-30,2419600,TNTC,,
A-503-C-60,2419600,TNTC,,
A-503-C-T1,2419600,TNTC,,
A-504-X-5,241960,TNTC,,
A-504-X-10,241960,TNTC,,
A-504-X-20,241960,TNTC,,
A-504-X-30,241960,TNTC,,
A-504-X-60,241960,TNTC,,
A-504-X-T1,241960,TNTC,,
A-401-S-5,241960,TNTC,,
A-401-S-10,241960,TNTC,,
A-401-S-20,198630,WR,,
A-401-S-30,48840,WR,,
A-401-S-60,15074.7,WR,,
A-401-S-T1,42552.9,WR,,
A-402-X-5,55670,WR,,
A-402-X-10,20031.3,WR,,
A-402-X-20,19136.3,WR,,
A-402-X-30,241960,TNTC,,
A-402-X-60,241960,WR,,
A-402-X-T1,241960,TNTC,,
A-201-P-5,140876.6667,WR,,
A-201-P-10,1203300,WR,,
A-201-P-20,2419600,TNTC,,
A-201-P-30,2419600,TNTC,,
A-201-P-60,2419600,TNTC,,
A-201-P-T1,2419600,TNTC,,
A-202-S-5,241960,TNTC,,
A-202-S-10,241960,TNTC,,
A-202-S-20,241960,TNTC,,
A-202-S-30,241960,TNTC,,
A-202-S-60,241960,TNTC,,
A-202-S-T1,241960,TNTC,,
A-403-C-5,2419600,TNTC,,
A-403-C-10,2419600,TNTC,,
