SampleID,Crypto_OocystsPerL,DetectionLevel,,,,,,,
D-102-P-30-T2,,ANP,,,,,,,
D-102-P-T2,,ANP,,,,,,,
D-106-P-30-T2,,ANP,,,,,,,
D-106-P-T2,,ANP,,,,,,,
D-108-P-30-T2,,ANP,,,,,,,
D-108-P-T2,,ANP,,,,,,,
D-112-P-30-T2,,ANP,,,,,,,
D-112-P-T2,,ANP,,,,,,,
D-201-P-30-T2,,ANP,,,,,,,
D-201-P-T2,,ANP,,,,,,,
D-203-P-30-T2,,ANP,,,,,,,
D-203-P-T2,,ANP,,,,,,,
D-206-P-30-T2,,ANP,,,,,,,
D-206-P-T2,,ANP,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,
D-403-C-T2,,ANP,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,
D-404-P-T2,,ANP,,,,,,,
D-408-P-30-T2,,ANP,,,,,,,
D-408-P-T2,,ANP,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,
D-409-C-T2,,ANP,,,,,,,
D-410-S-15,,ANP,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,
D-101-S-30-T2,466666.67,WR,,,,,,,
D-101-S-T2,260000.00,WR,,,,,,,
D-105-X-30-T2,0.11,WR,,,,,,,
D-105-X-T2,0.11,WR,,,,,,,
D-107-C-30-T2,0.98,WR,,,,,,,
D-107-C-T2,2.35,WR,,,,,,,
D-109-C-30-T2,50400.00,WR,,,,,,,
D-109-C-T2,37000.00,WR,,,,,,,
D-110-X-30-T2,13.22,WR,,,,,,,
D-110-X-T2,19.33,WR,,,,,,,
D-111-S-30-T2,151.25,WR,,,,,,,
D-111-S-T2,66.67,WR,,,,,,,
D-202-S-30-T2,2640.00,WR,,,,,,,
D-202-S-T2,544.00,WR,,,,,,,
D-204-X-30-T2,0.13,WR,,,,,,,
D-204-X-T2,0.11,WR,,,,,,,
D-205-C-30-T2,97400.00,WR,,,,,,,
D-205-C-T2,53200.00,WR,,,,,,,
D-209-C-30-T2,0.83,WR,,,,,,,
D-209-C-T2,12.35,WR,,,,,,,
D-210-S-30-T2,96.67,WR,,,,,,,
D-210-S-T2,136.49,WR,,,,,,,
D-307-C-30-T2,100.00,WR,,,,,,,
D-307-C-T2,55.88,WR,,,,,,,
D-308-X-30-T2,0.15,WR,,,,,,,
D-308-X-T2,0.11,WR,,,,,,,
D-401-S-30-T2,1156.00,WR,,,,,,,
D-401-S-T2,1148.00,WR,,,,,,,
D-402-X-30-T2,0.57,WR,,,,,,,
D-402-X-T2,0.13,WR,,,,,,,
D-405-X-30-T2,0.17,WR,,,,,,,
D-405-X-T2,0.22,WR,,,,,,,
D-406-S-30-T2,206666.67,WR,,,,,,,
D-406-S-T2,186666.67,WR,,,,,,,
D-407-X-30-T2,0.22,WR,,,,,,,
D-407-X-T2,0.11,WR,,,,,,,
D-410-S-T2,58.00,WR,,,,,,,
D-411-S-30-T2,34.77,WR,,,,,,,
D-411-S-T2,16.39,WR,,,,,,,
D-412-C-30-T2,16200.00,WR,,,,,,,
D-412-C-T2,22800.00,WR,,,,,,,
D-501-X-30-T2,0.13,WR,,,,,,,
D-501-X-T2,0.17,WR,,,,,,,
D-502-S-30-T2,4526.32,WR,,,,,,,
D-502-S-T2,8466.67,WR,,,,,,,
D-503-C-30-T2,0.75,WR,,,,,,,
D-503-C-T2,1.82,WR,,,,,,,
D-504-X-30-T2,0.13,WR,,,,,,,
D-504-X-T2,1.00,WR,,,,,,,
