SampleID,EColi0157Culturable_MPNPerML,DetectionLevel,,,,,,,,
D-101-S-30-T2,1500.00,WR,,,,,,,,
D-101-S-T2,9.60,WR,,,,,,,,
D-102-P-30-T2,,WR,,,,,,,,
D-102-P-T2,,WR,,,,,,,,
D-105-X-30-T2,0.03,BDL,,,,,,,,
D-105-X-T2,0.03,BDL,,,,,,,,
D-106-P-30-T2,,ANP,,,,,,,,
D-106-P-T2,,ANP,,,,,,,,
D-107-C-30-T2,2.10,WR,,,,,,,,
D-107-C-T2,11.00,TNTC,,,,,,,,
D-108-P-30-T2,,ANP,,,,,,,,
D-108-P-T2,,ANP,,,,,,,,
D-109-C-30-T2,52.00,WR,,,,,,,,
D-109-C-T2,360.00,WR,,,,,,,,
D-110-X-30-T2,2.40,WR,,,,,,,,
D-110-X-T2,11.00,TNTC,,,,,,,,
D-111-S-30-T2,0.35,WR,,,,,,,,
D-111-S-T2,0.21,WR,,,,,,,,
D-112-P-30-T2,,ANP,,,,,,,,
D-112-P-T2,,ANP,,,,,,,,
D-201-P-30-T2,,ANP,,,,,,,,
D-201-P-T2,,ANP,,,,,,,,
D-202-S-30-T2,0.03,BDL,,,,,,,,
D-202-S-T2,0.03,BDL,,,,,,,,
D-203-P-30-T2,,ANP,,,,,,,,
D-203-P-T2,,ANP,,,,,,,,
D-204-X-30-T2,0.03,BDL,,,,,,,,
D-204-X-T2,0.03,BDL,,,,,,,,
D-205-C-30-T2,11.00,TNTC,,,,,,,,
D-205-C-T2,11.00,TNTC,,,,,,,,
D-206-P-30-T2,,ANP,,,,,,,,
D-206-P-T2,,ANP,,,,,,,,
D-209-C-30-T2,11.00,WR,,,,,,,,
D-209-C-T2,11.00,TNTC,,,,,,,,
D-210-S-30-T2,0.06,WR,,,,,,,,
D-210-S-T2,11.00,WR,,,,,,,,
D-307-C-30-T2,0.19,WR,,,,,,,,
D-307-C-T2,0.12,WR,,,,,,,,
D-308-X-30-T2,0.03,WR,,,,,,,,
D-308-X-T2,0.03,BDL,,,,,,,,
D-401-S-30-T2,0.03,BDL,,,,,,,,
D-401-S-T2,0.03,WR,,,,,,,,
D-402-X-30-T2,0.03,BDL,,,,,,,,
D-402-X-T2,0.03,BDL,,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,,
D-403-C-T2,,ANP,,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,,
D-404-P-T2,,ANP,,,,,,,,
D-405-X-30-T2,0.03,BDL,,,,,,,,
D-405-X-T2,0.04,WR,,,,,,,,
D-406-S-30-T2,0.20,WR,,,,,,,,
D-406-S-T2,2.90,WR,,,,,,,,
D-407-X-30-T2,0.03,WR,,,,,,,,
D-407-X-T2,0.07,WR,,,,,,,,
D-408-P-T2,,ANP,,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,,
D-409-C-T2,0.12,WR,,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,,
D-410-S-T2,0.03,BDL,,,,,,,,
D-411-S-30-T2,2.10,WR,,,,,,,,
D-411-S-T2,0.93,WR,,,,,,,,
D-412-C-30-T2,11.00,TNTC,,,,,,,,
D-412-C-T2,11.00,TNTC,,,,,,,,
D-501-X-30-T2,0.03,BDL,,,,,,,,
D-501-X-T2,0.03,BDL,,,,,,,,
D-502-S-30-T2,0.35,WR,,,,,,,,
D-502-S-T2,0.20,WR,,,,,,,,
D-503-C-30-T2,0.03,BDL,,,,,,,,
D-503-C-T2,0.06,WR,,,,,,,,
D-504-X-30-T2,0.03,WR,,,,,,,,
D-504-X-T2,0.03,BDL,,,,,,,,
