SampleID,EColi0157SurrogateCulturable_CFUPerML,DetectionLevel,,,,,,,,
D-102-P-30-T2,,ANP,,,,,,,,
D-102-P-T2,,ANP,,,,,,,,
D-106-P-30-T2,,ANP,,,,,,,,
D-106-P-T2,,ANP,,,,,,,,
D-108-P-30-T2,,ANP,,,,,,,,
D-108-P-T2,,ANP,,,,,,,,
D-112-P-30-T2,,ANP,,,,,,,,
D-112-P-T2,,ANP,,,,,,,,
D-201-P-30-T2,,ANP,,,,,,,,
D-201-P-T2,,ANP,,,,,,,,
D-203-P-30-T2,,ANP,,,,,,,,
D-203-P-T2,,ANP,,,,,,,,
D-206-P-30-T2,,ANP,,,,,,,,
D-206-P-T2,,ANP,,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,,
D-403-C-T2,,ANP,,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,,
D-404-P-T2,,ANP,,,,,,,,
D-408-P-T2,,ANP,,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,,
D-101-S-30-T2,2850.00,WR,,,,,,,,
D-101-S-T2,2461.67,WR,,,,,,,,
D-105-X-30-T2,0.00,WR,,,,,,,,
D-105-X-T2,0.00,WR,,,,,,,,
D-107-C-30-T2,1300.00,WR,,,,,,,,
D-107-C-T2,826.67,WR,,,,,,,,
D-109-C-30-T2,22400.00,WR,,,,,,,,
D-109-C-T2,25466.67,WR,,,,,,,,
D-110-X-30-T2,40.00,WR,,,,,,,,
D-110-X-T2,90.00,WR,,,,,,,,
D-111-S-30-T2,473.33,WR,,,,,,,,
D-111-S-T2,188.89,WR,,,,,,,,
D-202-S-30-T2,111.33,WR,,,,,,,,
D-202-S-T2,94.33,WR,,,,,,,,
D-204-X-30-T2,0.00,WR,,,,,,,,
D-204-X-T2,0.00,WR,,,,,,,,
D-205-C-30-T2,398333.33,WR,,,,,,,,
D-205-C-T2,294333.33,WR,,,,,,,,
D-209-C-30-T2,3460.00,WR,,,,,,,,
D-209-C-T2,2486.67,WR,,,,,,,,
D-210-S-30-T2,306.67,WR,,,,,,,,
D-210-S-T2,300.00,WR,,,,,,,,
D-307-C-30-T2,4825.00,WR,,,,,,,,
D-307-C-T2,4283.33,WR,,,,,,,,
D-308-X-30-T2,0.67,WR,,,,,,,,
D-308-X-T2,0.00,WR,,,,,,,,
D-401-S-30-T2,56.00,WR,,,,,,,,
D-401-S-T2,45.67,WR,,,,,,,,
D-402-X-30-T2,0.22,WR,,,,,,,,
D-402-X-T2,0.22,WR,,,,,,,,
D-405-X-30-T2,3.33,WR,,,,,,,,
D-405-X-T2,13.33,WR,,,,,,,,
D-406-S-30-T2,4686.67,WR,,,,,,,,
D-406-S-T2,4213.33,WR,,,,,,,,
D-407-X-30-T2,3.33,WR,,,,,,,,
D-407-X-T2,5.33,WR,,,,,,,,
D-409-C-T2,317.83,WR,,,,,,,,
D-410-S-T2,12.63,WR,,,,,,,,
D-411-S-30-T2,422.22,WR,,,,,,,,
D-411-S-T2,597.78,WR,,,,,,,,
D-412-C-30-T2,112611.11,WR,,,,,,,,
D-412-C-T2,101111.11,WR,,,,,,,,
D-501-X-30-T2,0.00,WR,,,,,,,,
D-501-X-T2,0.00,WR,,,,,,,,
D-502-S-30-T2,262.22,WR,,,,,,,,
D-502-S-T2,197.78,WR,,,,,,,,
D-503-C-30-T2,112.00,WR,,,,,,,,
D-503-C-T2,121.33,WR,,,,,,,,
D-504-X-30-T2,0.00,WR,,,,,,,,
D-504-X-T2,1.00,WR,,,,,,,,
