SampleID,EColiCulturableColilert_MPNPer100ML,DetectionLevel
D-403-C-10,0,ANP
D-403-C-20,0,ANP
D-403-C-30,0,ANP
D-403-C-30-T1,0,ANP
D-403-C-5,0,ANP
D-403-C-60,0,ANP
D-403-C-T1,0,ANP
D-409-C-30-T1,0,ANP
D-105-X-10,0.5,BDL
D-105-X-20,0.5,BDL
D-105-X-30,0.5,BDL
D-105-X-30-T1,0.5,BDL
D-105-X-60,0.5,BDL
D-105-X-T1,0.5,BDL
D-204-X-60,0.5,BDL
D-204-X-T1,0.5,BDL
D-308-X-20,0.5,BDL
D-308-X-60,0.5,BDL
D-308-X-T1,0.5,BDL
D-501-X-10,0.5,BDL
D-501-X-30-T1,0.5,BDL
D-501-X-5,0.5,BDL
D-501-X-T1,0.5,BDL
D-101-S-10,2155,WR
D-101-S-20,3755,WR
D-101-S-30,2130,WR
D-101-S-30-T1,1610,WR
D-101-S-5,1713.333333,WR
D-101-S-60,1350,WR
D-101-S-T1,1365,WR
D-102-P-10,42.2,WR
D-102-P-20,120.1,WR
D-102-P-30,24.2,WR
D-102-P-30-T1,177.3,WR
D-102-P-5,53.1,WR
D-102-P-60,17,WR
D-102-P-T1,29.2,WR
D-105-X-5,3,WR
D-106-P-10,75.95555556,WR
D-106-P-20,84.85555556,WR
D-106-P-30,101.6777778,WR
D-106-P-30-T1,82.15555556,WR
D-106-P-5,74.45555556,WR
D-106-P-60,105.5222222,WR
D-106-P-T1,101.1777778,WR
D-107-C-10,1562,WR
D-107-C-20,666.5,WR
D-107-C-30,1064,WR
D-107-C-30-T1,982.5,WR
D-107-C-5,1175,WR
D-107-C-60,176.5,WR
D-107-C-T1,325.5,WR
D-108-P-10,77.12222222,WR
D-108-P-20,77.4,WR
D-108-P-30,79.92222222,WR
D-108-P-30-T1,78.45555556,WR
D-108-P-5,75.76666667,WR
D-108-P-60,76.78888889,WR
D-108-P-T1,78.06666667,WR
D-109-C-10,17640,WR
D-109-C-20,30675,WR
D-109-C-30,27225,WR
D-109-C-30-T1,26030,WR
D-109-C-5,12740,WR
D-109-C-60,24555,WR
D-109-C-T1,27045,WR
D-110-X-10,10.4,WR
D-110-X-20,28.8,WR
D-110-X-30,22,WR
D-110-X-30-T1,12.4,WR
D-110-X-5,15,WR
D-110-X-60,57.6,WR
D-110-X-T1,42.6,WR
D-111-S-10,1234,WR
D-111-S-20,460.5,WR
D-111-S-30,457.8,WR
D-111-S-30-T1,687.9,WR
D-111-S-5,2760.4,WR
D-111-S-60,187.5,WR
D-111-S-T1,298.8,WR
D-112-P-10,99.88888889,WR
D-112-P-20,78.18888889,WR
D-112-P-30,76.26666667,WR
D-112-P-30-T1,75.5,WR
D-112-P-5,109.6333333,WR
D-112-P-60,77.02222222,WR
D-112-P-T1,78.95555556,WR
D-201-P-10,10.26666667,WR
D-201-P-20,9.4,WR
D-201-P-30,13.57777778,WR
D-201-P-30-T1,12.45555556,WR
D-201-P-5,1,WR
D-201-P-60,32.04444444,WR
D-201-P-T1,25.35555556,WR
D-202-S-10,1078.5,WR
D-202-S-20,590.4,WR
D-202-S-30,443.5,WR
D-202-S-30-T1,625.4,WR
D-202-S-5,719.8,WR
D-202-S-60,258.7,WR
D-202-S-T1,414.4,WR
D-203-P-10,75.95,WR
D-203-P-20,74.25,WR
D-203-P-30,75.95,WR
D-203-P-30-T1,79.25,WR
D-203-P-5,66,WR
D-203-P-60,76.8,WR
D-203-P-T1,80.1,WR
D-204-X-10,1,WR
D-204-X-20,2,WR
D-204-X-30,2,WR
D-204-X-30-T1,2,WR
D-204-X-5,2,WR
D-205-C-10,20880,WR
D-205-C-20,17205,WR
D-205-C-30,8460,WR
D-205-C-30-T1,8460,WR
D-205-C-5,25856.66667,WR
D-205-C-60,6405,WR
D-205-C-T1,20415,WR
D-206-P-10,75.95,WR
D-206-P-20,75.95,WR
D-206-P-30,77.55,WR
D-206-P-30-T1,75.95,WR
D-206-P-5,71.6,WR
D-206-P-60,116.3,WR
D-206-P-T1,98.85,WR
D-209-C-10,306,WR
D-209-C-20,226,WR
D-209-C-30,494.5,WR
D-209-C-30-T1,564,WR
D-209-C-5,388,WR
D-209-C-60,329.5,WR
D-209-C-T1,214.5,WR
D-210-S-10,1324.9,WR
D-210-S-20,698.5,WR
D-210-S-30,604.5,WR
D-210-S-30-T1,977.3,WR
D-210-S-5,1060.8,WR
D-210-S-60,481.4,WR
D-210-S-T1,600.4,WR
D-307-C-10,4260.5,WR
D-307-C-20,4817,WR
D-307-C-30,4445.5,WR
D-307-C-30-T1,4187.5,WR
D-307-C-5,5699.333333,WR
D-307-C-60,2047,WR
D-307-C-T1,3926,WR
D-308-X-10,1,WR
D-308-X-30,1,WR
D-308-X-30-T1,1,WR
D-308-X-5,1.5,WR
D-401-S-10,650.9,WR
D-401-S-20,879.8,WR
D-401-S-30,1040.2,WR
D-401-S-30-T1,1191.1,WR
D-401-S-5,524.9333333,WR
D-401-S-60,872.5,WR
D-401-S-T1,873.9,WR
D-402-X-10,96.5,WR
D-402-X-20,80.1,WR
D-402-X-30,87,WR
D-402-X-30-T1,64.9,WR
D-402-X-5,10.2,WR
D-402-X-60,197.5,WR
D-402-X-T1,166.3,WR
D-404-P-10,20,WR
D-404-P-20,19.33333333,WR
D-404-P-30,21.12222222,WR
D-404-P-30-T1,15.97777778,WR
D-404-P-5,15,WR
D-404-P-60,12.95555556,WR
D-404-P-T1,18.97777778,WR
D-405-X-10,1,WR
D-405-X-20,3,WR
D-405-X-30,2,WR
D-405-X-30-T1,50.95,WR
D-405-X-5,1.5,WR
D-405-X-60,5.15,WR
D-405-X-T1,8.45,WR
D-406-S-10,968.5,WR
D-406-S-20,1084.5,WR
D-406-S-30,676.5,WR
D-406-S-30-T1,728.5,WR
D-406-S-5,669.6666667,WR
D-406-S-60,927,WR
D-406-S-T1,775,WR
D-407-X-10,24,WR
D-407-X-20,7.4,WR
D-407-X-30,6.7,WR
D-407-X-30-T1,5.75,WR
D-407-X-5,3.55,WR
D-407-X-60,6.3,WR
D-407-X-T1,3.55,WR
D-408-P-10,85.95555556,WR
D-408-P-20,76.68888889,WR
D-408-P-30,82.7,WR
D-408-P-30-T1,51.2,WR
D-408-P-5,92.03333333,WR
D-408-P-60,75.76666667,WR
D-408-P-T1,75.76666667,WR
D-409-C-10,62.5,WR
D-409-C-20,81.1,WR
D-409-C-30,163.5,WR
D-409-C-5,64.53333333,WR
D-409-C-60,282.4,WR
D-409-C-T1,221.9,WR
D-410-S-10,385.9,WR
D-410-S-20,316.5,WR
D-410-S-30,249.7,WR
D-410-S-30-T1,309,WR
D-410-S-5,287.3333333,WR
D-410-S-60,126.4,WR
D-410-S-T1,166.3,WR
D-411-S-10,41,WR
D-411-S-20,95,WR
D-411-S-30,52,WR
D-411-S-30-T1,110,WR
D-411-S-5,81.5,WR
D-411-S-60,222,WR
D-411-S-T1,108,WR
D-412-C-10,4355,WR
D-412-C-20,3680,WR
D-412-C-30,2005,WR
D-412-C-30-T1,4025,WR
D-412-C-5,1076.666667,WR
D-412-C-60,3605,WR
D-412-C-T1,2375,WR
D-501-X-20,2,WR
D-501-X-30,2,WR
D-501-X-60,1.5,WR
D-502-S-10,157.9,WR
D-502-S-20,242.7,WR
D-502-S-30,144.3,WR
D-502-S-30-T1,157.6,WR
D-502-S-5,114.2,WR
D-502-S-60,144.5,WR
D-502-S-T1,176.7,WR
D-503-C-10,335.5,WR
D-503-C-20,429,WR
D-503-C-30,275.5,WR
D-503-C-30-T1,227.5,WR
D-503-C-5,752.6666667,WR
D-503-C-60,161,WR
D-503-C-T1,283,WR
D-504-X-10,6.05,WR
D-504-X-20,1,WR
D-504-X-30,23,WR
D-504-X-30-T1,8.85,WR
D-504-X-5,22.66666667,WR
D-504-X-60,16.3,WR
D-504-X-T1,17,WR
