SampleID,,DetectionLevel,,,,,
D-101-S-10,,ANP,,,,,
D-101-S-20,,ANP,,,,,
D-101-S-30,,ANP,,,,,
D-101-S-30-T1,,ANP,,,,,
D-101-S-5,,ANP,,,,,
D-101-S-60,,ANP,,,,,
D-101-S-T1,,ANP,,,,,
D-102-P-10,,ANP,,,,,
D-102-P-20,,ANP,,,,,
D-102-P-30,,ANP,,,,,
D-102-P-30-T1,,ANP,,,,,
D-102-P-5,,ANP,,,,,
D-102-P-60,,ANP,,,,,
D-102-P-T1,,ANP,,,,,
D-105-X-10,,ANP,,,,,
D-105-X-20,,ANP,,,,,
D-105-X-30,,ANP,,,,,
D-105-X-30-T1,,ANP,,,,,
D-105-X-5,,ANP,,,,,
D-105-X-60,,ANP,,,,,
D-105-X-T1,,ANP,,,,,
D-106-P-10,,ANP,,,,,
D-106-P-20,,ANP,,,,,
D-106-P-30,,ANP,,,,,
D-106-P-30-T1,,ANP,,,,,
D-106-P-5,,ANP,,,,,
D-106-P-60,,ANP,,,,,
D-106-P-T1,,ANP,,,,,
D-107-C-10,,ANP,,,,,
D-107-C-20,,ANP,,,,,
D-107-C-30,,ANP,,,,,
D-107-C-30-T1,,ANP,,,,,
D-107-C-5,,ANP,,,,,
D-107-C-60,,ANP,,,,,
D-107-C-T1,,ANP,,,,,
D-108-P-10,,ANP,,,,,
D-108-P-20,,ANP,,,,,
D-108-P-30,,ANP,,,,,
D-108-P-30-T1,,ANP,,,,,
D-108-P-5,,ANP,,,,,
D-108-P-60,,ANP,,,,,
D-108-P-T1,,ANP,,,,,
D-109-C-10,,ANP,,,,,
D-109-C-20,,ANP,,,,,
D-109-C-30,,ANP,,,,,
D-109-C-30-T1,,ANP,,,,,
D-109-C-5,,ANP,,,,,
D-109-C-60,,ANP,,,,,
D-109-C-T1,,ANP,,,,,
D-110-X-10,,ANP,,,,,
D-110-X-20,,ANP,,,,,
D-110-X-30,,ANP,,,,,
D-110-X-30-T1,,ANP,,,,,
D-110-X-5,,ANP,,,,,
D-110-X-60,,ANP,,,,,
D-110-X-T1,,ANP,,,,,
D-111-S-10,,ANP,,,,,
D-111-S-20,,ANP,,,,,
D-111-S-30,,ANP,,,,,
D-111-S-30-T1,,ANP,,,,,
D-111-S-5,,ANP,,,,,
D-111-S-60,,ANP,,,,,
D-111-S-T1,,ANP,,,,,
D-112-P-10,,ANP,,,,,
D-112-P-20,,ANP,,,,,
D-112-P-30,,ANP,,,,,
D-112-P-30-T1,,ANP,,,,,
D-112-P-5,,ANP,,,,,
D-112-P-60,,ANP,,,,,
D-112-P-T1,,ANP,,,,,
D-201-P-10,,ANP,,,,,
D-201-P-20,,ANP,,,,,
D-201-P-30,,ANP,,,,,
D-201-P-30-T1,,ANP,,,,,
D-201-P-5,,ANP,,,,,
D-201-P-60,,ANP,,,,,
D-201-P-T1,,ANP,,,,,
D-202-S-10,,ANP,,,,,
D-202-S-20,,ANP,,,,,
D-202-S-30,,ANP,,,,,
D-202-S-30-T1,,ANP,,,,,
D-202-S-5,,ANP,,,,,
D-202-S-60,,ANP,,,,,
D-202-S-T1,,ANP,,,,,
D-203-P-10,,ANP,,,,,
D-203-P-20,,ANP,,,,,
D-203-P-30,,ANP,,,,,
D-203-P-30-T1,,ANP,,,,,
D-203-P-5,,ANP,,,,,
D-203-P-60,,ANP,,,,,
D-203-P-T1,,ANP,,,,,
D-204-X-10,,ANP,,,,,
D-204-X-20,,ANP,,,,,
D-204-X-30,,ANP,,,,,
D-204-X-30-T1,,ANP,,,,,
D-204-X-5,,ANP,,,,,
D-204-X-60,,ANP,,,,,
D-204-X-T1,,ANP,,,,,
D-205-C-10,,ANP,,,,,
D-205-C-20,,ANP,,,,,
D-205-C-30,,ANP,,,,,
D-205-C-30-T1,,ANP,,,,,
D-205-C-5,,ANP,,,,,
D-205-C-60,,ANP,,,,,
D-205-C-T1,,ANP,,,,,
D-206-P-10,,ANP,,,,,
D-206-P-20,,ANP,,,,,
D-206-P-30,,ANP,,,,,
D-206-P-30-T1,,ANP,,,,,
D-206-P-5,,ANP,,,,,
D-206-P-60,,ANP,,,,,
D-206-P-T1,,ANP,,,,,
D-209-C-10,,ANP,,,,,
D-209-C-20,,ANP,,,,,
D-209-C-30,,ANP,,,,,
D-209-C-30-T1,,ANP,,,,,
D-209-C-5,,ANP,,,,,
D-209-C-60,,ANP,,,,,
D-209-C-T1,,ANP,,,,,
D-210-S-10,,ANP,,,,,
D-210-S-20,,ANP,,,,,
D-210-S-30,,ANP,,,,,
D-210-S-30-T1,,ANP,,,,,
D-210-S-5,,ANP,,,,,
D-210-S-60,,ANP,,,,,
D-210-S-T1,,ANP,,,,,
D-307-C-10,,ANP,,,,,
D-307-C-20,,ANP,,,,,
D-307-C-30,,ANP,,,,,
D-307-C-30-T1,,ANP,,,,,
D-307-C-5,,ANP,,,,,
D-307-C-60,,ANP,,,,,
D-307-C-T1,,ANP,,,,,
D-308-X-10,,ANP,,,,,
D-308-X-20,,ANP,,,,,
D-308-X-30,,ANP,,,,,
D-308-X-30-T1,,ANP,,,,,
D-308-X-5,,ANP,,,,,
D-308-X-60,,ANP,,,,,
D-308-X-T1,,ANP,,,,,
D-401-S-10,,ANP,,,,,
D-401-S-20,,ANP,,,,,
D-401-S-30,,ANP,,,,,
D-401-S-30-T1,,ANP,,,,,
D-401-S-5,,ANP,,,,,
D-401-S-60,,ANP,,,,,
D-401-S-T1,,ANP,,,,,
D-402-X-10,,ANP,,,,,
D-402-X-20,,ANP,,,,,
D-402-X-30,,ANP,,,,,
