PlotID,ManureTreatmentID,StudyID
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
109,M_C_Day1_D_Spiked,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
110,M_X_Day1_D,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
101,M_S_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
102,M_P_Day1_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
203,M_P_Day2_D_Spiked,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
204,M_X_Day2_D,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
205,M_C_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
206,M_P_Day2_D_Spiked,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
405,M_X_Day3_D,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
406,M_P_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
411,M_S_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
412,M_C_Day3_D_Spiked,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
501,M_X_Day1_D,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
502,M_S_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
107,M_C_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
108,M_P_Day1_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
209,M_C_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
210,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
111,M_S_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
112,M_P_Day2_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
307,M_C_Day3_D_Spiked,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
308,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
407,M_X_Day3_D,D
