SampleID,SalmonellaCulturableSurrogate_strain3895_MPNPerML,DetectionLevel,,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,,
D-403-C-T2,,ANP,,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,,
D-408-P-30-T2,,ANP,,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,,
D-105-X-30-T2,0.03,BDL,,,,,,,,
D-105-X-T2,0.03,BDL,,,,,,,,
D-201-P-30-T2,0.03,BDL,,,,,,,,
D-308-X-30-T2,0.03,BDL,,,,,,,,
D-308-X-T2,0.03,BDL,,,,,,,,
D-402-X-30-T2,0.03,BDL,,,,,,,,
D-402-X-T2,0.04,BDL,,,,,,,,
D-407-X-30-T2,0.03,BDL,,,,,,,,
D-407-X-T2,0.03,BDL,,,,,,,,
D-504-X-30-T2,0.03,BDL,,,,,,,,
D-504-X-T2,0.03,BDL,,,,,,,,
D-203-P-30-T2,28500.00,TNTC,,,,,,,,
D-203-P-T2,28500.00,TNTC,,,,,,,,
D-205-C-T2,28500.00,TNTC,,,,,,,,
D-206-P-30-T2,16000.00,TNTC,,,,,,,,
D-412-C-30-T2,10150.00,TNTC,,,,,,,,
D-412-C-T2,9250.00,TNTC,,,,,,,,
D-101-S-30-T2,11000.00,WR,,,,,,,,
D-101-S-T2,30000.00,WR,,,,,,,,
D-102-P-30-T2,2400.00,WR,,,,,,,,
D-102-P-T2,11000.00,WR,,,,,,,,
D-106-P-30-T2,2.90,WR,,,,,,,,
D-106-P-T2,9.30,WR,,,,,,,,
D-107-C-30-T2,43.00,WR,,,,,,,,
D-107-C-T2,240.00,WR,,,,,,,,
D-108-P-30-T2,43.00,WR,,,,,,,,
D-108-P-T2,4.30,WR,,,,,,,,
D-109-C-30-T2,49000.00,WR,,,,,,,,
D-109-C-T2,30000.00,WR,,,,,,,,
D-110-X-30-T2,0.93,WR,,,,,,,,
D-110-X-T2,2.10,WR,,,,,,,,
D-111-S-30-T2,28.00,WR,,,,,,,,
D-111-S-T2,2.30,WR,,,,,,,,
D-112-P-30-T2,0.03,WR,,,,,,,,
D-112-P-T2,0.03,WR,,,,,,,,
D-201-P-T2,0.21,WR,,,,,,,,
D-202-S-30-T2,0.03,WR,,,,,,,,
D-202-S-T2,0.21,WR,,,,,,,,
D-204-X-30-T2,11.00,WR,,,,,,,,
D-204-X-T2,4.60,WR,,,,,,,,
D-205-C-30-T2,11000.00,WR,,,,,,,,
D-206-P-T2,2900.00,WR,,,,,,,,
D-209-C-30-T2,21.00,WR,,,,,,,,
D-209-C-T2,23.00,WR,,,,,,,,
D-210-S-30-T2,9200.00,WR,,,,,,,,
D-210-S-T2,23.00,WR,,,,,,,,
D-307-C-30-T2,240.00,WR,,,,,,,,
D-307-C-T2,43.00,WR,,,,,,,,
D-401-S-30-T2,0.03,WR,,,,,,,,
D-401-S-T2,0.11,WR,,,,,,,,
D-404-P-T2,0.36,WR,,,,,,,,
D-405-X-30-T2,11.00,WR,,,,,,,,
D-405-X-T2,11.00,WR,,,,,,,,
D-406-S-30-T2,4600.00,WR,,,,,,,,
D-406-S-T2,36.00,WR,,,,,,,,
D-408-P-T2,0.92,WR,,,,,,,,
D-409-C-T2,0.92,WR,,,,,,,,
D-410-S-T2,9.30,WR,,,,,,,,
D-411-S-30-T2,4.20,WR,,,,,,,,
D-411-S-T2,230.00,WR,,,,,,,,
D-501-X-30-T2,0.04,WR,,,,,,,,
D-501-X-T2,0.11,WR,,,,,,,,
D-502-S-30-T2,2400.00,WR,,,,,,,,
D-502-S-T2,93.00,WR,,,,,,,,
D-503-C-30-T2,9.30,WR,,,,,,,,
D-503-C-T2,9.30,WR,,,,,,,,
