SampleID,TotalColiformsCulturableColilert_CFUPer100ml,DetectionLevel
D-101-S-10,1413600,WR
D-101-S-20,1299700,WR
D-101-S-30,1553100,WR
D-101-S-30-T1,1119900,WR
D-101-S-5,1553100,WR
D-101-S-60,98120,WR
D-101-S-T1,135245,WR
D-102-P-10,241960,TNTC
D-102-P-20,241960,TNTC
D-102-P-30,241960,TNTC
D-102-P-30-T1,241960,TNTC
D-102-P-5,241960,TNTC
D-102-P-60,241960,TNTC
D-102-P-T1,241960,TNTC
D-105-X-10,4839.2,TNTC
D-105-X-20,4839.2,TNTC
D-105-X-30,4839.2,TNTC
D-105-X-30-T1,4839.2,TNTC
D-105-X-5,4839.2,TNTC
D-105-X-60,4839.2,TNTC
D-105-X-T1,4839.2,TNTC
D-106-P-10,4839.2,TNTC
D-106-P-20,4839.2,TNTC
D-106-P-30,4839.2,TNTC
D-106-P-30-T1,4839.2,TNTC
D-106-P-5,4839.2,TNTC
D-106-P-60,4839.2,TNTC
D-106-P-T1,4839.2,TNTC
D-107-C-10,241960,TNTC
D-107-C-20,241960,TNTC
D-107-C-30,241960,TNTC
D-107-C-30-T1,241960,TNTC
D-107-C-5,241960,TNTC
D-107-C-60,241960,TNTC
D-107-C-T1,241960,TNTC
D-108-P-10,4839.2,TNTC
D-108-P-20,4839.2,TNTC
D-108-P-30,4839.2,TNTC
D-108-P-30-T1,4839.2,TNTC
D-108-P-5,4839.2,TNTC
D-108-P-60,4839.2,TNTC
D-108-P-T1,4839.2,TNTC
D-109-C-10,2419600,TNTC
D-109-C-20,2419600,TNTC
D-109-C-30,2419600,TNTC
D-109-C-30-T1,2419600,TNTC
D-109-C-5,2419600,TNTC
D-109-C-60,579400,WR
D-109-C-T1,686700,WR
D-110-X-10,241960,TNTC
D-110-X-20,241960,TNTC
D-110-X-30,241960,TNTC
D-110-X-30-T1,241960,TNTC
D-110-X-5,241960,TNTC
D-110-X-60,241960,TNTC
D-110-X-T1,241960,TNTC
D-111-S-10,24196,TNTC
D-111-S-20,24196,TNTC
D-111-S-30,24196,TNTC
D-111-S-30-T1,24196,TNTC
D-111-S-5,24196,TNTC
D-111-S-60,24196,TNTC
D-111-S-T1,24196,TNTC
D-112-P-10,4839.2,TNTC
D-112-P-20,4839.2,TNTC
D-112-P-30,4839.2,TNTC
D-112-P-30-T1,4839.2,TNTC
D-112-P-5,4839.2,TNTC
D-112-P-60,4839.2,TNTC
D-112-P-T1,4839.2,TNTC
D-201-P-10,4839.2,TNTC
D-201-P-20,4839.2,TNTC
D-201-P-30,4839.2,TNTC
D-201-P-30-T1,4839.2,TNTC
D-201-P-5,4839.2,TNTC
D-201-P-60,4839.2,TNTC
D-201-P-T1,4839.2,TNTC
D-202-S-10,24196,TNTC
D-202-S-20,24196,TNTC
D-202-S-30,24196,TNTC
D-202-S-30-T1,24196,TNTC
D-202-S-5,24196,TNTC
D-202-S-60,24196,TNTC
D-202-S-T1,24196,TNTC
D-203-P-10,4839.2,TNTC
D-203-P-20,4839.2,TNTC
D-203-P-30,4839.2,TNTC
D-203-P-30-T1,4839.2,TNTC
D-203-P-5,4839.2,TNTC
D-203-P-60,4839.2,TNTC
D-203-P-T1,4839.2,TNTC
D-204-X-10,4839.2,TNTC
D-204-X-20,4839.2,TNTC
D-204-X-30,4839.2,TNTC
D-204-X-30-T1,4839.2,TNTC
D-204-X-5,4839.2,TNTC
D-204-X-60,4839.2,TNTC
D-204-X-T1,1155.15,WR
D-205-C-10,2419600,TNTC
D-205-C-20,2419600,TNTC
D-205-C-30,2419600,TNTC
D-205-C-30-T1,829700,WR
D-205-C-5,2419600,TNTC
D-205-C-60,172200,WR
D-205-C-T1,2419600,TNTC
D-206-P-10,4839.2,TNTC
D-206-P-20,4839.2,TNTC
D-206-P-30,4839.2,TNTC
D-206-P-30-T1,4839.2,TNTC
D-206-P-5,4839.2,TNTC
D-206-P-60,4839.2,TNTC
D-206-P-T1,4839.2,TNTC
D-209-C-10,241960,TNTC
D-209-C-20,241960,TNTC
D-209-C-30,241960,TNTC
D-209-C-30-T1,241960,TNTC
D-209-C-5,241960,TNTC
D-209-C-60,241960,TNTC
D-209-C-T1,241960,TNTC
D-210-S-10,24196,TNTC
D-210-S-20,24196,TNTC
D-210-S-30,24196,TNTC
D-210-S-30-T1,24196,TNTC
D-210-S-5,24196,TNTC
D-210-S-60,24196,TNTC
D-210-S-T1,24196,TNTC
D-307-C-10,241960,TNTC
D-307-C-20,241960,TNTC
D-307-C-30,241960,TNTC
D-307-C-30-T1,241960,TNTC
D-307-C-5,241960,TNTC
D-307-C-60,241960,TNTC
D-307-C-T1,241960,TNTC
D-308-X-10,4839.2,TNTC
D-308-X-20,4839.2,TNTC
D-308-X-30,4839.2,TNTC
D-308-X-30-T1,4839.2,TNTC
