SampleID,ClostridiumCulturable_TSCF_CFUPerML,DetectionLevel,
B-109-C-15,4.43,WR,
B-109-C-30-T,4.88,WR,
B-109-C-T2,3.63,WR,
B-102-P-15,0.96,WR,
B-102-P-30-T,3.99,WR,
B-102-P-T2,3.78,WR,
B-101-S-15,7.23,WR,
B-101-S-30-T,3.77,WR,
B-101-S-T2,2.90,WR,
B-110-X-15,0.84,WR,
B-110-X-30-T,0.66,WR,
B-110-X-T2,0.15,WR,
B-205-C-15,1.30,WR,
B-205-C-30-T,0.03,WR,
B-205-C-60,0.00,WR,
B-206-P-15,41.24,WR,
B-206-P-30-T,7.62,WR,
B-206-P-60,4.04,WR,
B-203-P-15,10.94,WR,
B-203-P-30-T,6.38,WR,
B-203-P-60,23.17,WR,
B-204-X-15,18.37,WR,
B-204-X-30-T,1.99,WR,
B-204-X-60,1.54,WR,
B-405-X-15,1.87,WR,
B-405-X-30-T,3.17,WR,
B-405-X-60,0.97,WR,
B-406-S-15,29.33,WR,
B-406-S-30-T,17.00,WR,
B-406-S-T2,10.67,WR,
B-411-S-15,13.00,WR,
B-411-S-30-T,1.33,WR,
B-411-S-T2,8.03,WR,
B-412-C-15,3.87,WR,
B-412-C-30-T,0.00,WR,
B-412-C-T2,0.70,WR,
B-107-C-30-T,0.85,WR,
B-107-C-T2,1.59,WR,
B-108-P-30-T,1.11,WR,
B-108-P-T2,1.79,WR,
B-501-X-30-T,1.10,WR,
B-501-X-T2,1.67,WR,
B-502-S-30-T,0.52,WR,
B-502-S-T2,0.59,WR,
B-107-C-15,2.44,WR,
B-108-P-15,1.87,WR,
B-501-X-15,1.26,WR,
B-502-S-15,0.50,WR,
B-111-S-30-T,2.12,WR,
B-111-S-T2,1.83,WR,
B-112-P-30-T,5.71,WR,
B-112-P-T2,3.53,WR,
B-209-C-30-T,3.66,WR,
B-209-C-T2,2.78,WR,
B-210-S-30-T,1.30,WR,
B-210-S-T2,1.30,WR,
B-111-S-15,1.80,WR,
B-112-P-15,3.53,WR,
B-209-C-15,4.45,WR,
B-210-S-15,1.53,WR,
B-307-C-30-T,0.02,WR,
B-307-C-T2,0.01,WR,
B-308-X-30-T,0.04,WR,
B-308-X-T2,0.00,WR,
B-407-X-30-T,0.03,WR,
B-407-X-T2,0.03,WR,
B-408-P-30-T,0.31,WR,
B-408-P-T2,0.16,WR,
B-307-C-15,0.10,WR,
B-308-X-15,0.00,WR,
B-407-X-15,0.02,WR,
B-408-P-15,0.41,WR,
B-105-X-30-T,0.04,WR,
B-105-X-T2,0.11,WR,
B-106-P-30-T,1.93,WR,
B-106-P-T2,2.15,WR,
B-503-C-30-T,0.97,WR,
B-503-C-T2,1.88,WR,
B-504-X-30-T,0.08,WR,
B-504-X-T2,0.08,WR,
B-105-X-15,0.01,WR,
B-106-P-15,1.61,WR,
B-503-C-15,0.62,WR,
B-504-X-15,0.08,WR,
B-201-P-30-T,5.41,WR,
B-201-P-T2,5.69,WR,
B-202-S-30-T,1.21,WR,
B-202-S-T2,0.95,WR,
B-401-S-30-T,6.91,WR,
B-401-S-T2,2.57,WR,
B-402-X-30-T,2.61,WR,
B-402-X-T2,2.49,WR,
B-201-P-15,8.96,WR,
B-202-S-15,1.52,WR,
B-401-S-15,2.16,WR,
B-402-X-15,1.54,WR,
B-403-C-30-T,0.71,WR,
B-403-C-T2,0.31,WR,
B-404-P-30-T,1.18,WR,
B-404-P-T2,1.47,WR,
B-409-C-30-T,0.92,WR,
B-409-C-T2,0.65,WR,
B-410-S-30-T,0.83,WR,
B-410-S-T2,0.79,WR,
B-403-C-15,0.41,WR,
B-404-P-15,1.60,WR,
B-409-C-15,0.39,WR,
B-410-S-15,0.87,WR,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
