SampleID,EColi0157SurrogateCulturable_CFUPerML,DetectionLevel,
B-109-C-30-T,222000,WR,
B-109-C-T2,84666.66667,WR,
B-102-P-30-T,3603.333333,WR,
B-102-P-T2,2260,WR,
B-101-S-30-T,5646.666667,WR,
B-101-S-T2,2366.666667,WR,
B-110-X-30-T,90,WR,
B-110-X-T2,70,WR,
B-205-C-30-T,541333.3333,WR,
B-205-C-T2,476000,WR,
B-206-P-30-T,13666.66667,WR,
B-206-P-T2,13250,WR,
B-203-P-30-T,23683.33333,WR,
B-203-P-T2,14022.22222,WR,
B-204-X-30-T,6.666666667,WR,
B-204-X-T2,6.666666667,WR,
B-405-X-30-T,3.333333333,WR,
B-405-X-T2,3.333333333,WR,
B-406-S-30-T,7466.666667,WR,
B-406-S-T2,5080,WR,
B-411-S-30-T,7826.666667,WR,
B-411-S-T2,3893.333333,WR,
B-412-C-30-T,99333.33333,WR,
B-412-C-T2,83333.33333,WR,
B-107-C-30-T,71266.66667,WR,
B-107-C-T2,40566.66667,WR,
B-108-P-30-T,403.3333333,WR,
B-108-P-T2,496.6666667,WR,
B-501-X-30-T,0,WR,
B-501-X-T2,0,WR,
B-502-S-30-T,262.962963,WR,
B-502-S-T2,253.3333333,WR,
B-111-S-30-T,205.5555556,WR,
B-111-S-T2,135.4814815,WR,
B-112-P-30-T,0.288888889,WR,
B-112-P-T2,1.177777778,WR,
B-209-C-30-T,53433.33333,WR,
B-209-C-T2,52266.66667,WR,
B-210-S-30-T,154.962963,WR,
B-210-S-T2,112.2222222,WR,
B-307-C-30-T,0,WR,
B-307-C-T2,18700,WR,
B-308-X-30-T,24933.33333,WR,
B-308-X-T2,0,WR,
B-407-X-30-T,0,WR,
B-407-X-T2,0,WR,
B-408-P-30-T,1.111111111,WR,
B-408-P-T2,1.222222222,WR,
B-105-X-30-T,0,WR,
B-105-X-T2,0,WR,
B-106-P-30-T,8.916666667,WR,
B-106-P-T2,1.25,WR,
B-503-C-30-T,10833.33333,WR,
B-503-C-T2,8900,WR,
B-504-X-30-T,76.66666667,WR,
B-504-X-T2,33.33333333,WR,
B-201-P-30-T,15.88888889,WR,
B-201-P-T2,21.5,WR,
B-202-S-30-T,61.5,WR,
B-202-S-T2,51,WR,
B-401-S-30-T,34.5,WR,
B-401-S-T2,21.33333333,WR,
B-402-X-30-T,1.33,WR,
B-402-X-T2,1,WR,
B-403-C-30-T,3942.222222,WR,
B-403-C-T2,3377.777778,WR,
B-404-P-30-T,10.88888889,WR,
B-404-P-T2,10.33333333,WR,
B-409-C-30-T,2377.777778,WR,
B-409-C-T2,2306.666667,WR,
B-410-S-30-T,131.33,WR,
B-410-S-T2,144,WR,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
