SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
B -109-C-5,R_109_B,109,B,12,5,2.285081983
B -109-C-10,R_109_B,109,B,17,10,6.889276955
B -109-C-15,R_109_B,109,B,22,15,12.28018872
B -109-C-20,R_109_B,109,B,27,20,17.94134671
B -109-C-30,R_109_B,109,B,37,30,30.81307439
B-109-C-30-T,R_109_B,109,B,42,30,30.81307439
B -109-C-60,R_109_B,109,B,67,60,70.68039829
B-109-C-T1,R_109_B,109,B,72,60,70.68039829
B-109-C-T2,R_109_B,109,B,72,60,70.68039829
B-110-X-5,R_110_B,110,B,10,5,2.568340065
B-110-X-10,R_110_B,110,B,15,10,6.107564721
B-110-X-15,R_110_B,110,B,20,15,10.1342335
B-110-X-20,R_110_B,110,B,25,20,14.60130353
B-110-X-30,R_110_B,110,B,35,30,25.7884964
B-110-X-30-T,R_110_B,110,B,40,30,25.7884964
B-110-X-60,R_110_B,110,B,65,60,60.2959368
B-110-X-T1,R_110_B,110,B,70,60,60.2959368
B-110-X-T2,R_110_B,110,B,70,60,60.2959368
B-101-S-5,R_101_B,101,B,7,5,2.110923303
B-101-S-10,R_101_B,101,B,12,10,5.224760381
B-101-S-15,R_101_B,101,B,17,15,12.82368391
B-101-S-20,R_101_B,101,B,22,20,16.54707636
B-101-S-30,R_101_B,101,B,32,30,26.16083565
B-101-S-30-T,R_101_B,101,B,37,30,26.16083565
B-101-S-60,R_101_B,101,B,62,60,61.24480133
B-101-S-T1,R_101_B,101,B,67,60,61.24480133
B-101-S-T2,R_101_B,101,B,67,60,61.24480133
B-102-P-5,R_102_B,102,B,9,5,3.094819751
B-102-P-10,R_102_B,102,B,14,10,7.87217249
B-102-P-15,R_102_B,102,B,19,15,13.83960954
B-102-P-20,R_102_B,102,B,24,20,20.63179803
B-102-P-30,R_102_B,102,B,34,30,34.92281886
B-102-P-30-T,R_102_B,102,B,39,30,34.92281886
B-102-P-60,R_102_B,102,B,64,60,80.25011745
B-102-P-T1,R_102_B,102,B,69,60,80.25011745
B-102-P-T2,R_102_B,102,B,69,60,80.25011745
B-203-P-5,R_203_B,203,B,12,5,3.270980254
B-203-P-10,R_203_B,203,B,17,10,9.568718246
B-203-P-15,R_203_B,203,B,22,15,16.38592954
B-203-P-20,R_203_B,203,B,27,20,23.08903687
B-203-P-30,R_203_B,203,B,37,30,36.50726248
B-203-P-30-T,R_203_B,203,B,42,30,36.50726248
