SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
B-109-C-5,109,B,1,R_109_B,M_C_Day1_B_Spiked,533,12,5,
B-109-C-10,109,B,1,R_109_B,M_C_Day1_B_Spiked,450,17,10,
B-109-C-15,109,B,1,R_109_B,M_C_Day1_B_Spiked,686,22,15,
B-109-C-20,109,B,1,R_109_B,M_C_Day1_B_Spiked,556,27,20,
B-109-C-30,109,B,1,R_109_B,M_C_Day1_B_Spiked,560,37,30,
B-109-C-30-T,109,B,2,R_109_B,M_C_Day1_B_Spiked,9862,42,30,
B-109-C-60,109,B,1,R_109_B,M_C_Day1_B_Spiked,431,67,60,
B-109-C-T1,109,B,2,R_109_B,M_C_Day1_B_Spiked,820,72,60,
B-109-C-T2,109,B,2,R_109_B,M_C_Day1_B_Spiked,10362,72,60,
B-110-X-5,110,B,1,R_110_B,M_X_Day1_B,466,10,5,
B-110-X-10,110,B,1,R_110_B,M_X_Day1_B,436,15,10,
B-110-X-15,110,B,1,R_110_B,M_X_Day1_B,673,20,15,
B-110-X-20,110,B,1,R_110_B,M_X_Day1_B,663,25,20,
B-110-X-30,110,B,1,R_110_B,M_X_Day1_B,477,35,30,
B-110-X-30-T,110,B,2,R_110_B,M_X_Day1_B,10862,40,30,
B-110-X-60,110,B,1,R_110_B,M_X_Day1_B,376,65,60,
B-110-X-T1,110,B,2,R_110_B,M_X_Day1_B,672,70,60,
B-110-X-T2,110,B,2,R_110_B,M_X_Day1_B,10762,70,60,
B-101-S-5,101,B,1,R_110_B,M_S_Day1_B_Spiked,709,5,5,
B-101-S-10,101,B,1,R_101_B,M_S_Day1_B_Spiked,611,10,10,
B-101-S-15,101,B,1,R_101_B,M_S_Day1_B_Spiked,992,15,15,
B-101-S-20,101,B,1,R_101_B,M_S_Day1_B_Spiked,620,20,20,
B-101-S-30,101,B,1,R_101_B,M_S_Day1_B_Spiked,605,30,30,
B-101-S-30-T,101,B,2,R_101_B,M_S_Day1_B_Spiked,10262,35,30,
B-101-S-60,101,B,1,R_101_B,M_S_Day1_B_Spiked,652,60,60,
B-101-S-T1,101,B,2,R_101_B,M_S_Day1_B_Spiked,719,65,60,
