SampleID,TotalColiformsCulturableColilert_MPNPer100ml,DetectionLevel,,
B-109-C-5,2419600,TNTC,,
B-109-C-10,2419600,TNTC,,
B-109-C-20,2419600,TNTC,,
B-109-C-30,2419600,TNTC,,
B-109-C-60,2419600,TNTC,,
B-109-C-T1,2419600,TNTC,,
B-110-X-5,21760,WR,,
B-110-X-10,61310,WR,,
B-110-X-20,30760,WR,,
B-110-X-30,20140,WR,,
B-110-X-60,10810,WR,,
B-110-X-T1,26130,WR,,
B-101-S-5,241960,TNTC,,
B-101-S-10,241960,TNTC,,
B-101-S-20,241960,TNTC,,
B-101-S-30,241960,TNTC,,
B-101-S-60,241960,TNTC,,
B-101-S-T1,241960,TNTC,,
B-102-P-5,1299700,WR,,
B-102-P-10,1553100,WR,,
B-102-P-20,866400,WR,,
B-102-P-30,427530,WR,,
B-102-P-60,191415,WR,,
B-102-P-T1,387300,WR,,
B-203-P-5,241960,WR,,
B-203-P-10,241960,WR,,
B-203-P-20,241960,WR,,
B-203-P-30,101120,WR,,
B-203-P-60,101120,WR,,
B-203-P-T1,241960,TNTC,,
B-204-X-5,12195,WR,,
B-204-X-10,8160,WR,,
B-204-X-20,6370,WR,,
B-204-X-30,4140,WR,,
B-204-X-60,2737.9,WR,,
B-204-X-T1,2921.3,WR,,
B-205-C-5,2419600,TNTC,,
B-205-C-10,2419600,TNTC,,
B-205-C-20,328980,WR,,
B-205-C-30,44520,WR,,
B-205-C-60,20330,WR,,
B-205-C-T1,2419600,WR,,
B-206-P-5,241960,TNTC,,
B-206-P-10,241960,TNTC,,
B-206-P-20,241960,TNTC,,
B-206-P-30,32550,WR,,
B-206-P-60,13760,WR,,
B-206-P-T1,241960,TNTC,,
B-405-X-5,7005,WR,,
B-405-X-10,2507.9,WR,,
B-405-X-20,1878.3,WR,,
B-405-X-30,740.4,WR,,
B-405-X-60,203.9,WR,,
B-405-X-T1,453.9,WR,,
B-406-S-5,241960,TNTC,,
B-406-S-10,241960,TNTC,,
B-406-S-20,241960,WR,,
B-406-S-30,58414.6,WR,,
B-406-S-60,9761.1,WR,,
B-406-S-T1,9170.8,WR,,
B-411-S-5,241960,TNTC,,
B-411-S-10,241960,TNTC,,
B-411-S-20,241960,TNTC,,
B-411-S-30,241960,TNTC,,
B-411-S-60,241960,TNTC,,
B-411-S-T1,241960,TNTC,,
B-412-C-5,2419600,TNTC,,
B-412-C-10,2419600,TNTC,,
B-412-C-20,2419600,TNTC,,
B-412-C-30,2419600,TNTC,,
B-412-C-60,2419600,TNTC,,
B-412-C-T1,2419600,TNTC,,
B-502-S-5,53390,WR,,
B-502-S-10,30760,WR,,
B-502-S-20,16964.6,WR,,
B-502-S-30,24890,WR,,
B-502-S-60,14670,WR,,
B-502-S-T1,13720,WR,,
B-501-X-5,3760,WR,,
B-501-X-10,11620,WR,,
B-501-X-20,20460,WR,,
B-501-X-30,10709.6,WR,,
B-501-X-60,3138.6,WR,,
B-501-X-T1,4181.3,WR,,
