SampleID,ClostridiumCulturable_TSCF_CFUPer100ml,DetectionLevel
C-101-S-15,2.5E+02,WR
C-101-S-30-T2,1.2E+02,WR
C-101-S-T2,1.2E+02,WR
C-102-P-15,5.8E+01,WR
C-102-P-30-T2,2.4E+01,WR
C-102-P-T2,2.5E+01,WR
C-105-X-15,1.2E+00,WR
C-105-X-30-T2,8.0E-01,WR
C-105-X-T2,1.1E+00,WR
C-106-P-15,2.7E+01,WR
C-106-P-30-T2,,ANP
C-106-P-T2,1.5E+01,WR
C-107-C-15,0.0E+00,WR
C-107-C-30-T2,0.0E+00,WR
C-107-C-T2,0.0E+00,WR
C-108-P-15,0.0E+00,WR
C-108-P-30-T2,2.3E+00,WR
C-108-P-T2,6.7E+00,WR
C-109-C-15,1.4E+02,WR
C-109-C-30-T2,1.7E+02,WR
C-109-C-T2,1.4E+02,WR
C-110-X-15,5.7E+00,WR
C-110-X-30-T2,1.8E+01,WR
C-110-X-T2,3.8E+01,WR
C-111-S-15,0.0E+00,WR
C-111-S-30-T2,1.3E+00,WR
C-111-S-T2,0.0E+00,WR
C-112-P-15,3.3E+00,WR
C-112-P-30-T2,6.7E-01,WR
C-112-P-T2,3.0E+00,WR
C-201-P-15,2.7E+01,WR
C-201-P-30-T2,2.6E+01,WR
C-201-P-T2,1.5E+01,WR
C-202-S-15,4.4E+01,WR
C-202-S-30-T2,4.7E+01,WR
C-202-S-T2,4.9E+01,WR
C-203-P-15,6.9E+01,WR
C-203-P-30-T2,5.5E+02,WR
C-203-P-T2,3.9E+02,WR
C-204-X-15,6.3E+01,WR
C-204-X-30-T2,2.2E+01,WR
C-204-X-T2,3.6E+01,WR
C-205-C-15,5.1E+02,WR
C-205-C-30-T2,4.4E+02,WR
C-205-C-T2,3.3E+02,WR
C-206-P-30-T2,4.6E+02,WR
C-206-P-T2,4.2E+02,WR
C-209-C-15,0.0E+00,WR
C-209-C-30-T2,0.0E+00,WR
C-209-C-T2,0.0E+00,WR
C-210-S-15,5.3E+00,WR
C-210-S-30-T2,1.8E+01,WR
C-210-S-T2,1.8E+01,WR
C-307-C-15,1.6E+00,WR
C-307-C-30-T2,1.4E+00,WR
C-307-C-T2,2.1E+00,WR
C-308-X-15,1.0E+00,WR
C-308-X-30-T2,8.0E-01,WR
C-308-X-T2,2.1E+00,WR
C-401-S-15,,TNTC
C-401-S-30-T2,,TNTC
C-401-S-T2,,TNTC
C-402-X-15,,TNTC
C-402-X-30-T2,,TNTC
C-402-X-T2,,TNTC
C-403-C-15,5.3E-01,WR
C-403-C-30-T2,4.3E+00,WR
C-403-C-T2,1.2E+01,WR
C-404-P-15,6.9E+00,WR
C-404-P-30-T2,1.4E+01,WR
C-404-P-T2,2.0E+01,WR
C-405-X-15,1.6E+01,WR
C-405-X-30-T2,1.2E+01,WR
C-405-X-T2,2.0E+01,WR
C-406-S-15,6.5E+02,WR
C-406-S-30-T2,9.1E+02,WR
C-406-S-T2,9.5E+02,WR
C-407-X-15,1.1E+00,WR
C-407-X-30-T2,1.5E+00,WR
C-407-X-T2,1.9E+00,WR
C-408-P-15,1.2E+01,WR
C-408-P-30-T2,1.2E+01,WR
C-408-P-T2,3.6E+01,WR
C-409-C-15,4.0E-01,WR
C-409-C-30-T2,5.3E-01,WR
C-409-C-T2,1.3E-01,WR
C-410-S-15,2.2E+01,WR
C-410-S-30-T2,2.6E+01,WR
C-410-S-T2,7.9E+00,WR
C-411-S-15,3.3E+01,WR
C-411-S-30-T2,1.6E+02,WR
C-411-S-T2,1.8E+02,WR
C-412-C-15,5.3E+01,WR
C-412-C-30-T2,7.5E+01,WR
C-412-C-T2,1.8E+02,WR
C-501-X-15,2.3E+00,WR
C-501-X-30-T2,1.7E-01,WR
C-501-X-T2,1.7E-01,WR
C-502-S-15,1.6E+01,WR
C-502-S-30-T2,3.5E+01,WR
C-502-S-T2,2.1E+01,WR
C-503-C-15,1.3E+00,WR
C-503-C-30-T2,8.9E-01,WR
C-503-C-T2,1.4E+00,WR
C-504-X-15,4.0E-01,WR
C-504-X-30-T2,5.5E+00,WR
C-504-X-T2,4.7E+00,WR
,,
