SampleID,Giardia_CystsPerLiter,DetectionLevel,Giardia_CystsPermL
C-101-S-15,,ANP,
C-102-P-15,,ANP,
C-102-P-30-T2,,ANP,
C-102-P-T2,,ANP,
C-105-X-15,,ANP,
C-106-P-15,,ANP,
C-106-P-30-T2,,ANP,
C-106-P-T2,,ANP,
C-107-C-15,,ANP,
C-107-C-30-T2,,ANP,
C-107-C-T2,,ANP,
C-108-P-15,,ANP,
C-108-P-30-T2,,ANP,
C-108-P-T2,,ANP,
C-109-C-15,,ANP,
C-110-X-15,,ANP,
C-110-X-15,,ANP,
C-111-S-15,,ANP,
C-112-P-15,,ANP,
C-112-P-30-T2,,ANP,
C-112-P-T2,,ANP,
C-201-P-15,,ANP,
C-201-P-30-T2,,ANP,
C-201-P-T2,,ANP,
C-202-S-15,,ANP,
C-203-P-15,,ANP,
C-203-P-30-T2,,ANP,
C-203-P-T2,,ANP,
C-204-X-15,,ANP,
C-205-C-15,,ANP,
C-206-P-30-T2,,ANP,
C-206-P-T2,,ANP,
C-209-C-15,,ANP,
C-209-C-30-T2,,ANP,
C-209-C-T2,,ANP,
C-210-S-15,,ANP,
C-307-C-15,,ANP,
C-308-X-15,,ANP,
C-401-S-15,,ANP,
C-402-X-15,,ANP,
C-403-C-15,,ANP,
C-404-P-15,,ANP,
C-404-P-30-T2,,ANP,
C-404-P-T2,,ANP,
C-405-X-15,,ANP,
C-406-S-15,,ANP,
C-407-X-15,,ANP,
C-407-X-30-T2,,ANP,
C-408-P-15,,ANP,
C-408-P-30-T2,,ANP,
C-408-P-T2,,ANP,
C-409-C-15,,ANP,
C-410-S-15,,ANP,
C-411-S-15,,ANP,
C-412-C-15,,ANP,
C-501-X-15,,ANP,
C-501-X-30-T2,,ANP,
C-501-X-T2,,ANP,
C-502-S-15,,ANP,
C-502-S-30-T2,,ANP,
C-503-C-15,,ANP,
C-504-X-15,,ANP,
C-105-X-30-T2,0.769230769,BDL,0.000769231
C-105-X-T2,0.125,BDL,0.000125
C-110-X-30-T2,0.666666667,BDL,0.000666667
C-110-X-T2,0.125,BDL,0.000125
C-204-X-30-T2,1,BDL,0.001
C-204-X-T2,0.105263158,BDL,0.000105263
C-308-X-30-T2,0.333333333,BDL,0.000333333
C-308-X-T2,0.142857143,BDL,0.000142857
C-402-X-T2,0.1,BDL,0.0001
C-403-C-30-T2,1.587301587,BDL,0.001587302
C-403-C-T2,0.142857143,BDL,0.000142857
C-410-S-T2,0.125,BDL,0.000125
C-411-S-30-T2,10,BDL,0.01
C-503-C-30-T2,1.538461538,BDL,0.001538462
C-503-C-T2,0.454545455,BDL,0.000454545
C-504-X-T2,0.222222222,BDL,0.000222222
C-101-S-30-T2,17.9245283,WR,0.017924528
C-101-S-T2,4.958677686,WR,0.004958678
C-109-C-30-T2,43.24324324,WR,0.043243243
C-109-C-T2,14.41441441,WR,0.014414414
C-111-S-30-T2,1,WR,0.001
C-111-S-T2,2,WR,0.002
C-202-S-30-T2,8.235294118,WR,0.008235294
C-202-S-T2,4.6,WR,0.0046
C-205-C-30-T2,247.6190476,WR,0.247619048
C-205-C-T2,314.2857143,WR,0.314285714
C-210-S-30-T2,2,WR,0.002
C-210-S-T2,0.243902439,WR,0.000243902
C-307-C-30-T2,0.571428571,WR,0.000571429
C-307-C-T2,0.428571429,WR,0.000428571
C-401-S-30-T2,12.14285714,WR,0.012142857
C-401-S-T2,16.42857143,WR,0.016428571
C-402-X-30-T2,0.142857143,WR,0.000142857
C-405-X-30-T2,0.666666667,WR,0.000666667
C-405-X-T2,0.285714286,WR,0.000285714
C-406-S-30-T2,288.8888889,WR,0.288888889
C-406-S-T2,100,WR,0.1
C-407-X-T2,0.4,WR,0.0004
C-409-C-30-T2,3,WR,0.003
C-409-C-T2,2.428571429,WR,0.002428571
C-410-S-30-T2,0.5,WR,0.0005
C-411-S-T2,147.4550898,WR,0.14745509
C-412-C-30-T2,14.28571429,WR,0.014285714
C-412-C-T2,112.5827815,WR,0.112582781
C-502-S-T2,1.066666667,WR,0.001066667
C-504-X-30-T2,1.333333333,WR,0.001333333
,,,
