PlotID,ManureTreatmentID,StudyID
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
109,M_C_Day1_C_Spiked,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
110,M_X_Day1_C,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
101,M_S_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
102,M_P_Day1_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
203,M_P_Day2_C_Spiked,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
204,M_X_Day2_C,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
205,M_C_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
206,M_P_Day2_C_Spiked,C
