SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
C -109-C-5,R_109_C,109,C,133,5,0.68
C -109-C-10,R_109_C,109,C,138,10,1.94
C -109-C-15,R_109_C,109,C,143,15,3.20
C -109-C-20,R_109_C,109,C,148,20,4.60
C -109-C-30,R_109_C,109,C,158,30,8.53
C-109-C-30-T,R_109_C,109,C,163,30,8.53
C -109-C-60,R_109_C,109,C,188,60,24.67
C-109-C-T1,R_109_C,109,C,193,60,24.67
C-109-C-T2,R_109_C,109,C,193,60,24.67
C-110-X-5,R_110_C,110,C,127,5,0.78
C-110-X-10,R_110_C,110,C,132,10,2.03
C-110-X-15,R_110_C,110,C,137,15,3.94
C-110-X-20,R_110_C,110,C,142,20,6.31
C-110-X-30,R_110_C,110,C,152,30,12.22
C-110-X-30-T,R_110_C,110,C,157,30,12.22
C-110-X-60,R_110_C,110,C,182,60,34.53
C-110-X-T1,R_110_C,110,C,187,60,34.53
C-110-X-T2,R_110_C,110,C,187,60,34.53
C-101-S-5,R_101_C,101,C,101,5,0.95
C-101-S-10,R_101_C,101,C,106,10,2.04
C-101-S-15,R_101_C,101,C,111,15,3.19
C-101-S-20,R_101_C,101,C,116,20,4.50
C-101-S-30,R_101_C,101,C,126,30,7.62
C-101-S-30-T1,R_101_C,101,C,131,30,7.62
C-101-S-30-T2,R_101_C,101,C,131,30,7.62
C-101-S-60,R_101_C,101,C,156,60,18.55
C-101-S-T1,R_101_C,101,C,161,60,18.55
C-101-S-T2,R_101_C,101,C,161,60,18.55
C-102-P-5,R_102_C,102,C,112,5,0.66
C-102-P-10,R_102_C,102,C,117,10,1.39
C-102-P-15,R_102_C,102,C,122,15,2.32
C-102-P-20,R_102_C,102,C,127,20,3.36
C-102-P-30,R_102_C,102,C,137,30,5.57
C-102-P-30-T1,R_102_C,102,C,142,30,5.57
C-102-P-30-T2,R_102_C,102,C,142,30,5.57
C-102-P-60,R_102_C,102,C,167,60,13.80
C-102-P-T1,R_102_C,102,C,172,60,13.80
C-102-P-T2,R_102_C,102,C,172,60,13.80
C-203-P-5,R_203_C,203,C,114,5,0.60
C-203-P-10,R_203_C,203,C,119,10,1.26
C-203-P-15,R_203_C,203,C,124,15,2.08
C-203-P-20,R_203_C,203,C,129,20,2.93
C-203-P-30,R_203_C,203,C,139,30,5.18
C-203-P-30-T1,R_203_C,203,C,144,30,5.18
C-203-P-30-T2,R_203_C,203,C,144,30,5.18
C-203-P-60,R_203_C,203,C,169,60,14.96
C-203-P-T1,R_203_C,203,C,174,60,14.96
C-203-P-T2,R_203_C,203,C,174,60,14.96
C-204-X-5,R_204_C,204,C,89,5,0.93
C-204-X-10,R_204_C,204,C,94,10,2.30
C-204-X-15,R_204_C,204,C,99,15,3.95
C-204-X-20,R_204_C,204,C,104,20,6.00
C-204-X-30,R_204_C,204,C,114,30,10.50
C-204-X-30-T1,R_204_C,204,C,119,30,10.50
C-204-X-30-T2,R_204_C,204,C,119,30,10.50
C-204-X-60,R_204_C,204,C,144,60,25.11
C-204-X-T1,R_204_C,204,C,149,60,25.11
C-204-X-T2,R_204_C,204,C,149,60,25.11
C-205-C-5,R_205_C,205,C,94,5,1.01
C-205-C-10,R_205_C,205,C,99,10,2.19
C-205-C-15,R_205_C,205,C,104,15,3.55
C-205-C-20,R_205_C,205,C,109,20,5.01
C-205-C-30,R_205_C,205,C,119,30,7.78
C-205-C-30-T1,R_205_C,205,C,124,30,7.78
C-205-C-30-T2,R_205_C,205,C,124,30,7.78
C-205-C-60,R_205_C,205,C,149,60,19.67
C-205-C-T1,R_205_C,205,C,154,60,19.67
C-205-C-T2,R_205_C,205,C,154,60,19.67
C-206-P-5,R_206_C,206,C,157,5,0.33
C-206-P-10,R_206_C,206,C,162,10,0.71
C-206-P-15,R_206_C,206,C,167,15,1.42
C-206-P-20,R_206_C,206,C,172,20,2.25
C-206-P-30,R_206_C,206,C,182,30,4.15
C-206-P-30-T1,R_206_C,206,C,187,30,4.15
C-206-P-30-T2,R_206_C,206,C,187,30,4.15
C-206-P-60,R_206_C,206,C,212,60,12.13
C-206-P-T1,R_206_C,206,C,217,60,12.13
C-206-P-T2,R_206_C,206,C,217,60,12.13
C-405-X-5,R_405_C,405,C,91,5,0.92
C-405-X-10,R_405_C,405,C,96,10,2.25
C-405-X-15,R_405_C,405,C,101,15,4.03
C-405-X-20,R_405_C,405,C,106,20,5.96
C-405-X-30,R_405_C,405,C,116,30,11.55
C-405-X-30-T1,R_405_C,405,C,121,30,11.55
C-405-X-30-T2,R_405_C,405,C,121,30,11.55
C-405-X-60,R_405_C,405,C,146,60,34.97
C-405-X-T1,R_405_C,405,C,151,60,34.97
C-405-X-T2,R_405_C,405,C,151,60,34.97
C-406-S-5,R_406_C,406,C,97,5,0.97
C-406-S-10,R_406_C,406,C,102,10,2.38
C-406-S-15,R_406_C,406,C,107,15,4.04
C-406-S-20,R_406_C,406,C,112,20,6.79
C-406-S-30,R_406_C,406,C,127,30,14.90
C-406-S-30-T1,R_406_C,406,C,122,30,14.90
C-406-S-30-T2,R_406_C,406,C,122,30,14.90
C-406-S-60,R_406_C,406,C,152,60,48.39
C-406-S-T1,R_406_C,406,C,157,60,48.39
C-406-S-T2,R_406_C,406,C,157,60,48.39
C-411-S-5,R_411_C,411,C,164,5,0.33
C-411-S-10,R_411_C,411,C,169,10,0.81
C-411-S-15,R_411_C,411,C,174,15,1.34
C-411-S-20,R_411_C,411,C,179,20,1.96
C-411-S-30,R_411_C,411,C,189,30,3.32
C-411-S-30-T1,R_411_C,411,C,194,30,3.32
C-411-S-30-T2,R_411_C,411,C,194,30,3.32
C-411-S-60,R_411_C,411,C,219,60,10.24
C-411-S-T1,R_411_C,411,C,224,60,10.24
C-411-S-T2,R_411_C,411,C,224,60,10.24
C-412-C-5,R_412_C,412,C,168,5,0.73
C-412-C-10,R_412_C,412,C,173,10,1.39
C-412-C-15,R_412_C,412,C,178,15,2.29
C-412-C-20,R_412_C,412,C,183,20,3.35
C-412-C-30,R_412_C,412,C,193,30,6.10
C-412-C-30-T1,R_412_C,412,C,198,30,6.10
C-412-C-30-T2,R_412_C,412,C,198,30,6.10
C-412-C-60,R_412_C,412,C,223,60,18.99
C-412-C-T1,R_412_C,412,C,228,60,18.99
C-412-C-T2,R_412_C,412,C,228,60,18.99
C-502-S-5,R_502_C,502,C,84,5,1.10
C-502-S-10,R_502_C,502,C,89,10,2.63
C-502-S-15,R_502_C,502,C,94,15,4.63
C-502-S-20,R_502_C,502,C,99,20,6.88
C-502-S-30,R_502_C,502,C,109,30,12.36
C-502-S-30-T1,R_502_C,502,C,114,30,12.36
C-502-S-30-T2,R_502_C,502,C,114,30,12.36
C-502-S-60,R_502_C,502,C,139,60,32.09
