SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,Notes
C-109-C-5,109,C,1,R_109_C,M_C_Day1_C_Spiked,681,133,5,
C-109-C-10,109,C,1,R_109_C,M_C_Day1_C_Spiked,658,138,10,
C-109-C-15,109,C,1,R_109_C,M_C_Day1_C_Spiked,954,143,15,
C-109-C-20,109,C,1,R_109_C,M_C_Day1_C_Spiked,700,148,20,
C-109-C-30,109,C,1,R_109_C,M_C_Day1_C_Spiked,625,158,30,
C-109-C-30-T,109,C,2,R_109_C,M_C_Day1_C_Spiked,2362,163,30,
C-109-C-60,109,C,1,R_109_C,M_C_Day1_C_Spiked,740,188,60,
C-109-C-T1,109,C,2,R_109_C,M_C_Day1_C_Spiked,693,193,60,
C-109-C-T2,109,C,2,R_109_C,M_C_Day1_C_Spiked,5562,193,60,
C-110-X-5,110,C,1,R_110_C,M_X_Day1_C,776,127,5,
C-110-X-10,110,C,1,R_110_C,M_X_Day1_C,753,132,10,
C-110-X-15,110,C,1,R_110_C,M_X_Day1_C,1004,137,15,
C-110-X-20,110,C,1,R_110_C,M_X_Day1_C,773,142,20,
C-110-X-30,110,C,1,R_110_C,M_X_Day1_C,804,152,30,
C-110-X-30-T,110,C,2,R_110_C,M_X_Day1_C,3262,157,30,
C-110-X-60,110,C,1,R_110_C,M_X_Day1_C,785,182,60,
C-110-X-T1,110,C,2,R_110_C,M_X_Day1_C,761,187,60,
C-110-X-T2,110,C,2,R_110_C,M_X_Day1_C,9462,187,60,
C-101-S-5,101,C,1,R_110_C,M_S_Day1_C_Spiked,553,101,5,
C-101-S-10,101,C,1,R_101_C,M_S_Day1_C_Spiked,587,106,10,
C-101-S-15,101,C,1,R_101_C,M_S_Day1_C_Spiked,950,111,15,
C-101-S-20,101,C,1,R_101_C,M_S_Day1_C_Spiked,703,116,20,
C-101-S-30,101,C,1,R_101_C,M_S_Day1_C_Spiked,621,126,30,
C-101-S-30-T1,101,C,1,R_101_C,M_S_Day1_C_Spiked,605,131,30,
C-101-S-30-T2,101,C,2,R_101_C,M_S_Day1_C_Spiked,1662,131,30,
C-101-S-60,101,C,1,R_101_C,M_S_Day1_C_Spiked,623,156,60,
C-101-S-T1,101,C,2,R_101_C,M_S_Day1_C_Spiked,636,161,60,
C-101-S-T2,101,C,2,R_101_C,M_S_Day1_C_Spiked,5662,161,60,
C-102-P-5,102,C,1,R_102_C,M_P_Day1_C_Spiked,656,112,5,
C-102-P-10,102,C,1,R_102_C,M_P_Day1_C_Spiked,637,117,10,
C-102-P-15,102,C,1,R_102_C,M_P_Day1_C_Spiked,923,122,15,
C-102-P-20,102,C,1,R_102_C,M_P_Day1_C_Spiked,642,127,20,
C-102-P-30,102,C,1,R_102_C,M_P_Day1_C_Spiked,605,137,30,
C-102-P-30-T1,102,C,1,R_102_C,M_P_Day1_C_Spiked,628,142,30,
C-102-P-30-T2,102,C,2,R_102_C,M_P_Day1_C_Spiked,1762,142,30,
C-102-P-60,102,C,1,R_102_C,M_P_Day1_C_Spiked,625,167,60,
C-102-P-T1,102,C,2,R_102_C,M_P_Day1_C_Spiked,725,172,60,
C-102-P-T2,102,C,2,R_102_C,M_P_Day1_C_Spiked,1962,172,60,
C-203-P-5,203,C,1,R_203_C,M_P_Day2_C_Spiked,598,114,5,
C-203-P-10,203,C,1,R_203_C,M_P_Day2_C_Spiked,659,119,10,
C-203-P-15,203,C,1,R_203_C,M_P_Day2_C_Spiked,821,124,15,
C-203-P-20,203,C,1,R_203_C,M_P_Day2_C_Spiked,646,129,20,
C-203-P-30,203,C,1,R_203_C,M_P_Day2_C_Spiked,653,139,30,
C-203-P-30-T1,203,C,2,R_203_C,M_P_Day2_C_Spiked,216,144,30,
C-203-P-30-T2,203,C,2,R_203_C,M_P_Day2_C_Spiked,862,144,30,
C-203-P-60,203,C,1,R_203_C,M_P_Day2_C_Spiked,723,169,60,
C-203-P-T1,203,C,2,R_203_C,M_P_Day2_C_Spiked,571,174,60,
C-203-P-T2,203,C,2,R_203_C,M_P_Day2_C_Spiked,1962,174,60,
C-204-X-5,204,C,1,R_204_C,M_X_Day2_C,630,89,5,
C-204-X-10,204,C,1,R_204_C,M_X_Day2_C,664,94,10,
C-204-X-15,204,C,1,R_204_C,M_X_Day2_C,952,99,15,
