SampleID,TotalColiformsCulturableColilert_CFUPer100ml,DetectionLevel,,
C-109-C-5,2419600,TNTC,,
C-109-C-10,2419600,TNTC,,
C-109-C-20,1011200,WR,,
C-109-C-30,2419600,TNTC,,
C-109-C-30-T1,2419600,TNTC,,
C-109-C-60,2419600,TNTC,,
C-109-C-T1,1011200,WR,,
C-110-X-5,241960,TNTC,,
C-110-X-10,241960,TNTC,,
C-110-X-20,241960,TNTC,,
C-110-X-30,241960,TNTC,,
C-110-X-30-T1,241960,TNTC,,
C-110-X-60,241960,TNTC,,
C-110-X-T1,241960,TNTC,,
C-101-S-5,193745,WR,,
C-101-S-10,92565,WR,,
C-101-S-20,133010,WR,,
C-101-S-30,805520,WR,,
C-101-S-30-T1,1986300,WR,,
C-101-S-60,1046200,WR,,
C-101-S-T1,1986300,WR,,
C-102-P-5,241960,TNTC,,
C-102-P-10,241960,TNTC,,
C-102-P-20,173290,WR,,
C-102-P-30,241960,TNTC,,
C-102-P-30-T1,241960,TNTC,,
C-102-P-60,241960,TNTC,,
C-102-P-T1,241960,TNTC,,
C-203-P-5,241960,TNTC,,
C-203-P-10,241960,TNTC,,
C-203-P-20,241960,TNTC,,
C-203-P-30,241960,TNTC,,
C-203-P-30-T1,241960,TNTC,,
C-203-P-60,241960,TNTC,,
C-203-P-T1,241960,TNTC,,
C-204-X-5,241960,TNTC,,
C-204-X-10,241960,TNTC,,
C-204-X-20,88631.3,WR,,
C-204-X-30,241960,TNTC,,
C-204-X-30-T1,241960,TNTC,,
C-204-X-60,241960,TNTC,,
C-204-X-T1,241960,TNTC,,
C-205-C-5,2419600,TNTC,,
C-205-C-10,2419600,TNTC,,
C-205-C-20,2419600,TNTC,,
C-205-C-30,2419600,TNTC,,
C-205-C-30-T1,2419600,TNTC,,
C-205-C-60,1553100,WR,,
C-205-C-T1,2419600,TNTC,,
C-206-P-5,241960,TNTC,,
C-206-P-10,241960,TNTC,,
C-206-P-20,241960,TNTC,,
C-206-P-30,241960,TNTC,,
C-206-P-30-T1,241960,TNTC,,
C-206-P-60,241960,TNTC,,
C-206-P-T1,241960,TNTC,,
C-405-X-5,241960,TNTC,,
C-405-X-10,241960,TNTC,,
C-405-X-20,141360,WR,,
C-405-X-30,61310,WR,,
C-405-X-30-T1,57940,WR,,
C-405-X-60,241960,TNTC,,
C-405-X-T1,53429.9,WR,,
C-406-S-5,1986300,WR,,
C-406-S-10,2419600,WR,,
C-406-S-20,554180,WR,,
C-406-S-30,216130,WR,,
C-406-S-30-T1,195605,WR,,
C-406-S-60,147885,WR,,
C-406-S-T1,161370,WR,,
C-411-S-5,162690,WR,,
C-411-S-10,229965,WR,,
C-411-S-20,1287455,WR,,
C-411-S-30,290900,WR,,
C-411-S-30-T1,245030,WR,,
C-411-S-60,142620,WR,,
C-411-S-T1,150985,WR,,
C-412-C-5,2419600,TNTC,,
C-412-C-10,93105,WR,,
C-412-C-20,173000,WR,,
C-412-C-30,123115,WR,,
C-412-C-30-T1,264885,WR,,
C-412-C-60,224700,WR,,
C-412-C-T1,132970,WR,,
C-502-S-5,241960,TNTC,,
C-502-S-10,241960,TNTC,,
C-502-S-20,241960,TNTC,,
C-502-S-30,241960,TNTC,,
C-502-S-30-T1,241960,TNTC,,
C-502-S-60,241960,TNTC,,
C-502-S-T1,241960,TNTC,,
C-501-X-5,241960,TNTC,,
