"detail_info" "mean" "std" "samplesize" "detectionfreq"
"1" "0_C_A_CampylobacterCulturable_MPNPer100ml_0_30" "26" "4.24264068711928" "2" "2/2"
"2" "0_C_A_CampylobacterCulturable_MPNPer100ml_30_60" "95.2" "87.8419034402147" "7" "5/7"
"3" "0_C_A_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "6.43333333333333" "7.62434696657141" "13" "4/13"
"4" "0_C_A_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "7.8" "7.61544483270675" "18" "3/18"
"5" "0_C_A_Crypto_OocystsPer100ml_0_30" "7.5" "3.53553390593274" "20" "0/20"
"6" "0_C_A_Crypto_OocystsPer100ml_30_60" "7" "2.73861278752583" "25" "0/25"
"7" "0_C_A_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "27" "0/27"
"8" "0_C_A_EColi0157Culturable_MPNPer100ml_30_60" "7.32" "7.74674125035811" "32" "4/32"
"9" "0_C_A_EColiCulturableColilert_MPNPer100ML_0_30" "83185.9666666667" "70395.8902330415" "44" "12/44"
"10" "0_C_A_EColiCulturableColilert_MPNPer100ML_30_60" "83403.8454545455" "85468.0586959522" "55" "11/55"
"11" "0_C_A_enterococciCulturableMEI_CFUPer100ML_0_30" "59125" "58801.7180484937" "67" "12/67"
"12" "0_C_A_enterococciCulturableMEI_CFUPer100ML_30_60" "48636.3636363636" "65346.419530488" "78" "11/78"
"13" "0_C_A_Giardia_CystsPer100ml_0_30" "862.5" "611.647365726364" "80" "2/80"
"14" "0_C_A_Giardia_CystsPer100ml_30_60" "1325" "904.930936591296" "85" "5/85"
"15" "0_C_A_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "87" "0/87"
"16" "0_C_A_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "92" "0/92"
"17" "0_C_B_CampylobacterCulturable_MPNPer100ml_0_30" "747.666666666667" "610.259234533434" "95" "3/95"
"18" "0_C_B_CampylobacterCulturable_MPNPer100ml_30_60" "813.333333333333" "496.521231503078" "98" "3/98"
"19" "0_C_B_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "241.833333333333" "223.683183692174" "104" "6/104"
"20" "0_C_B_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "144.333333333333" "192.578122675794" "107" "3/107"
"21" "0_C_B_Crypto_OocystsPer100ml_0_30" "2473.33333333333" "1137.07226390117" "110" "3/110"
"22" "0_C_B_Crypto_OocystsPer100ml_30_60" "1680" "812.649986156402" "113" "3/113"
"23" "0_C_B_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "116" "0/116"
"24" "0_C_B_EColi0157Culturable_MPNPer100ml_30_60" "3" "0" "119" "0/119"
"25" "0_C_B_EColiCulturableColilert_MPNPer100ML_0_30" "1040984.44444444" "698229.715389411" "128" "9/128"
"26" "0_C_B_EColiCulturableColilert_MPNPer100ML_30_60" "825052.962966667" "710474.812640822" "137" "9/137"
"27" "0_C_B_enterococciCulturableMEI_CFUPer100ML_0_30" "132844.444444444" "110381.974424168" "146" "9/146"
"28" "0_C_B_enterococciCulturableMEI_CFUPer100ML_30_60" "107722.222222222" "68080.8853089062" "155" "9/155"
"29" "0_C_B_Giardia_CystsPer100ml_0_30" "856.666666666667" "380.832421588989" "158" "3/158"
"30" "0_C_B_Giardia_CystsPer100ml_30_60" "576.666666666667" "396.77869566464" "161" "3/161"
"31" "0_C_B_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "164" "0/164"
"32" "0_C_B_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "167" "0/167"
"33" "0_C_C_CampylobacterCulturable_MPNPer100ml_0_30" "3" "0" "170" "0/170"
"34" "0_C_C_CampylobacterCulturable_MPNPer100ml_30_60" "3.33333333333333" "0.577350269189626" "173" "1/173"
"35" "0_C_C_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "231.333333333333" "194.701480905171" "179" "6/179"
"36" "0_C_C_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "216.666666666667" "100.166528008778" "182" "3/182"
"37" "0_C_C_Crypto_OocystsPer100ml_0_30" "1480.381" "1358.36464746511" "185" "3/185"
"38" "0_C_C_Crypto_OocystsPer100ml_30_60" "1641.53833333333" "948.849408182528" "188" "3/188"
"39" "0_C_C_EColi0157Culturable_MPNPer100ml_0_30" "3" "0" "191" "0/191"
"40" "0_C_C_EColi0157Culturable_MPNPer100ml_30_60" "5.1" "3.63730669589464" "194" "1/194"
"41" "0_C_C_EColiCulturableColilert_MPNPer100ML_0_30" "14397.9166666667" "6442.7370871581" "206" "12/206"
"42" "0_C_C_EColiCulturableColilert_MPNPer100ML_30_60" "17412.0370366667" "11849.7107841016" "215" "9/215"
"43" "0_C_C_enterococciCulturableMEI_CFUPer100ML_0_30" "65916.6666666667" "46664.0962495566" "227" "12/227"
"44" "0_C_C_enterococciCulturableMEI_CFUPer100ML_30_60" "70000" "49571.2870520829" "236" "9/236"
"45" "0_C_C_Giardia_CystsPer100ml_0_30" "1017.1600171" "1271.82580256524" "239" "3/239"
"46" "0_C_C_Giardia_CystsPer100ml_30_60" "1470.94303403333" "1528.85522475128" "242" "3/242"
"47" "0_C_C_SalmonellaCulturableWildType_MPNPer100ml_0_30" "3" "0" "245" "0/245"
"48" "0_C_C_SalmonellaCulturableWildType_MPNPer100ml_30_60" "3" "0" "248" "0/248"
"49" "0_C_D_CampylobacterCulturable_MPNPer100ml_0_30" "3.2" "0.346410161513776" "251" "1/251"
"50" "0_C_D_CampylobacterCulturable_MPNPer100ml_30_60" "3" "0" "254" "0/254"
"51" "0_C_D_ClostridiumCulturable_TSCF_CFUPer100ml_0_30" "88.4166666666667" "61.1214429367196" "260" "6/260"
"52" "0_C_D_ClostridiumCulturable_TSCF_CFUPer100ml_30_60" "62.67" "48.8671668914825" "263" "3/263"
"53" "0_C_D_Crypto_OocystsPer100ml_0_30" "546666.666666667" "407677.977493675" "266" "3/266"
"54" "0_C_D_Crypto_OocystsPer100ml_30_60" "376666.666666667" "152109.609602199" "269" "3/269"
"55" "0_C_D_EColi0157Culturable_MPNPer100ml_0_30" "2466.66666666667" "2367.13610367747" "272" "3/272"
"56" "0_C_D_EColi0157Culturable_MPNPer100ml_30_60" "12733.3333333333" "20149.5243947179" "275" "3/275"
"57" "0_C_D_EColiCulturableColilert_MPNPer100ML_0_30" "14220" "10323.1630547301" "287" "12/287"
