"","","method","season","Source"
"1","0.397","EColi0157Culturable_MPNPer100ml","Event1","Cattle"
"2","Inf","EColi0157Culturable_MPNPer100ml","Event2","Cattle"
"3","-8.04","EColi0157Culturable_MPNPer100ml","Event3","Cattle"
"4","0.208","EColi0157Culturable_MPNPer100ml","Event4","Cattle"
"5","2.1","EColiCulturableColilert_MPNPer100ML","Event1","Cattle"
"6","-0.456","EColiCulturableColilert_MPNPer100ML","Event2","Cattle"
"7","0.421","EColiCulturableColilert_MPNPer100ML","Event3","Cattle"
"8","0.343","EColiCulturableColilert_MPNPer100ML","Event4","Cattle"
"9","0.915","CampylobacterCulturable_MPNPer100ml","Event1","Cattle"
"10","0.222","CampylobacterCulturable_MPNPer100ml","Event2","Cattle"
"11","5.66","CampylobacterCulturable_MPNPer100ml","Event3","Cattle"
"12","6.16","CampylobacterCulturable_MPNPer100ml","Event4","Cattle"
"13","-0.713","enterococciCulturableMEI_CFUPer100ML","Event1","Cattle"
"14","0.291","enterococciCulturableMEI_CFUPer100ML","Event2","Cattle"
"15","1.3","enterococciCulturableMEI_CFUPer100ML","Event3","Cattle"
"16","0.592","enterococciCulturableMEI_CFUPer100ML","Event4","Cattle"
"17","0.208","Giardia_CystsPer100ml","Event1","Cattle"
"18","0.131","Giardia_CystsPer100ml","Event2","Cattle"
"19","0.299","Giardia_CystsPer100ml","Event3","Cattle"
"20","0.155","Giardia_CystsPer100ml","Event4","Cattle"
"21","1.37","ClostridiumCulturable_TSCF_CFUPer100ml","Event2","Cattle"
"22","0.324","ClostridiumCulturable_TSCF_CFUPer100ml","Event4","Cattle"
"23","1.83","Crypto_OocystsPer100ml","Event1","Cattle"
"24","0.141","Crypto_OocystsPer100ml","Event2","Cattle"
"25","0.15","Crypto_OocystsPer100ml","Event3","Cattle"
"26","0.127","Crypto_OocystsPer100ml","Event4","Cattle"
"27","0.606","SalmonellaCulturableWildType_MPNPer100ml","Event1","Cattle"
"28","Inf","SalmonellaCulturableWildType_MPNPer100ml","Event2","Cattle"
"29","Inf","SalmonellaCulturableWildType_MPNPer100ml","Event3","Cattle"
"30","1.69","SalmonellaCulturableWildType_MPNPer100ml","Event4","Cattle"
"31","0.908","EColiCulturableColilert_MPNPer100ML","Event1","Poultry"
"32","-0.262","EColiCulturableColilert_MPNPer100ML","Event2","Poultry"
"33","1.55","EColiCulturableColilert_MPNPer100ML","Event3","Poultry"
"34","2.24","EColiCulturableColilert_MPNPer100ML","Event4","Poultry"
"35","0.725","CampylobacterCulturable_MPNPer100ml","Event1","Poultry"
"36","6.61","CampylobacterCulturable_MPNPer100ml","Event2","Poultry"
"37","-8.32e+15","CampylobacterCulturable_MPNPer100ml","Event3","Poultry"
"38","-8.32e+15","CampylobacterCulturable_MPNPer100ml","Event4","Poultry"
"39","-0.746","enterococciCulturableMEI_CFUPer100ML","Event1","Poultry"
"40","-0.575","enterococciCulturableMEI_CFUPer100ML","Event2","Poultry"
"41","-23.9","enterococciCulturableMEI_CFUPer100ML","Event3","Poultry"
"42","-0.42","enterococciCulturableMEI_CFUPer100ML","Event4","Poultry"
"43","-1.09","ClostridiumCulturable_TSCF_CFUPer100ml","Event1","Poultry"
"44","1.13","ClostridiumCulturable_TSCF_CFUPer100ml","Event2","Poultry"
"45","0.523","ClostridiumCulturable_TSCF_CFUPer100ml","Event3","Poultry"
"46","6.56","ClostridiumCulturable_TSCF_CFUPer100ml","Event4","Poultry"
"47","1.69","SalmonellaCulturableWildType_MPNPer100ml","Event1","Poultry"
"48","-1.41","SalmonellaCulturableWildType_MPNPer100ml","Event2","Poultry"
"49","2.45e+16","SalmonellaCulturableWildType_MPNPer100ml","Event3","Poultry"
"50","0.558","EColi0157Culturable_MPNPer100ml","Event1","Swine"
"51","3.42","EColi0157Culturable_MPNPer100ml","Event2","Swine"
"52","2.24","EColi0157Culturable_MPNPer100ml","Event3","Swine"
"53","0.145","EColi0157Culturable_MPNPer100ml","Event4","Swine"
"54","-29","EColiCulturableColilert_MPNPer100ML","Event1","Swine"
"55","-2.29","EColiCulturableColilert_MPNPer100ML","Event2","Swine"
"56","0.554","EColiCulturableColilert_MPNPer100ML","Event3","Swine"
"57","2.56","EColiCulturableColilert_MPNPer100ML","Event4","Swine"
"58","2.24","CampylobacterCulturable_MPNPer100ml","Event1","Swine"
"59","-8.32e+15","CampylobacterCulturable_MPNPer100ml","Event2","Swine"
"60","-8.32e+15","CampylobacterCulturable_MPNPer100ml","Event3","Swine"
"61","-8.32e+15","CampylobacterCulturable_MPNPer100ml","Event4","Swine"
"62","-0.367","enterococciCulturableMEI_CFUPer100ML","Event1","Swine"
"63","-0.776","enterococciCulturableMEI_CFUPer100ML","Event2","Swine"
"64","7.99","enterococciCulturableMEI_CFUPer100ML","Event3","Swine"
"65","-1.57","enterococciCulturableMEI_CFUPer100ML","Event4","Swine"
"66","-5.82","Giardia_CystsPer100ml","Event1","Swine"
"67","0.197","Giardia_CystsPer100ml","Event2","Swine"
"68","0.533","Giardia_CystsPer100ml","Event3","Swine"
"69","0.364","Giardia_CystsPer100ml","Event4","Swine"
"70","8.06","ClostridiumCulturable_TSCF_CFUPer100ml","Event1","Swine"
"71","0.837","ClostridiumCulturable_TSCF_CFUPer100ml","Event2","Swine"
"72","0.538","ClostridiumCulturable_TSCF_CFUPer100ml","Event3","Swine"
"73","11.1","ClostridiumCulturable_TSCF_CFUPer100ml","Event4","Swine"
"74","-11.1","Crypto_OocystsPer100ml","Event1","Swine"
"75","0.311","Crypto_OocystsPer100ml","Event2","Swine"
"76","0.284","Crypto_OocystsPer100ml","Event3","Swine"
"77","0.262","Crypto_OocystsPer100ml","Event4","Swine"
"78","0.619","SalmonellaCulturableWildType_MPNPer100ml","Event1","Swine"
"79","-8.32e+15","SalmonellaCulturableWildType_MPNPer100ml","Event2","Swine"
"80","3.62","SalmonellaCulturableWildType_MPNPer100ml","Event3","Swine"
"81","-8.32e+15","SalmonellaCulturableWildType_MPNPer100ml","Event4","Swine"
"82","0.697","EColi0157Culturable_MPNPer100ml","Event1","Original"
"83","8.32e+15","EColi0157Culturable_MPNPer100ml","Event2","Original"
"84","4.12","EColi0157Culturable_MPNPer100ml","Event3","Original"
"85","0.286","EColi0157Culturable_MPNPer100ml","Event4","Original"
"86","-0.297","EColiCulturableColilert_MPNPer100ML","Event1","Original"
"87","-0.0384","EColiCulturableColilert_MPNPer100ML","Event2","Original"
"88","2.55","EColiCulturableColilert_MPNPer100ML","Event3","Original"
"89","-1.28","EColiCulturableColilert_MPNPer100ML","Event4","Original"
"90","0.527","CampylobacterCulturable_MPNPer100ml","Event1","Original"
"91","8.32e+15","CampylobacterCulturable_MPNPer100ml","Event2","Original"
"92","8.32e+15","CampylobacterCulturable_MPNPer100ml","Event3","Original"
"93","8.32e+15","CampylobacterCulturable_MPNPer100ml","Event4","Original"
"94","-0.334","enterococciCulturableMEI_CFUPer100ML","Event1","Original"
"95","0.54","enterococciCulturableMEI_CFUPer100ML","Event2","Original"
"96","2.13","enterococciCulturableMEI_CFUPer100ML","Event3","Original"
"97","-1.47","enterococciCulturableMEI_CFUPer100ML","Event4","Original"
"98","5.31","Giardia_CystsPer100ml","Event1","Original"
"99","-3.42","Giardia_CystsPer100ml","Event2","Original"
"100","-15","Giardia_CystsPer100ml","Event3","Original"
"101","1.14","Giardia_CystsPer100ml","Event4","Original"
"102","0.966","ClostridiumCulturable_TSCF_CFUPer100ml","Event2","Original"
"103","0.544","ClostridiumCulturable_TSCF_CFUPer100ml","Event3","Original"
"104","3.93","ClostridiumCulturable_TSCF_CFUPer100ml","Event4","Original"
"105","5.36","Crypto_OocystsPer100ml","Event1","Original"
"106","1.22","Crypto_OocystsPer100ml","Event2","Original"
"107","0.375","Crypto_OocystsPer100ml","Event3","Original"
"108","0.498","Crypto_OocystsPer100ml","Event4","Original"
"109","0.645","SalmonellaCulturableWildType_MPNPer100ml","Event1","Original"
"110","8.32e+15","SalmonellaCulturableWildType_MPNPer100ml","Event2","Original"
"111","-0.11","SalmonellaCulturableWildType_MPNPer100ml","Event3","Original"
"112","8.99","SalmonellaCulturableWildType_MPNPer100ml","Event4","Original"
