"","season","PlotID","Source","ElapsedTimeSinceRunoffStarted_Minutes","data","detection level","method"
"1","A","101","S","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml"
"2","A","101","S","T2","3","BDL","CampylobacterCulturable_MPNPer100ml"
"3","A","203","P","T2","3","BDL","CampylobacterCulturable_MPNPer100ml"
"4","A","204","X","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml"
"5","A","204","X","T2","3","BDL","CampylobacterCulturable_MPNPer100ml"
"6","A","209","C","30-T","0.41","BDL","CampylobacterCulturable_MPNPer100ml"
"7","A","209","C","T2","0.41","BDL","CampylobacterCulturable_MPNPer100ml"
"8","A","405","X","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml"
"9","A","406","S","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml"
"10","A","406","S","T2-a","3","BDL","CampylobacterCulturable_MPNPer100ml"
"11","A","407","X","30-T","0.41","BDL","CampylobacterCulturable_MPNPer100ml"
"12","A","408","P","T2","220","BDL","CampylobacterCulturable_MPNPer100ml"
"13","A","410","S","30-T","0.32","BDL","CampylobacterCulturable_MPNPer100ml"
"14","A","410","S","T2","0.32","BDL","CampylobacterCulturable_MPNPer100ml"
"15","A","102","P","30-T","16","WR","CampylobacterCulturable_MPNPer100ml"
"16","A","102","P","T2","290","WR","CampylobacterCulturable_MPNPer100ml"
"17","A","104","X","T2","29","WR","CampylobacterCulturable_MPNPer100ml"
"18","A","105","X","30-T","2.9","WR","CampylobacterCulturable_MPNPer100ml"
"19","A","105","X","T2","2","WR","CampylobacterCulturable_MPNPer100ml"
"20","A","106","P","30-T","23","WR","CampylobacterCulturable_MPNPer100ml"
"21","A","106","P","T2","5.4","WR","CampylobacterCulturable_MPNPer100ml"
"22","A","107","C","30-T","1.7","WR","CampylobacterCulturable_MPNPer100ml"
"23","A","107","C","T2","0.83","WR","CampylobacterCulturable_MPNPer100ml"
"24","A","108","P","30-T","13","WR","CampylobacterCulturable_MPNPer100ml"
"25","A","108","P","T2","32","WR","CampylobacterCulturable_MPNPer100ml"
"26","A","109","C","40-T","29","WR","CampylobacterCulturable_MPNPer100ml"
"27","A","109","C","T2","93","WR","CampylobacterCulturable_MPNPer100ml"
"28","A","110","C","T2-a","93","WR","CampylobacterCulturable_MPNPer100ml"
"29","A","110","C","T2-b","29","WR","CampylobacterCulturable_MPNPer100ml"
"30","A","111","S","30-T","4","WR","CampylobacterCulturable_MPNPer100ml"
