"","PlotID","season","Source","ElapsedTimeSinceRunoffStarted_Minutes","data","detection level","method","day","week"
"1","101","A","S","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"2","101","B","S","30-T","540","BDL","Ecoli_eae_GUPer100ml",1,0
"3","101","B","S","T2","293","BDL","Ecoli_eae_GUPer100ml",1,0
"4","101","A","S","30-T","59.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"5","101","D","S","20","1299700","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"6","101","D","S","T1","135245","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"7","101","D","S","5","1553100","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"8","101","C","S","30-T1","1986300","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"9","101","C","S","15",NA,"ANP","ClostridiumCulturable_CFUPer100ml",1,0
"10","101","B","S","30-T","540","BDL","EColiSTX2_GUPer100ml",1,0
"11","101","A","S","30-T","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"12","101","C","S","T2",NA,"ANP","Campylobacter_GUPer100ml",1,0
"13","101","C","S","30-T2","3","BDL","SalmonellaCulturableWildType_MPNPer100ml",1,0
"14","101","D","S","30-T2","285000","WR","EColi0157SurrogateCulturable_CFUPer100ml",1,0
"15","101","B","S","T2","660.6733267","BDL","EColiSTX2_GUPer100ml",1,0
"16","101","B","S","T2","293.4","BDL","EColiSTX1_GUPer100ml",1,0
"17","101","D","S","60","98120","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"18","101","B","S","30-T","100","BDL","CampylobactersppSimplatesCulturable_MPNPer100ml",1,0
"19","101","D","S","30-T1","1119900","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"20","101","C","S","30","805520","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"21","101","B","S","5","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"22","101","B","S","10","0.5","BDL","EColiCulturableColilert_MPNPer100ML",1,0
"23","101","D","S","30-T2","0","ANP","asdf",1,0
"24","101","C","S","15",NA,"ANP","CampylobacterCulturable_MPNPer100ml",1,0
"25","101","C","S","30-T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"26","101","C","S","T2","3","BDL","CampylobacterCulturable_MPNPer100ml",1,0
"27","101","A","S","30-T","2.7","BDL","Giardia_CystsPer100ml",1,0
"28","101","D","S","30","1553100","WR","TotalColiformsCulturableColilert_CFUPer100ml",1,0
"29","101","B","S","T1","241960","TNTC","TotalColiformsCulturableColilert_MPNPer100ml",1,0
"30","101","A","S","15","37","WR","ClostridiumCulturable_mCP_CFUPer100ml",1,0
"31","101","A","S","30-T","41","WR","ClostridiumCulturable_mCP_CFUPer100ml",1,0
"32","101","B","S","T2","133","WR","CampylobactersppSimplatesCulturable_MPNPer100ml",1,0
"33","101","D","S","60",NA,"ANP","X",1,0
"34","101","D","S","30-T2","4666666.7","WR","Crypto_OocystsPer100ml",1,0
"35","101","D","S","T2","2600000","WR","Crypto_OocystsPer100ml",1,0
"36","101","C","S","60","11766.66667","WRC","enterococciCulturableMEI_CFUPer100ML",1,0
"37","101","D","S","30-T2","1100000","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"38","101","D","S","T2","3e+06","WR","SalmonellaCulturableSurrogate_strain3895_MPNPer100ml",1,0
"39","101","A","S","15","30","WR","ClostridiumCulturable_TSCF_CFUPer100ml",1,0
"40","101","C","S","5",NA,"ANP","enterococciQPCR_GU100ML",1,0
"41","101","A","S","30-T","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"42","101","A","S","T2","3","BDL","EColi0157Culturable_MPNPer100ml",1,0
"43","101","D","S","30-T2","150000","WR","EColi0157Culturable_MPNPer100ml",1,0
"44","101","D","S","T2","960","WR","EColi0157Culturable_MPNPer100ml",1,0
"45","101","A","S","T2","49","WR","ClostridiumCulturable_mCP_CFUPer100ml",1,0
"46","101","A","S","5","118.7333333","WR","EColiCulturableColilert_MPNPer100ML",1,0
"47","101","C","S","T2",NA,"ANP","EColiSTX1_GUPer100ml",1,0
