"","season","PlotID","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes"
"6","A","209","C","30","0.41","0.205","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"7","A","209","C","60","0.41","0.205","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"22","A","107","C","30","1.7","1.7","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"23","A","107","C","60","0.83","0.83","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"26","A","109","C","30","29","29","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"27","A","109","C","60","93","93","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"28","A","110","C","60","93","93","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"29","A","110","C","60","29","29","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"39","A","205","C","30","23","23","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"40","A","205","C","60","240","240","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"44","A","307","C","30","1.7","1.7","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"45","A","307","C","60","1.3","1.3","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"52","A","403","C","30","3","3","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"53","A","403","C","60","92","92","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"59","A","409","C","30","0.96","0.96","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"60","A","409","C","60","0.64","0.64","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"62","A","412","C","60","21","21","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"67","A","503","C","30","1.3","1.3","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"68","A","503","C","60","0.63","0.63","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"1458","D","107","C","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1459","D","107","C","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
