"","PlotID","season","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes","day","week"
"1","101","B","S","60",6,"6","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157",1,0
"2","101","B","S","30",3,"1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157",1,0
"3","101","D","S","60",1350,"1350","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"4","101","C","S","60",1495,"1495","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"5","101","C","S","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"6","101","A","S","60",500,"500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"7","101","A","S","30",500,"500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"8","101","A","S","60",14.8,"14.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"9","101","A","S","30",2.7,"1.35","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia",1,0
"10","101","A","S","60",2.7,"1.35","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia",1,0
"11","101","A","S","60",54.7,"54.7","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"12","101","D","S","30",1330,"1330","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"13","101","B","S","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter",1,0
"14","101","D","S","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"15","101","D","S","60",896.67,"896.67","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"16","101","D","S","30",20000,"20000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"17","101","C","S","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"18","101","C","S","15",250,"250","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"19","101","A","S","5",118.7333333,"118.7333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"20","101","A","S","30",59.3,"59.3","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"21","101","B","S","30",58125,"58125","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto",1,0
"22","101","A","S","10",45.2,"45.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"23","101","A","S","15",30,"30","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","1","Clostridium",1,0
"24","101","B","S","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella",1,0
"25","101","D","S","5",13866.66667,"13866.66667","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"26","101","C","S","30",179.245283,"179.245283","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia",1,0
"27","101","B","S","60",1031.25,"1031.25","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia",1,0
"28","101","D","S","60",960,"960","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157",1,0
"29","101","B","S","60",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"30","101","C","S","20",13100,"13100","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"31","101","A","S","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"32","101","B","S","60",23750,"23750","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto",1,0
"33","101","C","S","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"34","101","C","S","60",120,"120","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"35","101","D","S","30",1610,"1610","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"36","101","D","S","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"37","101","D","S","30",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella",1,0
"38","101","A","S","10",1000,"1000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","1","entero",1,0
"39","101","C","S","5",1850,"1850","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"40","101","B","S","20",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"41","101","B","S","30",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"42","101","A","S","30",24,"24","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi",1,0
"43","101","A","S","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"44","101","C","S","60",9.2,"9.2","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157",1,0
"45","101","D","S","30",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter",1,0
"46","101","C","S","60",49.58677686,"49.58677686","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia",1,0
"47","101","D","S","5",1713.333333,"1713.333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi",1,0
"48","101","B","S","10",0.5,"0.25","BDL","enterococciCulturableMEI_CFUPer100ML","0","indicator","culturable","0","entero",1,0
"49","101","D","S","60",26000,"26000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero",1,0
"50","101","B","S","60",3,"1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","1","Campylobacter",1,0
"51","101","B","S","60",3,"1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella",1,0
"52","101","D","S","15",148,"148","WR","ClostridiumCulturable_TSCF_CFUPer100ml","1","indicator","culturable","0","Clostridium",1,0
"53","101","B","S","60",0.5,"0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi",1,0
