"","proxy","week","PlotID","season","method","Source","detectionfreq1","type of mictobes","analysis type","names of microbes","day"
"1","0.3125","1","107","A","EColi0157Culturable_MPNPer100ml","C","1/2",NA,NA,NA,"1"
"2","0.205","1","209","A","EColi0157Culturable_MPNPer100ml","C","0/4",NA,NA,NA,"2"
"3","0.3125","1","307","A","EColi0157Culturable_MPNPer100ml","C","1/6",NA,NA,NA,"3"
"4","2.25","0","109","A","EColi0157Culturable_MPNPer100ml","C","1/8",NA,NA,NA,"1"
"5","12.3","0","110","A","EColi0157Culturable_MPNPer100ml","C","2/10",NA,NA,NA,"1"
"6","3.75","0","205","A","EColi0157Culturable_MPNPer100ml","C","1/12",NA,NA,NA,"2"
"7","1.5","0","412","A","EColi0157Culturable_MPNPer100ml","C","0/13",NA,NA,NA,"3"
"8","0.16","2","403","A","EColi0157Culturable_MPNPer100ml","C","0/15",NA,NA,NA,"3"
"9","0.16","2","409","A","EColi0157Culturable_MPNPer100ml","C","0/17",NA,NA,NA,"3"
"10","0.16","2","503","A","EColi0157Culturable_MPNPer100ml","C","0/19",NA,NA,NA,"1"
"11","1.5","1","107","B","EColi0157Culturable_MPNPer100ml","C","0/21",NA,NA,NA,"1"
"12","1.5","1","209","B","EColi0157Culturable_MPNPer100ml","C","0/23",NA,NA,NA,"2"
"13","1.5","1","307","B","EColi0157Culturable_MPNPer100ml","C","0/25",NA,NA,NA,"3"
"14","1.5","0","109","B","EColi0157Culturable_MPNPer100ml","C","0/27",NA,NA,NA,"1"
"15","1.5","0","205","B","EColi0157Culturable_MPNPer100ml","C","0/29",NA,NA,NA,"2"
"16","1.5","0","412","B","EColi0157Culturable_MPNPer100ml","C","0/31",NA,NA,NA,"3"
"17","1.5","2","403","B","EColi0157Culturable_MPNPer100ml","C","0/33",NA,NA,NA,"3"
"18","1.5","2","409","B","EColi0157Culturable_MPNPer100ml","C","0/35",NA,NA,NA,"3"
"19","1.5","2","503","B","EColi0157Culturable_MPNPer100ml","C","0/37",NA,NA,NA,"1"
"20","1.5","1","107","C","EColi0157Culturable_MPNPer100ml","C","0/39",NA,NA,NA,"1"
"21","2.25","1","209","C","EColi0157Culturable_MPNPer100ml","C","1/41",NA,NA,NA,"2"
"22","750.75","1","307","C","EColi0157Culturable_MPNPer100ml","C","1/43",NA,NA,NA,"3"
"23","5.4","0","109","C","EColi0157Culturable_MPNPer100ml","C","1/45",NA,NA,NA,"1"
"24","1.5","0","205","C","EColi0157Culturable_MPNPer100ml","C","0/47",NA,NA,NA,"2"
"25","1.5","0","412","C","EColi0157Culturable_MPNPer100ml","C","0/49",NA,NA,NA,"3"
"26","2.25","2","403","C","EColi0157Culturable_MPNPer100ml","C","1/51",NA,NA,NA,"3"
"27","6.2","2","409","C","EColi0157Culturable_MPNPer100ml","C","2/53",NA,NA,NA,"3"
"28","1.5","2","503","C","EColi0157Culturable_MPNPer100ml","C","0/55",NA,NA,NA,"1"
"29","655","1","107","D","EColi0157Culturable_MPNPer100ml","C","2/57",NA,NA,NA,"1"
"30","1100","1","209","D","EColi0157Culturable_MPNPer100ml","C","2/59",NA,NA,NA,"2"
"31","15.5","1","307","D","EColi0157Culturable_MPNPer100ml","C","2/61",NA,NA,NA,"3"
"32","20600","0","109","D","EColi0157Culturable_MPNPer100ml","C","2/63",NA,NA,NA,"1"
"33","1100","0","205","D","EColi0157Culturable_MPNPer100ml","C","2/65",NA,NA,NA,"2"
