SampleID,enterococciCulturableMEI_CFUPer100ML,DetectionLevel,,,,,
A-101-S-5,500,WRC,,,,,
A-101-S-10,1000,WRC,,,,,
A-101-S-20,0,ANP,,,,,
A-101-S-30,500,WRC,,,,,
A-101-S-60,500,WRC,,,,,
A-102-P-5,1430000,WRC,,,,,
A-102-P-10,1430000,WRC,,,,,
A-102-P-20,1430000,WRC,,,,,
A-102-P-30,1430000,WRC,,,,,
A-102-P-60,1430000,WRC,,,,,
A-109-C-5,38000,WR,,,,,
A-109-C-10,41000,WR,,,,,
A-109-C-20,35000,WR,,,,,
A-109-C-30,28000,WR,,,,,
A-109-C-60,13500,WRC,,,,,
A-110-C-5,500,WRC,,,,,
A-110-C-10,36000,WR,,,,,
A-110-C-20,33000,WR,,,,,
A-110-C-30,22000,WR,,,,,
A-110-C-60,18500,WRC,,,,,
A-110-C-T1,24000,WRC,,,,,
A-203-P-5,370000,WR,,,,,
A-203-P-10,430000,WRC,,,,,
A-203-P-20,420000,WR,,,,,
A-203-P-30,550000,WR,,,,,
A-203-P-60,136500,WRC,,,,,
A-203-P-T1,210000,WR,,,,,
A-204-X-5,850,WRC,,,,,
A-204-X-10,700,WRC,,,,,
A-204-X-20,900,WRC,,,,,
A-204-X-30,1250,WRC,,,,,
A-204-X-60,850,WRC,,,,,
A-204-X-T1,1400,WRC,,,,,
A-205-C-5,240000,WR,,,,,
A-205-C-10,220000,WR,,,,,
A-205-C-20,92500,WRC,,,,,
A-205-C-30,119000,WRC,,,,,
A-205-C-60,46000,WR,,,,,
A-205-C-T1,55500,WRC,,,,,
A-206-P-5,270000,WR,,,,,
A-206-P-10,410000,WR,,,,,
A-206-P-20,450000,WR,,,,,
A-206-P-30,280000,WR,,,,,
A-206-P-60,124000,WRC,,,,,
A-206-P-T1,230000,WR,,,,,
A-405-X-5,2100,WR,,,,,
A-405-X-10,1700,WRC,,,,,
A-405-X-20,2000,WRC,,,,,
A-405-X-30,100,WRC,,,,,
A-405-X-60,1000,WRC,,,,,
A-405-X-T1,900,WRC,,,,,
A-406-S-5,4600,WR,,,,,
A-406-S-10,3850,WRC,,,,,
A-406-S-20,3400,WRC,,,,,
A-406-S-30,1800,WRC,,,,,
A-406-S-60,2900,WR,,,,,
A-406-S-T1,1900,WRC,,,,,
A-411-S-5,400,WRC,,,,,
A-411-S-10,600,WRC,,,,,
A-411-S-20,800,WRC,,,,,
A-411-S-30,100,WRC,,,,,
A-411-S-60,300,WRC,,,,,
A-411-S-T1,200,WRC,,,,,
A-412-C-5,40000,WR,,,,,
A-412-C-10,25000,WR,,,,,
A-412-C-20,29000,WR,,,,,
A-412-C-30,29000,WR,,,,,
A-412-C-60,25000,WR,,,,,
A-412-C-T1,34000,WR,,,,,
A-104-X-5,84000,WRC,,,,,
A-104-X-10,98000,WRC,,,,,
A-104-X-20,55000,WR,,,,,
A-104-X-30,41000,WR,,,,,
A-104-X-60,283000,WRC,,,,,
A-104-X-T1,192000,WRC,,,,,
A-108-P-5,390000,WR,,,,,
A-108-P-10,119500,WRC,,,,,
A-108-P-20,143333.3333,WRC,,,,,
A-108-P-30,310000,WR,,,,,
A-108-P-60,129000,WRC,,,,,
A-108-P-T1,134000,WRC,,,,,
A-107-C-5,270000,WR,,,,,
A-107-C-10,125500,WRC,,,,,
A-107-C-20,100000,WRC,,,,,
A-107-C-30,210000,WR,,,,,
A-107-C-60,248000,WRC,,,,,
A-107-C-T1,240000,WR,,,,,
A-501-X-5,44800,WRC,,,,,
A-501-X-10,26000,WR,,,,,
A-501-X-20,57000,WR,,,,,
A-501-X-30,126000,WRC,,,,,
A-501-X-60,40000,WR,,,,,
A-501-X-T1,20000,WR,,,,,
