ManureTreatmentID,DaysSinceApplication,PoultryManureApplicationRate_KgPerMeter,CattleManureApplicationRate_KgPerMeter,SwineManureApplicationRate_LitersPerMeter,CampylobacterCulturable_MPNPerGramDryWeight,CampylobacterCulturableDetectionLevel,CampylobacterCulturable_MPNPerML,CampylobacterCulturableDetectionLevel,ClostridiumCulturable_mCP_CFUPerGramDryWeight,ClostridiumCulturable_mCP_DetectionLevel,ClostridiumCulturable_mCP_CFUPerML,ClostridiumCulturable_mCP_DetectionLevel,ClostridiumCulturable_TSCF_CFUPerGramDryWeight,ClostridiumCulturable_TSCFDetectionLevel,ClostridiumCulturable_TSCF_CFUPerML,ClostridiumCulturable_TSCFDetectionLevel,SalmonellaCulturable_Wild_MPNPerGramDryWeight,SamonellaCulturableWildDetectionLevel,SalmonellaCulturable_Wild_MPNPerML,SamonellaCulturableWildDetectionLevel,EColi0157Culturable_MPNPerGramDryWreight,EColi0157CulturableDetectionLevel,EColi0157Culturable_MPNPerML,EColi0157CulturableDetectionLevel,Giardia_CystsPerGramDryWeight,GiardiaDetectionLevel,Giardia_CystsPerML,GiardiaDetectionLevel,Crypto_OocystsPerGramDryWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPerML,Crypto_OocystsDetectionLevel,Ecoli_eae_GUPerGramDryWeight,Ecoli_eae_DetectionLevel,Ecoli_eae_GUPerML,Ecoli_eae_DetectionLevel,ECoil_stx1_GUPerGramDryWeight,ECoil_stx1DetectionLevel,ECoil_stx1_GUPerML,ECoil_stx1DetectionLevel,ECoil_stx2_GUPerGramDryWeight,ECoil_stx2DetectionLevel,ECoil_stx2_GUPerML,ECoil_stx2DetectionLevel,SalmonellaQPCR_GUPerGramDryWeight,SalmonellaQPCRDetectionLevel,SalmonellaQPCR_GUPerML,SalmonellaQPCRDetectionLevel,Campylobacter_GUPerGramDryWeight,CampylobacterDetectionLevel,Campylobacter_GUPerML,CampylobacterDetectionLevel,EColiCulturableColilert_MPNPerGramWetWeight,EColiCulturableColilertDetectionLevel,EColiCulturableColilert_MPNPer100ML,EColiCulturableColilertDetectionLevel,TotalColiformsCulturableColilert_MPNPerGramWetWeight,TotalColiformsCulturableColilertDetectionLevel,TotalColiformsCulturableColilert_MPNPer100ML,TotalColiformsCulturableColilertDetectionLevel,EnterococciCulturableMEI_CFUPerGramWetWeight,EnterococciCulturableMEIDetectionLevel,enterococciCulturableMEI_CFUPerML,enterococciCulturableMEIDetectionLevel,Ecoli0157_Surrogate,Ecoli0157SurrogateDetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPergram,SalmonellaCulturableSurrogateStrain3895DetectionLevel
M_C_Day1_A,1,0,1.6,0,870,WR,,,187,WR,,,0,WR,,,28,BDL,,,57,WR,,,411,WR,,,18.7,BDL,,,6.73E+03,BDL,,,6.73E+03,BDL,,,6.73E+03,BDL,,,6.73E+03,BDL,,,6.73E+03,BDL,,,234400000,WR,,,234400000,WR,,,1668888.89,WR,,,,ANP,,ANP
M_C_Day2_A,2,0,1.6,0,420,WR,,,80,WR,,,320,WR,,,24,BDL,,,24,WR,,,160,WR,,,16.0,BDL,,,5.76E+03,BDL,,,5.76E+03,BDL,,,5.76E+03,BDL,,,5.76E+03,BDL,,,5.76E+03,BDL,,,49121667,WR,,,49205000,WR,,,1926666.67,WR,,,,ANP,,ANP
M_C_Day3_A,3,0,1.6,0,110,WR,,,924,WR,,,168,WR,,,2.5,BDL,,,12,WR,,,2454,WR,,,16.8,BDL,,,6.05E+03,BDL,,,6.05E+03,BDL,,,6.05E+03,BDL,,,6.05E+03,BDL,,,6.05E+03,WR,,,166073333,WR,,,166906666.7,WR,,,506666.67,WR,,,,ANP,,ANP
M_P_Day1_A,1,0.666666667,0,0,5,BDL,,,117,WR,,,0,WR,,,5,BDL,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,1.21E+03,BDL,,,1.21E+03,BDL,,,41220,WR,,,100675,WR,,,4775000,WR,,,,ANP,,ANP
M_P_Day2_A,2,0.666666667,0,0,4,BDL,,,53,WR,,,0,WR,,,4,BDL,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,9.63E+02,BDL,,,5.48E+04,WR,,,231640,WR,,,377066.6667,WR,,,2641111.11,WR,,,,ANP,,ANP
M_P_Day3_A,3,0.666666667,0,0,4.1,BDL,,,108,WR,,,0,WR,,,0.41,BDL,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,9.81E+02,BDL,,,7.23E+03,BQL,,,8100,WR,,,177580,WR,,,6433333.33,WR,,,,ANP,,ANP
M_S_Day1_A,1,0,0,0.866666667,,,21,WR,,,370,WR,,,0,WR,,,3,BDL,,,3,BDL,,,0.04,WR,,,0.02,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,1167.4,WR,,,45231.66667,WR,,,81.333,WRC,,ANP,,ANP
M_S_Day2_A,2,0,0,2.666666667,,,3,BDL,,,500,WR,,,720,WR,,,3,BDL,,,3,BDL,,,0.02,BDL,,,0.02,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,7.20E+01,BDL,,,1124.833,WR,,,48938.33333,WR,,,104.11,WRC,,ANP,,ANP
M_S_Day3_A,3,0,0,2.666666667,,,9.2,WR,,,930,WR,,,20,WR,,,3,BDL,,,0.3,WR,,,0.02,BDL,,,0.02,BDL,,,4.12E+01,BQL,,,7.20E+01,BDL,,,4.12E+01,WR,,,7.20E+01,BDL,,,1.44E+03,BDL,,,707.6,WR,,,39746.66667,WR,,,82.33,WRC,,ANP,,ANP
M_X_Day1_A,1,0,0,0,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,ANP
M_X_Day2_A,2,0,0,0,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,ANP
M_X_Day3_A,3,0,0,0,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,ANP
M_X_Day4_A,4,0,0,0,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,,,ANP,,ANP
