RainfallTreatmentID,RainfallStartTime,RainfallDuration_Minutes,AverageRainfallIntensity_cmPerHour,RunoffStartTimeSinceRainfallStarted_Minutes,CummulativeRunoffVolume_Liters,Notes
R_101_A,9/29/2009,60,,,59.41,
R_102_A,9/29/2009,60,,,40.87,
R_104_A,10/2/2009 10:37AM,60,6.67,25,22.79,
R_105_A,10/13/09 11:55 AM,60,6.63,8,74.34,
R_106_A,10/13/09 11:55 AM,60,,,75.25,
R_107_A,10/6/09 11:07 AM,60,7.21,15,42.68,
R_108_A,10/6/09 11:07 AM,60,7.68,15,42.36,
R_109_A,9/29/2009,60,,,40.57,The rainfall  start time was not recorded but the runoff start time for the plot was 12:25:00 PM
R_110_A,9/29/2009,60,,,37.56,The rainfall  start time was not recorded but the runoff start time for the plot was 12:24:00 PM
R_111_A,10/7/09 12:21 PM,60,6.25,48,43.39,
R_112_A,10/7/09 12:21 PM,60,6.76,48,46.86,
R_201_A,10/15/09 10:14 AM,60,6.68,13,67.92,
R_202_A,10/15/09 10:14 AM,60,7.43,14,76.98,
R_203_A,9/30/2009,60,,,44.16,The rainfall  start time was not recorded but the runoff start time for the plot was 12:26:00 PM
R_204_A,9/30/2009,60,,,58.99,The rainfall  start time was not recorded but the runoff start time for the plot was 12:23:00 PM
R_205_A,9/30/2009,60,,,43.37,
R_206_A,9/30/2009,60,,,57.84,The rainfall  start time was not recorded but the runoff start time for the plot was 12:20:00 PM
R_209_A,10/7/09 12:21 PM,60,5.94,37,44.34,
R_210_A,10/7/09 12:21 PM,60,6.86,20,32.91,
R_307_A,10/8/09 10:59 AM,60,6.77,28,30.72,
R_308_A,10/8/09 10:59 AM,60,6.89,28,30.91,
R_401_A,10/15/09 10:14 AM,60,6.99,15,81.02,
R_402_A,10/15/09 10:14 AM,60,7.39,18,83.85,
R_403_A,10/16/09 10:15 AM,60,6.80,24,52.72,
R_404_A,10/16/09 10:15 AM,60,7.27,26,61.29,
R_405_A,10/1/09 11:50 AM,60,,,61.71,
R_406_A,10/1/09 11:50 AM,60,6.78,27,56.94,
R_407_A,10/8/09 10:57 AM,60,6.26,43,48.82,
R_408_A,10/8/09 10:57 AM,60,6.48,43,47.05,
R_409_A,10/16/09 10:15 AM,60,6.22,24,59.29,
R_410_A,10/16/09 10:15 AM,60,6.50,31,48.86,
R_411_A,10/1/09 11:47 AM,60,6.97,24,22.22,
R_412_A,10/1/09 11:47 AM,60,7.42,37,30.11,
R_501_A,10/6/09 11:07 AM,60,6.60,21,58.55,
R_502_A,10/6/09 11:07 AM,60,6.35,11,74.28,
R_503_A,10/13/09 11:55 AM,60,5.99,11,53.44,
R_504_A,10/13/09 11:55 AM,60,6.53,10,87.75,
