SampleID,enterococciCulturableMEI_CFUPer100ML,DetectionLevel
D-101-S-10,24000,WR
D-101-S-20,30000,WR
D-101-S-30,20000,WR
D-101-S-30-T1,33000,WR
D-101-S-5,13866.66667,WR
D-101-S-60,22000,WR
D-101-S-T1,26000,WR
D-102-P-10,21000,WR
D-102-P-20,22000,WR
D-102-P-30,13000,WRC
D-102-P-30-T1,18933.33333,WRC
D-102-P-5,17600,WRC
D-102-P-60,15033.33333,WRC
D-102-P-T1,11250,WRC
D-105-X-10,2400,WRC
D-105-X-20,1000,WRC
D-105-X-30,2700,WR
D-105-X-30-T1,1650,WRC
D-105-X-5,1050,WRC
D-105-X-60,5400,WR
D-105-X-T1,7350,WRC
D-106-P-10,4000000,WR
D-106-P-20,1705000,WRC
D-106-P-30,1170000,WRC
D-106-P-30-T1,1315000,WRC
D-106-P-5,1370000,WR
D-106-P-60,540000,WR
D-106-P-T1,765000,WRC
D-107-C-10,83000,WRC
D-107-C-20,29000,WR
D-107-C-30,19000,WRC
D-107-C-30-T1,55000,WR
D-107-C-5,28000,WR
D-107-C-60,43000,WR
D-107-C-T1,41000,WR
D-108-P-10,1600000,WRC
D-108-P-20,2760000,WRC
D-108-P-30,1160000,WRC
D-108-P-30-T1,1880000,WRC
D-108-P-5,2910000,WRC
D-108-P-60,890000,WRC
D-108-P-T1,880000,WRC
D-109-C-10,73500,WRC
D-109-C-20,82000,WRC
D-109-C-30,65500,WRC
D-109-C-30-T1,82000,WRC
D-109-C-5,58000,WRC
D-109-C-60,97000,WRC
D-109-C-T1,84000,WRC
D-110-X-10,4300,WRC
D-110-X-20,2200,WR
D-110-X-30,2700,WR
D-110-X-30-T1,1950,WRC
D-110-X-5,2100,WR
D-110-X-60,8266.666667,WRC
D-110-X-T1,5300,WR
D-111-S-10,2900,WR
D-111-S-20,4200,WR
D-111-S-30,4300,WR
D-111-S-30-T1,4500,WR
D-111-S-5,4000,WR
D-111-S-60,3900,WR
D-111-S-T1,3800,WR
D-112-P-10,37000,WR
D-112-P-20,43000,WR
D-112-P-30,40000,WR
D-112-P-30-T1,49000,WR
D-112-P-5,29000,WR
D-112-P-60,32000,WR
D-112-P-T1,35000,WR
D-201-P-10,650000,WRC
D-201-P-20,470000,WR
D-201-P-30,480000,WR
D-201-P-30-T1,440000,WR
D-201-P-5,670000,WRC
D-201-P-60,180000,WRC
D-201-P-T1,330000,WR
D-202-S-10,1200,WR
D-202-S-20,2450,WR
D-202-S-30,23000,WR
D-202-S-30-T1,10050,WR
D-202-S-5,1800,WRC
D-202-S-60,2400,WR
D-202-S-T1,4100,WR
D-203-P-10,99000,WRC
D-203-P-20,54000,WRC
D-203-P-30,49000,WR
D-203-P-30-T1,50000,WR
D-203-P-5,69500,WRC
D-203-P-60,31000,WR
D-203-P-T1,31000,WR
D-204-X-10,9333.333333,WRC
D-204-X-20,7700,WRC
D-204-X-30,5600,WR
D-204-X-30-T1,5600,WRC
D-204-X-5,5700,WR
D-204-X-60,3700,WR
D-204-X-T1,430,WR
D-205-C-10,500000,WR
D-205-C-20,370000,WR
D-205-C-30,360000,WR
D-205-C-30-T1,270000,WR
D-205-C-5,600000,WR
D-205-C-60,120000,WRC
D-205-C-T1,110000,WRC
D-206-P-10,24000,WR
D-206-P-20,20000,WR
D-206-P-30,40000,WR
D-206-P-30-T1,32000,WR
D-206-P-5,28000,WR
D-206-P-60,18400,WRC
D-206-P-T1,21000,WR
D-209-C-10,49000,WR
D-209-C-20,38000,WR
D-209-C-30,27000,WR
D-209-C-30-T1,46000,WR
D-209-C-5,48000,WR
D-209-C-60,35000,WR
D-209-C-T1,43000,WR
D-210-S-10,11650,WRC
D-210-S-20,65000,WRC
D-210-S-30,13150,WRC
D-210-S-30-T1,15600,WRC
D-210-S-5,32000,WR
D-210-S-60,9500,WRC
D-210-S-T1,6700,WRC
D-307-C-10,54000,WRC
D-307-C-20,84500,WRC
D-307-C-30,54000,WR
D-307-C-30-T1,57500,WRC
D-307-C-5,72000,WRC
D-307-C-60,41000,WR
D-307-C-T1,53000,WR
D-308-X-10,2400,WR
D-308-X-20,2800,WR
D-308-X-30,2100,WR
D-308-X-30-T1,3300,WR
D-308-X-5,2500,WR
D-308-X-60,1850,WRC
D-308-X-T1,2600,WR
D-401-S-10,48000,WR
D-401-S-20,62000,WRC
D-401-S-30,51000,WR
D-401-S-30-T1,55000,WR
D-401-S-5,33000,WR
D-401-S-60,48000,WR
D-401-S-T1,42000,WR
D-402-X-10,122000,WRC
D-402-X-20,64000,WRC
D-402-X-30,46000,WR
D-402-X-30-T1,72000,WRC
D-402-X-5,138000,WRC
D-402-X-60,45000,WR
D-402-X-T1,47000,WR
D-403-C-10,,ANP
D-403-C-20,,ANP
D-403-C-30,,ANP
D-403-C-30-T1,,ANP
D-403-C-5,,ANP
D-403-C-60,,ANP
D-403-C-T1,,ANP
D-404-P-10,810000,WRC
D-404-P-20,540000,WR
D-404-P-30,510000,WR
D-404-P-30-T1,670000,WRC
D-404-P-5,940000,WRC
D-404-P-60,460000,WR
D-404-P-T1,550000,WR
D-405-X-10,54000,WR
D-405-X-20,32000,WR
D-405-X-30,33000,WR
D-405-X-30-T1,40000,WR
D-405-X-5,20000,WR
D-405-X-60,25000,WR
D-405-X-T1,59000,WR
D-406-S-10,5200,WR
D-406-S-20,25000,WR
D-406-S-30,12700,WRC
D-406-S-30-T1,10750,WRC
D-406-S-5,4100,WR
D-406-S-60,14750,WRC
D-406-S-T1,9350,WRC
D-407-X-10,4300,WR
D-407-X-20,4850,WRC
D-407-X-30,3000,WR
D-407-X-30-T1,5200,WR
D-407-X-5,4700,WR
D-407-X-60,9500,WRC
D-407-X-T1,7100,WRC
D-408-P-10,136000,WRC
D-408-P-20,230000,WR
D-408-P-30,215000,WRC
D-408-P-30-T1,145000,WRC
D-408-P-5,86333.33333,WRC
D-408-P-60,120666.6667,WRC
D-408-P-T1,109000,WRC
D-409-C-10,41500,WRC
D-409-C-20,28000,WR
D-409-C-30,22000,WR
D-409-C-30-T1,,ANP
D-409-C-5,13500,WRC
D-409-C-60,22000,WR
D-409-C-T1,23000,WR
D-410-S-10,95000,WRC
D-410-S-20,64000,WRC
D-410-S-30,54000,WR
D-410-S-30-T1,59000,WR
D-410-S-5,68000,WRC
D-410-S-60,30000,WR
D-410-S-T1,35000,WR
D-411-S-10,15550,WRC
D-411-S-20,11500,WRC
D-411-S-30,7100,WRC
D-411-S-30-T1,12150,WRC
D-411-S-5,16100,WRC
D-411-S-60,5000,WR
D-411-S-T1,8750,WRC
D-412-C-10,89000,WRC
D-412-C-20,86000,WRC
D-412-C-30,88000,WRC
D-412-C-30-T1,71000,WRC
D-412-C-5,46000,WRC
D-412-C-60,61500,WRC
D-412-C-T1,110000,WRC
D-501-X-10,65000,WRC
D-501-X-20,74000,WRC
D-501-X-30,28000,WR
D-501-X-30-T1,47000,WR
D-501-X-5,31000,WR
D-501-X-60,14950,WRC
D-501-X-T1,255000,WRC
D-502-S-10,5600,WR
D-502-S-20,9850,WRC
D-502-S-30,4700,WR
D-502-S-30-T1,9450,WRC
D-502-S-5,4600,WR
D-502-S-60,4700,WR
D-502-S-T1,5500,WR
D-503-C-10,5800,WR
D-503-C-20,4800,WRC
D-503-C-30,5100,WR
D-503-C-30-T1,5900,WR
D-503-C-5,4500,WR
D-503-C-60,11300,WRC
D-503-C-T1,8750,WRC
D-504-X-10,46000,WR
D-504-X-20,29000,WR
D-504-X-30,23000,WR
D-504-X-30-T1,21000,WR
D-504-X-5,81000,WRC
D-504-X-60,45000,WR
D-504-X-T1,43000,WR
