SampleID,Giardia_CystsPerLiter,DetectionLevel,,,,,,,
D-101-S-30-T2,2600.00,WR,,,,,,,
D-101-S-T2,2100.00,WR,,,,,,,
D-102-P-30-T2,,ANP,,,,,,,
D-102-P-T2,,ANP,,,,,,,
D-105-X-30-T2,0.11,WR,,,,,,,
D-105-X-T2,0.11,WR,,,,,,,
D-106-P-30-T2,,ANP,,,,,,,
D-106-P-T2,,ANP,,,,,,,
D-107-C-30-T2,0.12,WR,,,,,,,
D-107-C-T2,0.12,WR,,,,,,,
D-108-P-30-T2,,ANP,,,,,,,
D-108-P-T2,,ANP,,,,,,,
D-109-C-30-T2,280.00,WR,,,,,,,
D-109-C-T2,200.00,WR,,,,,,,
D-110-X-30-T2,0.89,WR,,,,,,,
D-110-X-T2,1.44,WR,,,,,,,
D-111-S-30-T2,7.50,WR,,,,,,,
D-111-S-T2,25.56,WR,,,,,,,
D-112-P-30-T2,,ANP,,,,,,,
D-112-P-T2,,ANP,,,,,,,
D-201-P-30-T2,,ANP,,,,,,,
D-201-P-T2,,ANP,,,,,,,
D-202-S-30-T2,102.50,WR,,,,,,,
D-202-S-T2,43.71,WR,,,,,,,
D-203-P-30-T2,,ANP,,,,,,,
D-203-P-T2,,ANP,,,,,,,
D-204-X-30-T2,0.13,WR,,,,,,,
D-204-X-T2,0.11,WR,,,,,,,
D-205-C-30-T2,8000.00,WR,,,,,,,
D-205-C-T2,720.00,WR,,,,,,,
D-206-P-30-T2,,ANP,,,,,,,
D-206-P-T2,,ANP,,,,,,,
D-209-C-30-T2,0.83,WR,,,,,,,
D-209-C-T2,1.18,WR,,,,,,,
D-210-S-30-T2,22.50,WR,,,,,,,
D-210-S-T2,22.98,WR,,,,,,,
D-307-C-30-T2,0.97,WR,,,,,,,
D-307-C-T2,0.49,WR,,,,,,,
D-308-X-30-T2,0.15,WR,,,,,,,
D-308-X-T2,0.11,WR,,,,,,,
D-401-S-30-T2,19.06,WR,,,,,,,
D-401-S-T2,15.33,WR,,,,,,,
D-402-X-30-T2,0.14,WR,,,,,,,
D-402-X-T2,0.13,WR,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,
D-403-C-T2,,ANP,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,
D-404-P-T2,,ANP,,,,,,,
D-405-X-30-T2,0.17,WR,,,,,,,
D-405-X-T2,0.22,WR,,,,,,,
D-406-S-30-T2,1500.00,WR,,,,,,,
D-406-S-T2,2200.00,WR,,,,,,,
D-407-X-30-T2,0.22,WR,,,,,,,
D-407-X-T2,0.11,WR,,,,,,,
D-408-P-T2,,ANP,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,
D-409-C-T2,,ANP,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,
D-410-S-T2,2.50,WR,,,,,,,
D-411-S-30-T2,5.21,WR,,,,,,,
D-411-S-T2,1.25,WR,,,,,,,
D-412-C-30-T2,6.97,WR,,,,,,,
D-412-C-T2,54.73,WR,,,,,,,
D-501-X-30-T2,0.13,WR,,,,,,,
D-501-X-T2,0.17,WR,,,,,,,
D-502-S-30-T2,260.53,WR,,,,,,,
D-502-S-T2,42.50,WR,,,,,,,
D-503-C-30-T2,0.50,WR,,,,,,,
D-503-C-T2,0.18,WR,,,,,,,
D-504-X-30-T2,0.25,WR,,,,,,,
D-504-X-T2,0.14,WR,,,,,,,
