ManureTreatmentID,DaysSinceApplication,PoultryManureApplicationRate_KgPerMeter,CattleManureApplicationRate_KgPerMeter,SwineManureApplicationRate_LitersPerMeter,CampylobacterCulturable_MPNPerGramDryWeight,CampylobacterCulturableDetectionLevel,CampylobacterCulturable_MPNPerML,CampylobacterCulturableDetectionLevel,Campylobacter_GUPerML,CampylobacterDetectionLevel,Campylobacter_GUPerGramDryWeight,CampylobacterDetectionLevel,ClostridiumCulturable_TSCF_CFUPerGramDryWeight,ClostridiumCulturable_TSCF_DetectionLevel,ClostridiumCulturable_TSCF_CFUPerML,ClostridiumCulturable_TSCF_DetectionLevel,Crypto_OocystsPerGramDryWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPerGramWetWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPermL,Crypto_OocystsDetectionLevel,Giardia_CystsPerML,GiardiaDetectionLevel,Giardia_CystsPerGramDryWeight,GiardiaDetectionLevel,Giardia_CystsPerGramWetWeight,GiardiaDetectionLevel,EColi0157Culturable_MPNPerML,EColi0157CulturableDetectionLevel,EColi0157Culturable_MPNPerGramDryWeight,EColi0157CulturableDetectionLevel,Ecoli0157_Surrogate_CFUPerGramWetWeight,Ecoli0157SurrogateDetectionLevel,Ecoli0157_Surrogate_CFUPerML,Ecoli0157SurrogateDetectionLevel,ECoil_stx1_GUPerML,ECoil_stx1DetectionLevel,ECoil_stx1_GUPerGramDryWeight,ECoil_stx1DetectionLevel,ECoil_stx2_GUPerML,ECoil_stx2DetectionLevel,ECoil_stx2_GUPerGramDryWeight,ECoil_stx2DetectionLevel,Ecoli_eae_GUPerML,Ecoli_eae_DetectionLevel,Ecoli_eae_GUPerGramDryWeight,Ecoli_eae_DetectionLevel,SalmonellaCulturable_Wild_MPNPerGramDryWeight,SamonellaCulturableWildDetectionLevel,SalmonellaCulturable_Wild_MPNPerML,SamonellaCulturableWildDetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerGramWetWeight,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerML,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaQPCR_GUPerML,SalmonellaQPCRDetectionLevel,SalmonellaQPCR_GUPerGramDryWeight,SalmonellaQPCRDetectionLevel,EColiCulturableColilert_MPNPer100ML,EColiCulturableColilertDetectionLevel,EColiCulturableColilert_MPNPerGramWetWeight,EColiCulturableColilertDetectionLevel,enterococciCulturableMEI_CFUPerGramWetWeight,enterococciCulturableMEIDetectionLevel,enterococciCulturableMEI_CFUPerML,enterococciCulturableMEIDetectionLevel,TotalColiformsCulturableColilert_MPNPer100ML,TotalColiformsCulturableColilertDetectionLevel,TotalColiformsCulturableColilert_MPNPerGramWetWeight,TotalColiformsCulturableColilertDetectionLevel
M_C_Day1_D_Spiked,1.00,0.00,1.60,0.00,6.19,WR,,,,,3043.00,BDL,34000.00,WR,,,,,8.43,BDL,,,,,,,2.50E+02,WR,,,0.25,BDL,,,7.51E+06,WR,,,3040.00,BDL,,,3040.00,BDL,,,3040.00,BDL,0.25,BDL,,,14000000.00,WR,,,,,3.04E+03,BDL,,,58087833.3,WR,923333.30,WRC,,,,,271806000,WR
M_C_Day1_D_Unspiked,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06E+06,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_C_Day2_D_Spiked,2.00,0.00,1.60,0.00,0.27,BDL,,,,,3030.00,BDL,112000.00,WR,,,,,8.41,BDL,,,,,,,1.96E+01,WR,,,0.25,BDL,,,7377777.778,WR,,,3030.00,BDL,,,3030.00,BDL,,,3030.00,BDL,0.25,BDL,,,6966666.67,WR,,,,,3.03E+03,BDL,,,15961166.70,WR,2250000.00,WR,,,,,478752500.00,WR
M_C_Day2_D_Unspiked,2.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_C_Day3_D_Spiked,3.00,0.00,1.60,0.00,2.44,BDL,,,,,2930.00,BDL,25600.00,WR,,,,,8.10,BDL,,,,,,,7.30E+01,WR,,,0.24,BDL,,,5.31E+06,WR,,,2930.00,BDL,,,2930.00,BDL,,,2930.00,BDL,0.24,BDL,,,1840000.00,WR,,,,,2.93E+03,BDL,,,7913333.3,WR,1365000.00,WRC,,,,,74657500,WR
M_C_Day3_D_Unspiked,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_P_Day1_D_Spiked,1.00,0.70,0.00,0.00,0.04,BDL,,,,,5920000.00,WR,55200.00,WR,,,ANP,,,,,,,,ANP,,,,,,ANP,,,,,,,,ANP,,,,ANP,,,,ANP,,0.04,BDL,,,840666.67,WR,,,,,1.91E+04,WR,,,9678400,WR,166833.30,WRC,,,,,18970000,WR
M_P_Day1_D_Unspiked,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_P_Day2_D_Spiked,2.00,0.70,0.00,0.00,0.03,BDL,,,,,5070000.00,WR,396000.00,WR,,,ANP,,,,,,,,ANP,,,,,,ANP,,8.92E+06,WR,,,,,ANP,,,,ANP,,,,ANP,,0.03,BDL,,,937333.33,WR,,,,,2.11E+04,WR,,,280000.00,WR,545000.00,WR,,,,,14000.00,WR
M_P_Day2_D_Unspiked,2.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_P_Day3_D_Spiked,3.00,0.70,0.00,0.00,0.03,BDL,,,,,4430000.00,WR,367000.00,WR,,,ANP,,,,,,,,ANP,,,,,,ANP,,,,,,,,ANP,,,,ANP,,,,ANP,,0.03,BDL,,,420000.00,WR,,,,,2.20E+04,WR,,,9418290,WR,580000.00,WR,,,,,33874400,WR
M_P_Day3_D_Unspiked,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_S_Day1_D_Spiked,1.00,0.00,0.00,0.67,,,92.00,WR,4140.00,WR,,,,,266000.00,WR,,,,,2.00E+01,BDL,2.00E+01,WR,,,,,0.03,BDL,,,,,,,102.00,WR,,,72.00,BDL,,,602.00,WR,,,,,0.11,WR,,,7.80E+06,WR,7.20E+01,BDL,,,1564500,WR,,,,,14075.00,WRC,4058250.00,WR,,
M_S_Day1_D_Unspiked,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_S_Day2_D_Spiked,2.00,0.00,0.00,0.67,,,0.34,WR,5260.00,WR,,,,,221000.00,WR,,,,,2.00E+01,BDL,2.00E+01,BDL,,,,,0.03,BDL,,,,,,,93.50,WR,,,72.00,BDL,,,1000.00,WR,,,,,0.16,WR,,,1.68E+07,WR,72.00,BDL,,,4458000.00,WR,,,,,31000.00,WR,24196000,WR,,
M_S_Day2_D_Unspiked,2.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05E+07,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_S_Day3_D_Spiked,3.00,0.00,0.00,0.67,,,8.03,WR,4140.00,WR,,,,,301000.00,WR,,,,,2.00E+01,BDL,5.00E+01,WR,,,,,0.03,BDL,,,,,,,121.00,WR,,,72.00,BDL,,,1300.00,WR,,,,,0.17,WR,,,4.63E+06,WR,72.00,BDL,,,591325,WR,,,,,9000.00,WRC,24196000.00,WR,,
M_S_Day3_D_Unspiked,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_X_Day1_D,1.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_X_Day2_D,2.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_X_Day3_D,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
