RainfallTreatmentID,RainfallStartTime,RainfallDuration_Minutes,AverageRainfallIntensity_cmPerHour,RunoffStartTimeSinceRainfallStarted_Minutes,CummulativeRunoffVolume_Liters,Notes
R_109_C,6/22/10 12:20 PM,60,6.57,55,43.76,
R_110_C,6/22/10 12:20 PM,60,6.6,41,39.98,
R_101_C,6/22/10 12:20 PM,60,6.63,39,40.62,
R_102_C,6/22/10 12:20 PM,60,7.53,39,26.98,
R_203_C,6/23/10 12:08 PM,60,5.3,63,23.23,
R_204_C,6/23/10 12:08 PM,60,5.53,48,45.82,
R_205_C,6/23/10 12:08 PM,60,7.17,5,42.03,
R_206_C,6/23/10 12:08 PM,60,5.49,64,21.50,
R_405_C,6/24/10 12:23 PM,60,6.32,42,52.70,
R_406_C,6/24/10 12:23 PM,60,7.26,47,68.50,
R_411_C,6/24/10 12:23 PM,60,6.25,94,17.44,
R_412_C,6/24/10 12:23 PM,60,6.37,99,22.69,
R_502_C,6/29/10 11:00 AM,60,7.34,37,58.49,
R_501_C,6/29/10 11:00 AM,60,6.8,63,48.68,
R_107_C,6/29/10 11:00 AM,60,6.33,60,36.41,
R_108_C,6/29/10 11:00 AM,60,6.52,64,33.03,
R_209_C,6/30/10 10:28 AM,60,7.02,68,27.54,
R_210_C,6/30/10 10:28 AM,60,6.54,93,27.49,
R_111_C,6/30/10 10:28 AM,60,6.39,104,25.24,
R_112_C,6/30/10 10:28 AM,60,7.25,109,19.35,
R_307_C,7/11/10 10:07 AM,60,6.46,41,38.46,
R_308_C,7/11/10 10:07 AM,60,7.27,50,29.57,
R_407_C,7/11/10 10:07 AM,60,6.16,94,29.55,
R_408_C,7/11/10 10:07 AM,60,6.59,124,11.44,
R_106_C,7/6/10 11:07 AM,60,6.63,55,40.46,
R_105_C,7/6/10 11:07 AM,60,6.24,42,44.32,
R_503_C,7/6/10 11:07 AM,60,6.24,57,32.13,
R_504_C,7/6/10 11:07 AM,60,6.45,38,68.78,
R_401_C,7/7/10 10:39 AM,60,6.19,53,43.89,
R_402_C,7/7/10 10:39 AM,60,7.04,56,51.00,
R_201_C,7/7/10 10:39 AM,60,6.53,57,24.94,
R_202_C,7/7/10 10:39 AM,60,6.34,58,20.33,
R_403_C,7/8/10 9:39 AM,60,NA,,,
R_404_C,7/8/10 9:39 AM,60,7.34,153,15.02,
R_409_C,7/8/10 9:39 AM,60,6.32,111,5.97,
R_410_C,7/8/10 9:39 AM,60,6.38,218,8.85,
