SampleID,RainfallTreatmentID,PlotID,StudyID,ElapsedTimeSinceRainfallStarted_Minutes,ElapsedTimeSinceRunoffStarted_Minutes,CummulativeRunoffVolumeSinceRunoffStarted_Liters
D -109-C-5,R_109_D,109,D,55,5,1.76
D -109-C-10,R_109_D,109,D,60,10,4.45
D -109-C-15,R_109_D,109,D,65,15,7.59
D -109-C-20,R_109_D,109,D,70,20,11.03
D -109-C-30,R_109_D,109,D,80,30,18.47
D-109-C-30-T1,R_109_D,109,D,85,30,18.47
D-109-C-30-T2,R_109_D,109,D,85,30,18.47
D -109-C-60,R_109_D,109,D,110,60,43.76
D-109-C-T1,R_109_D,109,D,115,60,43.76
D-109-C-T2,R_109_D,109,D,115,60,43.76
D-110-X-5,R_110_D,110,D,41,5,0.76
D-110-X-10,R_110_D,110,D,46,10,2.14
D-110-X-15,R_110_D,110,D,51,15,4.30
D-110-X-20,R_110_D,110,D,61,20,7.10
D-110-X-30,R_110_D,110,D,71,30,14.10
D-110-X-30-T1,R_110_D,110,D,76,30,14.10
D-110-X-30-T2,R_110_D,110,D,76,30,14.10
D-110-X-60,R_110_D,110,D,96,60,39.98
D-110-X-T1,R_110_D,110,D,101,60,39.98
D-110-X-T2,R_110_D,110,D,101,60,39.98
D-101-S-5,R_101_D,101,D,39,5,1.87
D-101-S-10,R_101_D,101,D,44,10,4.46
D-101-S-15,R_101_D,101,D,49,15,7.56
D-101-S-20,R_101_D,101,D,54,20,11.06
D-101-S-30,R_101_D,101,D,64,30,18.00
D-101-S-30-T1,R_101_D,101,D,69,30,18.00
D-101-S-30-T2,R_101_D,101,D,69,30,18.00
D-101-S-60,R_101_D,101,D,94,60,40.62
D-101-S-T1,R_101_D,101,D,99,60,40.62
D-101-S-T2,R_101_D,101,D,99,60,40.62
D-102-P-5,R_102_D,102,D,39,5,1.04
D-102-P-10,R_102_D,102,D,44,10,2.77
D-102-P-15,R_102_D,102,D,49,15,4.93
D-102-P-20,R_102_D,102,D,54,20,7.30
D-102-P-30,R_102_D,102,D,64,30,12.05
D-102-P-30-T1,R_102_D,102,D,69,30,12.05
D-102-P-30-T2,R_102_D,102,D,69,30,12.05
D-102-P-60,R_102_D,102,D,94,60,26.98
D-102-P-T1,R_102_D,102,D,99,60,26.98
D-102-P-T2,R_102_D,102,D,99,60,26.98
D-203-P-5,R_203_D,203,D,63,5,0.62
D-203-P-10,R_203_D,203,D,68,10,1.65
D-203-P-15,R_203_D,203,D,73,15,3.01
D-203-P-20,R_203_D,203,D,78,20,4.76
D-203-P-30,R_203_D,203,D,88,30,8.88
D-203-P-30-T1,R_203_D,203,D,93,30,8.88
D-203-P-30-T2,R_203_D,203,D,93,30,8.88
D-203-P-60,R_203_D,203,D,118,60,23.23
D-203-P-T1,R_203_D,203,D,123,60,23.23
D-203-P-T2,R_203_D,203,D,123,60,23.23
D-204-X-5,R_204_D,204,D,48,5,1.76
D-204-X-10,R_204_D,204,D,53,10,4.49
D-204-X-15,R_204_D,204,D,58,15,7.75
D-204-X-20,R_204_D,204,D,63,20,11.53
D-204-X-30,R_204_D,204,D,73,30,19.65
D-204-X-30-T1,R_204_D,204,D,78,30,19.65
D-204-X-30-T2,R_204_D,204,D,78,30,19.65
D-204-X-60,R_204_D,204,D,103,60,45.82
D-204-X-T1,R_204_D,204,D,108,60,45.82
D-204-X-T2,R_204_D,204,D,108,60,45.82
D-205-C-5,R_205_D,205,D,5,5,1.57
D-205-C-10,R_205_D,205,D,10,10,2.90
D-205-C-15,R_205_D,205,D,15,15,4.66
D-205-C-20,R_205_D,205,D,20,20,7.17
D-205-C-30,R_205_D,205,D,30,30,13.75
D-205-C-30-T1,R_205_D,205,D,35,30,13.75
D-205-C-30-T2,R_205_D,205,D,35,30,13.75
D-205-C-60,R_205_D,205,D,60,60,42.03
D-205-C-T1,R_205_D,205,D,65,60,42.03
D-205-C-T2,R_205_D,205,D,65,60,42.03
D-206-P-5,R_206_D,206,D,64,5,0.75
D-206-P-10,R_206_D,206,D,69,10,1.72
D-206-P-15,R_206_D,206,D,74,15,3.00
D-206-P-20,R_206_D,206,D,79,20,4.50
D-206-P-30,R_206_D,206,D,89,30,8.09
D-206-P-30-T1,R_206_D,206,D,94,30,8.09
D-206-P-30-T2,R_206_D,206,D,94,30,8.09
D-206-P-60,R_206_D,206,D,119,60,21.50
D-206-P-T1,R_206_D,206,D,124,60,21.50
D-206-P-T2,R_206_D,206,D,124,60,21.50
D-405-X-5,R_405_D,405,D,42,5,1.67
D-405-X-10,R_405_D,405,D,47,10,4.07
D-405-X-15,R_405_D,405,D,52,15,7.18
D-405-X-20,R_405_D,405,D,57,20,10.91
D-405-X-30,R_405_D,405,D,67,30,20.13
D-405-X-30-T1,R_405_D,405,D,72,30,20.13
D-405-X-30-T2,R_405_D,405,D,72,30,20.13
D-405-X-60,R_405_D,405,D,97,60,52.70
D-405-X-T1,R_405_D,405,D,102,60,52.70
D-405-X-T2,R_405_D,405,D,102,60,52.70
D-406-S-5,R_406_D,406,D,47,5,1.25
D-406-S-10,R_406_D,406,D,52,10,4.02
D-406-S-15,R_406_D,406,D,57,15,8.59
D-406-S-20,R_406_D,406,D,62,20,14.22
D-406-S-30,R_406_D,406,D,72,30,26.83
D-406-S-30-T1,R_406_D,406,D,77,30,26.83
D-406-S-30-T2,R_406_D,406,D,77,30,26.83
D-406-S-60,R_406_D,406,D,102,60,68.50
D-406-S-T1,R_406_D,406,D,107,60,68.50
D-406-S-T2,R_406_D,406,D,107,60,68.50
D-411-S-5,R_411_D,411,D,94,5,0.79
D-411-S-10,R_411_D,411,D,99,10,1.79
D-411-S-15,R_411_D,411,D,104,15,3.07
D-411-S-20,R_411_D,411,D,109,20,4.22
D-411-S-30,R_411_D,411,D,119,30,7.01
D-411-S-30-T1,R_411_D,411,D,124,30,7.01
D-411-S-30-T2,R_411_D,411,D,124,30,7.01
D-411-S-60,R_411_D,411,D,149,60,17.44
D-411-S-T1,R_411_D,411,D,154,60,17.44
D-411-S-T2,R_411_D,411,D,154,60,17.44
D-412-C-5,R_412_D,412,D,99,5,0.70
D-412-C-10,R_412_D,412,D,104,10,1.85
D-412-C-15,R_412_D,412,D,109,15,3.25
D-412-C-20,R_412_D,412,D,114,20,4.99
D-412-C-30,R_412_D,412,D,124,30,8.80
D-412-C-30-T1,R_412_D,412,D,129,30,8.80
D-412-C-30-T2,R_412_D,412,D,129,30,8.80
D-412-C-60,R_412_D,412,D,154,60,22.69
D-412-C-T1,R_412_D,412,D,159,60,22.69
D-412-C-T2,R_412_D,412,D,159,60,22.69
D-502-S-5,R_502_D,502,D,37,5,1.80
D-502-S-10,R_502_D,502,D,42,10,4.73
D-502-S-15,R_502_D,502,D,47,15,8.80
D-502-S-20,R_502_D,502,D,52,20,13.54
D-502-S-30,R_502_D,502,D,62,30,23.79
D-502-S-30-T1,R_502_D,502,D,67,30,23.79
D-502-S-30-T2,R_502_D,502,D,67,30,23.79
D-502-S-60,R_502_D,502,D,92,60,58.49
D-502-S-T1,R_502_D,502,D,97,60,58.49
D-502-S-T2,R_502_D,502,D,97,60,58.49
D-501-X-5,R_501_D,501,D,63,5,2.32
D-501-X-10,R_501_D,501,D,68,10,5.43
D-501-X-15,R_501_D,501,D,73,15,8.91
D-501-X-20,R_501_D,501,D,78,20,12.71
D-501-X-30,R_501_D,501,D,88,30,20.67
D-501-X-30-T1,R_501_D,501,D,93,30,20.67
D-501-X-30-T2,R_501_D,501,D,93,30,20.67
D-501-X-60,R_501_D,501,D,118,60,48.68
D-501-X-T1,R_501_D,501,D,123,60,48.68
D-501-X-T2,R_501_D,501,D,123,60,48.68
D-107-C-5,R_107_D,107,D,60,5,1.00
D-107-C-10,R_107_D,107,D,65,10,2.80
D-107-C-15,R_107_D,107,D,70,15,5.25
D-107-C-20,R_107_D,107,D,75,20,7.95
D-107-C-30,R_107_D,107,D,85,30,14.15
D-107-C-30-T1,R_107_D,107,D,90,30,14.15
D-107-C-30-T2,R_107_D,107,D,90,30,14.15
D-107-C-60,R_107_D,107,D,115,60,36.41
D-107-C-T1,R_107_D,107,D,120,60,36.41
D-107-C-T2,R_107_D,107,D,120,60,36.41
D-108-P-5,R_108_D,108,D,64,5,0.96
D-108-P-10,R_108_D,108,D,69,10,2.51
D-108-P-15,R_108_D,108,D,74,15,4.56
D-108-P-20,R_108_D,108,D,79,20,7.22
D-108-P-30,R_108_D,108,D,89,30,12.48
D-108-P-30-T1,R_108_D,108,D,94,30,12.48
D-108-P-30-T2,R_108_D,108,D,94,30,12.48
D-108-P-60,R_108_D,108,D,119,60,33.03
D-108-P-T1,R_108_D,108,D,124,60,33.03
D-108-P-T2,R_108_D,108,D,124,60,33.03
D-209-C-5,R_209_D,209,D,68,5,0.82
D-209-C-10,R_209_D,209,D,73,10,2.00
D-209-C-15,R_209_D,209,D,78,15,3.48
D-209-C-20,R_209_D,209,D,83,20,5.27
D-209-C-30,R_209_D,209,D,93,30,9.49
D-209-C-30-T1,R_209_D,209,D,98,30,9.49
D-209-C-30-T2,R_209_D,209,D,98,30,9.49
D-209-C-60,R_209_D,209,D,123,60,27.54
D-209-C-T1,R_209_D,209,D,128,60,27.54
D-209-C-T2,R_209_D,209,D,128,60,27.54
D-210-S-5,R_210_D,210,D,93,5,0.66
D-210-S-10,R_210_D,210,D,98,10,1.53
D-210-S-15,R_210_D,210,D,103,15,2.60
D-210-S-20,R_210_D,210,D,108,20,4.06
D-210-S-30,R_210_D,210,D,118,30,8.60
D-210-S-30-T1,R_210_D,210,D,123,30,8.60
D-210-S-30-T2,R_210_D,210,D,123,30,8.60
