SampleID,PlotID,StudyID,SampleTypeID,RainfallTreatmentID,ManureTreatmentID,SampleVolume_ml,ElapsedTimeSinceRunoffStarted_Minutes,Notes
D -109-C-5,109,D,1,R_109_D,M_C_Day1_D_Spiked,361,5,
D -109-C-10,109,D,1,R_109_D,M_C_Day1_D_Spiked,381,10,
D -109-C-15,109,D,1,R_109_D,M_C_Day1_D_Spiked,941,15,
D -109-C-20,109,D,1,R_109_D,M_C_Day1_D_Spiked,540,20,
D -109-C-30,109,D,1,R_109_D,M_C_Day1_D_Spiked,531,30,
D-109-C-30-T1,109,D,2,R_109_D,M_C_Day1_D_Spiked,352,30,
D-109-C-30-T2,109,D,2,R_109_D,M_C_Day1_D_Spiked,10462,30,
D -109-C-60,109,D,1,R_109_D,M_C_Day1_D_Spiked,467,60,
D-109-C-T1,109,D,2,R_109_D,M_C_Day1_D_Spiked,453,60,
D-109-C-T2,109,D,2,R_109_D,M_C_Day1_D_Spiked,10262,60,
D-110-X-5,110,D,1,R_110_D,M_X_Day1_D,360,5,
D-110-X-10,110,D,1,R_110_D,M_X_Day1_D,474,10,
D-110-X-15,110,D,1,R_110_D,M_X_Day1_D,958,15,
D-110-X-20,110,D,1,R_110_D,M_X_Day1_D,397,20,
D-110-X-30,110,D,1,R_110_D,M_X_Day1_D,401,30,
D-110-X-30-T1,110,D,2,R_110_D,M_X_Day1_D,373,30,
D-110-X-30-T2,111,D,2,R_110_D,M_X_Day1_D,9862,30,
D-110-X-60,110,D,1,R_110_D,M_X_Day1_D,450,60,
D-110-X-T1,110,D,2,R_110_D,M_X_Day1_D,470,60,
D-110-X-T2,110,D,2,R_110_D,M_X_Day1_D,10062,60,
D-101-S-5,101,D,1,R_110_D,M_S_Day1_D_Spiked,766,5,
D-101-S-10,101,D,1,R_101_D,M_S_Day1_D_Spiked,794,10,
D-101-S-15,101,D,1,R_101_D,M_S_Day1_D_Spiked,998,15,
D-101-S-20,101,D,1,R_101_D,M_S_Day1_D_Spiked,792,20,
D-101-S-30,101,D,1,R_101_D,M_S_Day1_D_Spiked,829,30,
D-101-S-30-T1,101,D,1,R_101_D,M_S_Day1_D_Spiked,853,30,
D-101-S-30-T2,101,D,2,R_101_D,M_S_Day1_D_Spiked,10462,30,
D-101-S-60,101,D,1,R_101_D,M_S_Day1_D_Spiked,801,60,
D-101-S-T1,101,D,2,R_101_D,M_S_Day1_D_Spiked,725,60,
D-101-S-T2,101,D,2,R_101_D,M_S_Day1_D_Spiked,10462,60,
D-102-P-5,102,D,1,R_102_D,M_P_Day1_D_Spiked,735,5,
D-102-P-10,102,D,1,R_102_D,M_P_Day1_D_Spiked,828,10,
D-102-P-15,102,D,1,R_102_D,M_P_Day1_D_Spiked,967,15,
D-102-P-20,102,D,1,R_102_D,M_P_Day1_D_Spiked,759,20,
D-102-P-30,102,D,1,R_102_D,M_P_Day1_D_Spiked,754,30,
D-102-P-30-T1,102,D,1,R_102_D,M_P_Day1_D_Spiked,657,30,
