SampleID,ClostridiumCulturable_CFUPerML,DetectionLevel
B-109-C-15,0.20,WR
B-109-C-30-T,0.01,WR
B-109-C-T2,0.20,WR
B-102-P-15,0.54,WR
B-102-P-30-T,0.33,WR
B-102-P-T2,0.16,WR
B-101-S-15,1.07,WR
B-101-S-30-T,0.78,WR
B-101-S-T2,0.46,WR
B-110-X-15,0.88,WR
B-110-X-30-T,0.25,WR
B-110-X-T2,0.16,WR
B-205-C-15,0.63,WR
B-205-C-30-T,0.20,WR
B-205-C-T2,0.30,WR
B-206-P-15,0.43,WR
B-206-P-30-T,0.57,WR
B-206-P-T2,0.43,WR
B-203-P-15,0.83,WR
B-203-P-30-T,0.74,WR
B-203-P-T2,0.33,WR
B-204-X-15,0.04,WR
B-204-X-30-T,0.19,WR
B-204-X-30-T,0.23,WR
B-204-X-T2,0.06,WR
B-405-X-15,0.70,WR
B-405-X-30-T,0.13,WR
B-405-X-T2,2.17,WR
B-406-S-15,1.33,WR
B-406-S-30-T,1.13,WR
B-406-S-T2,0.07,WR
B-411-S-15,0.00,WR
B-411-S-30-T,1.13,WR
B-411-S-T2,0.00,WR
B-412-C-15,0.00,WR
B-412-C-30-T,0.30,WR
B-412-C-T2,0.00,WR
B-107-C-30-T,0.07,WR
B-107-C-T2,0.14,WR
B-108-P-30-T,0.09,WR
B-108-P-T2,0.19,WR
B-501-X-30-T,0.00,WR
B-501-X-T2,0.00,WR
B-502-S-30-T,0.00,WR
B-502-S-T2,0.00,WR
B-107-C-15,0.00,WR
B-108-P-15,0.27,WR
B-108-P-15,0.21,WR
B-501-X-15,0.00,WR
B-502-S-15,0.00,WR
B-111-S-30-T,0.00,WR
B-111-S-T2,0.01,WR
B-112-P-30-T,0.04,WR
B-112-P-T2,0.06,WR
B-209-C-30-T,0.00,WR
B-209-C-T2,0.00,WR
B-210-S-30-T,0.01,WR
B-210-S-T2,0.01,WR
B-111-S-15,0.00,WR
B-112-P-15,0.13,WR
B-209-C-15,0.00,WR
B-210-S-15,0.28,WR
B-307-C-30-T,0.00,WR
B-307-C-T2,0.02,WR
B-308-X-30-T,0.05,WR
B-308-X-T2,0.00,WR
B-407-X-30-T,0.00,WR
B-407-X-T2,0.00,WR
B-408-P-30-T,0.10,WR
B-408-P-T2,0.05,WR
B-307-C-15,0.05,WR
B-308-X-15,0.00,WR
B-407-X-15,0.00,WR
B-408-P-15,0.10,WR
B-105-X-30-T,0.00,WR
B-105-X-T2,0.00,WR
B-106-P-30-T,0.12,WR
B-106-P-T2,0.06,WR
B-503-C-30-T,0.00,WR
B-503-C-T2,0.00,WR
B-504-X-30-T,0.00,WR
B-504-X-T2,0.00,WR
B-105-X-15,0.01,WR
B-106-P-15,0.08,WR
B-503-C-15,0.00,WR
B-504-X-15,0.01,WR
B-201-P-30-T,0.15,WR
B-201-P-T2,0.12,WR
B-202-S-30-T,0.00,WR
B-202-S-T2,0.01,WR
B-401-S-30-T,0.00,WR
B-401-S-T2,0.00,WR
B-402-X-30-T,0.20,WR
B-402-X-T2,0.21,WR
B-201-P-15,0.12,WR
B-202-S-15,0.00,WR
B-401-S-15,0.01,WR
B-402-X-15,0.05,WR
B-403-C-30-T,0.00,WR
B-403-C-T2,0.00,WR
B-404-P-30-T,0.03,WR
B-404-P-T2,0.10,WR
B-409-C-30-T,0.00,WR
B-409-C-T2,0.00,WR
B-410-S-30-T,0.00,WR
B-410-S-T2,0.00,WR
B-403-C-15,0.00,WR
B-404-P-15,0.16,WR
B-409-C-15,0.00,WR
B-410-S-15,0.00,WR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
