SampleID,enterococciCulturableMEI_CFUPer100ML,DetectionLevel,,,,,
B-109-C-5,141500,WR,,,,,
B-109-C-10,1000,WR,,,,,
B-109-C-20,133500,WR,,,,,
B-109-C-30,6000,WR,,,,,
B-109-C-60,93500,WR,,,,,
B-109-C-T1,11000,WR,,,,,
B-110-X-5,95733,WR,,,,,
B-110-X-10,650,WR,,,,,
B-110-X-20,77833,WR,,,,,
B-110-X-30,51067,WR,,,,,
B-110-X-60,400,WR,,,,,
B-110-X-T1,100,WR,,,,,
B-101-S-5,0.5,BDL,,,,,
B-101-S-10,0.5,BDL,,,,,
B-101-S-20,0.5,BDL,,,,,
B-101-S-30,0.5,BDL,,,,,
B-101-S-60,0.5,BDL,,,,,
B-101-S-T1,0.5,BDL,,,,,
B-102-P-5,120000,WR,,,,,
B-102-P-10,60000,WR,,,,,
B-102-P-20,1800,WR,,,,,
B-102-P-30,40000,WR,,,,,
B-102-P-60,51000,WR,,,,,
B-102-P-T1,6000,WR,,,,,
B-203-P-5,52000,WR,,,,,
B-203-P-10,6000,WR,,,,,
B-203-P-20,2300,WR,,,,,
B-203-P-30,32000,WR,,,,,
B-203-P-60,6000,WR,,,,,
B-203-P-T1,1300,WR,,,,,
B-204-X-5,0.5,BDL,,,,,
B-204-X-10,300,WR,,,,,
B-204-X-20,0.5,BDL,,,,,
B-204-X-30,300,WR,,,,,
B-204-X-60,100,WR,,,,,
B-204-X-T1,0.5,BDL,,,,,
B-205-C-5,152500,WR,,,,,
B-205-C-10,148000,WR,,,,,
B-205-C-20,100,WR,,,,,
B-205-C-30,240000,WR,,,,,
B-205-C-60,113000,WR,,,,,
B-205-C-T1,6000,WR,,,,,
B-206-P-5,60000,WR,,,,,
B-206-P-10,5000,WR,,,,,
B-206-P-20,1500,WR,,,,,
B-206-P-30,60000,WR,,,,,
B-206-P-60,10000,WR,,,,,
B-206-P-T1,1200,WR,,,,,
B-405-X-5,4150,WR,,,,,
B-405-X-10,1300,WR,,,,,
B-405-X-20,400,WR,,,,,
B-405-X-30,0.5,BDL,,,,,
B-405-X-60,100,WR,,,,,
B-405-X-T1,200,WR,,,,,
B-406-S-5,20,WR,,,,,
B-406-S-10,0.5,BDL,,,,,
B-406-S-20,70,WR,,,,,
B-406-S-30,285,WR,,,,,
B-406-S-60,95,WR,,,,,
B-406-S-T1,330,WR,,,,,
B-411-S-5,170,WR,,,,,
B-411-S-10,150,WR,,,,,
B-411-S-20,235,WR,,,,,
B-411-S-30,160,WR,,,,,
B-411-S-60,160,WR,,,,,
B-411-S-T1,160,WR,,,,,
B-412-C-5,225000,WR,,,,,
B-412-C-10,303000,WR,,,,,
B-412-C-20,203000,WR,,,,,
B-412-C-30,161000,WR,,,,,
B-412-C-60,104000,WR,,,,,
B-412-C-T1,123000,WR,,,,,
B-502-S-5,17,WR,,,,,
B-502-S-10,0.5,BDL,,,,,
B-502-S-20,1,WR,,,,,
B-502-S-30,0.5,BDL,,,,,
B-502-S-60,100,WR,,,,,
B-502-S-T1,84,WR,,,,,
B-501-X-5,20,WR,,,,,
B-501-X-10,199,WR,,,,,
B-501-X-20,72,WR,,,,,
B-501-X-30,27,WR,,,,,
B-501-X-60,132,WR,,,,,
B-501-X-T1,109,WR,,,,,
B-107-C-5,60000,WR,,,,,
B-107-C-10,284000,WR,,,,,
B-107-C-20,39000,WR,,,,,
B-107-C-30,11500,WR,,,,,
B-107-C-60,4600,WR,,,,,
B-107-C-T1,1450,WR,,,,,
B-108-P-5,2900,WR,,,,,
B-108-P-10,2300,WR,,,,,
B-108-P-20,7650,WR,,,,,
B-108-P-30,34000,WR,,,,,
B-108-P-60,72000,WR,,,,,
B-108-P-T1,26000,WR,,,,,
B-209-C-5,1100,WR,,,,,
B-209-C-10,4250,WR,,,,,
B-209-C-20,3300,WR,,,,,
B-209-C-30,60000,WR,,,,,
B-209-C-60,5000,WR,,,,,
B-209-C-T1,2000,WR,,,,,
B-210-S-5,2,WR,,,,,
B-210-S-10,600,WR,,,,,
B-210-S-20,12,WR,,,,,
B-210-S-30,600,WR,,,,,
B-210-S-60,600,WR,,,,,
B-210-S-T1,8,WR,,,,,
B-111-S-5,810,WR,,,,,
B-111-S-10,266,WR,,,,,
B-111-S-20,70,WR,,,,,
B-111-S-30,26,WR,,,,,
B-111-S-60,237,WR,,,,,
B-111-S-T1,38,WR,,,,,
B-112-P-5,60000,WR,,,,,
B-112-P-10,4000,WR,,,,,
B-112-P-20,500,WR,,,,,
B-112-P-30,3400,WR,,,,,
B-112-P-60,14600,WR,,,,,
B-112-P-T1,2800,WR,,,,,
B-307-C-5,8900,WR,,,,,
B-307-C-10,5850,WR,,,,,
B-307-C-20,2600,WR,,,,,
B-307-C-30,2850,WR,,,,,
B-307-C-60,1000,WR,,,,,
B-307-C-T1,1800,WR,,,,,
B-308-X-5,360,WR,,,,,
B-308-X-10,485,WR,,,,,
B-308-X-20,100,WR,,,,,
B-308-X-30,20,WR,,,,,
B-308-X-60,232,WR,,,,,
B-308-X-T1,530,WR,,,,,
B-407-X-5,910,WR,,,,,
B-407-X-10,1130,WR,,,,,
B-407-X-20,410,WR,,,,,
B-407-X-30,230,WR,,,,,
B-407-X-60,120,WR,,,,,
B-407-X-T1,240,WR,,,,,
B-408-P-5,13800,WR,,,,,
B-408-P-10,32000,WR,,,,,
B-408-P-20,60000,WR,,,,,
B-408-P-30,9000,WR,,,,,
B-408-P-60,104000,WR,,,,,
B-408-P-T1,61000,WR,,,,,
B-106-P-5,24000,WR,,,,,
B-106-P-10,41000,WR,,,,,
B-106-P-20,30000,WR,,,,,
B-106-P-30,40300,WR,,,,,
B-106-P-60,10850,WR,,,,,
B-106-P-T1,11800,WR,,,,,
B-105-X-5,2180,WR,,,,,
B-105-X-10,1545,WR,,,,,
B-105-X-20,2710,WR,,,,,
B-105-X-30,24,WR,,,,,
B-105-X-60,258,WR,,,,,
B-105-X-T1,10,WRC,,,,,
B-503-C-5,500,WR,,,,,
B-503-C-10,900,WR,,,,,
B-503-C-20,900,WR,,,,,
B-503-C-30,2300,WR,,,,,
B-503-C-60,1900,WR,,,,,
B-503-C-T1,1600,WR,,,,,
B-504-X-5,940,WR,,,,,
B-504-X-10,465,WR,,,,,
B-504-X-20,1400,WR,,,,,
B-504-X-30,2190,WR,,,,,
B-504-X-60,3100,WR,,,,,
B-504-X-T1,1190,WR,,,,,
B-401-S-5,54,WR,,,,,
B-401-S-10,2,WRC,,,,,
B-401-S-20,108,WRC,,,,,
B-401-S-30,120,WR,,,,,
B-401-S-60,106,WRC,,,,,
B-401-S-T1,110,WR,,,,,
B-402-X-5,58,WR,,,,,
B-402-X-10,91,WR,,,,,
B-402-X-20,210,WRC,,,,,
B-402-X-30,27,WRC,,,,,
B-402-X-60,850,WR,,,,,
B-402-X-T1,586,WR,,,,,
B-201-P-5,53900,WRC,,,,,
B-201-P-10,42000,WR,,,,,
B-201-P-20,5600,WR,,,,,
B-201-P-30,2500,WR,,,,,
B-201-P-60,600,WRC,,,,,
B-201-P-T1,500,WR,,,,,
B-202-S-5,56,WR,,,,,
B-202-S-10,83,WR,,,,,
B-202-S-20,460,WR,,,,,
B-202-S-30,202,WR,,,,,
B-202-S-60,30,WR,,,,,
B-202-S-T1,88,WR,,,,,
B-403-C-5,860,WR,,,,,
B-403-C-10,780,WR,,,,,
B-403-C-20,740,WR,,,,,
B-403-C-30,820,WR,,,,,
B-403-C-60,540,WR,,,,,
B-403-C-T1,580,WR,,,,,
B-404-P-5,1215000,WRC,,,,,
B-404-P-10,1505000,WRC,,,,,
B-404-P-20,1590000,WRC,,,,,
B-404-P-30,1040000,WRC,,,,,
B-404-P-60,90000,WRC,,,,,
B-404-P-T1,50000,WRC,,,,,
B-409-C-5,540,WR,,,,,
B-409-C-10,740,WR,,,,,
B-409-C-20,820,WR,,,,,
B-409-C-30,2200,WR,,,,,
B-409-C-60,540,WR,,,,,
B-409-C-T1,1100,WR,,,,,
B-410-S-5,220,WR,,,,,
B-410-S-10,1540,WR,,,,,
B-410-S-20,600,WR,,,,,
B-410-S-30,3180,WR,,,,,
B-410-S-60,2480,WR,,,,,
B-410-S-T1,1530,WR,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
