ManureTreatmentID,DaysSinceApplication,PoultryManureApplicationRate_KgPerMeter,CattleManureApplicationRate_KgPerMeter,SwineManureApplicationRate_LitersPerMeter,CampylobacterCulturable_MPNPerGramDryWeight,CampylobacterCulturableDetectionLevel,CampylobacterCulturable_MPNPerML,CampylobacterCulturableDetectionLevel,Campylobacter_GUPerDryWeight,CampylobacterDetectionLevel,Campylobacter_GUPerML,CampylobacterDetectionLevel,ClostridiumCulturable_mCP_CFUPerML,ClostridiumCulturable_mCP_DetectionLevel,ClostridiumCulturable_mCP_CFUPerGramDry Weight,ClostridiumCulturable_mCP_DetectionLevel,ClostridiumCulturable_TSCF_CFUPerML,ClostridiumCulturable_TSCFDetectionLevel,ClostridiumCulturable_TSCF_CFUPerGramDryWeight,ClostridiumCulturable_TSCFDetectionLevel,Crypto_OocystsPerML,Crypto_OocystsDetectionLevel,Crypto_OocystsPerGramWetWeight,Crypto_OocystsDetectionLevel,Crypto_OocystsPerGramDryWeight,Crypto_OocystsDetectionLevel,Giardia_CystsPerML,GiardiaDetectionLevel,Giardia_CystsPerGramWetWeight,GiardiaDetectionLevel,Giardia_CystsPerGramDryWeight,GiardiaDetectionLevel,EColi0157Culturable_MPNPerML,EColi0157CulturableDetectionLevel,EColi0157Culturable_MPNPerGramDryWeight,EColi0157CulturableDetectionLevel,Ecoli0157_Surrogate_CFUPerML,Ecoli0157SurrogateDetectionLevel,ECoil_stx1_GUPerML,ECoil_stx1DetectionLevel,ECoil_stx1_GUPerGramDryWeight,ECoil_stx1DetectionLevel,ECoil_stx2_GUPerML,ECoil_stx2DetectionLevel,ECoil_stx2_GUPerGramDryWeight,ECoil_stx2DetectionLevel,Ecoli_eae_GUPerML,Ecoli_eae_DetectionLevel,Ecoli_eae_GUPerGramDryWeight,Ecoli_eae_DetectionLevel,SalmonellaCulturable_Wild_MPNPerML,SamonellaCulturableWildDetectionLevel,SalmonellaCulturable_Wild_MPNPerGramDryWeight,SamonellaCulturableWildDetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerML,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaCulturableSurrogate_strain3895_MPNPerGramWetWeight,SalmonellaCulturableSurrogateStrain3895DetectionLevel,SalmonellaCulturable_MPNPerGram,SalmonellaCulturableDetectionLevel,SalmonellaQPCR_GUPerML,SalmonellaQPCRDetectionLevel,SalmonellaQPCR_GUPerGramDryWeight,SalmonellaQPCRDetectionLevel,EColiCulturableColilert_MPNPer100ML,EColiCulturableColilertDetectionLevel,EColiCulturableColilert_MPNPerGramWetWeight**,EColiCulturableColilertDetectionLevel,enterococciCulturableMEI_CFUPerML,enterococciCulturableMEIDetectionLevel,enterococciCulturableMEI_CFUPerGramWetWeight,enterococciCulturableMEIDetectionLevel,TotalColiformsCulturableColilert_MPNPer100ML**,TotalColiformsCulturableColilertDetectionLevel,TotalColiformsCulturableColilert_MPNPerGramWetWeight**,TotalColiformsCulturableColilertDetectionLevel,CampylobactersppSimplatesCulturable_MPNPerML,DetectionLevel,CampylobactersppSimplatesCulturable_MPNPerGramDryWeight,DetectionLevel
M_C_Day1_B_Spiked,1.00,0.00,1.60,0.00,7.23,WR,,,1196.81,BDL,,,,,455.16,WR,,,1097.73,WR,,,370.00,WR,,,,,193.00,WR,,,,,2.41,BDL,8813333.33,WR,,,1196.81,BDL,,,1196.81,BDL,,,1196.81,BDL,,,2.41,BDL,,,8866666.67,WR,,ANP,,,1196.81,BDL,,,2097900000,WR,,,,,,,9509000000,WR,,,3052.21,WR
M_C_Day1_B_Unspiked,1.00,0.00,0.00,0.00,7.23,WR,,,1196.81,BDL,,,,,455.16,WR,,,1097.73,WR,,,,,8.03,BDL,,,,,8.03,BDL,,,2.41,BDL,0.00,WR,,,1196.81,BDL,,,1196.81,BDL,,,1196.81,BDL,,,2.41,BDL,,,0.30,BDL,,ANP,,,1196.81,BDL,,,1268423333,WR,,,1915833.333,WRC,,,1357156667,WR,,,3052.21,WR
M_C_Day2_B_Spiked,2.00,0.00,1.60,0.00,982.14,WR,,,1180.33,BDL,,,,,89.29,WR,,,0.00,WR,,,188.30,WR,,,,,105.67,WR,,,,,2.68,BDL,33244444.44,WR,,,1180.33,BDL,,,1180.33,BDL,,,1180.33,BDL,,,2.68,BDL,,,8866666.67,WR,,ANP,,,1180.33,BDL,,,233616666.7,WR,,,,,,,61410000000,WR,,,32142.86,WR
M_C_Day2_B_Unspiked,2.00,0.00,0.00,0.00,982.14,WR,,,1180.33,BDL,,,,,89.29,WR,,,0.00,WR,,,,,8.93,BDL,,,,,8.93,WR,,,2.68,BDL,0.00,WR,,,1180.33,BDL,,,1180.33,BDL,,,1180.33,BDL,,,2.68,BDL,,,0.30,BDL,,ANP,,,1180.33,BDL,,,760375000,WR,,,2900000,WR,,,806800000,WR,,,32142.86,WR
M_C_Day3_B_Spiked,3.00,0.00,1.60,0.00,97.22,WR,,,957.45,BDL,,,,,55.56,WR,,,694.45,WR,,,309.00,WR,,,,,242.67,WR,,,,,2.50,BDL,333555555.56,WR,,,957.45,BDL,,,957.45,BDL,,,957.45,BDL,,,2.50,BDL,,,11000000.00,WR,,ANP,,,957.45,BDL,,,526325000,WR,,,,,,,10684475000,WR,,,24722,WR
M_C_Day3_B_Unspiked,3.00,0.00,0.00,0.00,97.22,WR,,,957.45,BDL,,,,,55.56,WR,,,694.45,WR,,,,,8.33,BDL,,,,,8.33,WR,,,2.50,BDL,0.00,WR,,,957.45,BDL,,,957.45,BDL,,,957.45,BDL,,,2.50,BDL,,,0.30,BDL,,ANP,,,957.45,BDL,,,867950000,WR,,,1005000,WRC,,,867950000,WR,,,24722,WR
M_P_Day1_B_Spiked,1.00,0.70,0.00,0.00,0.40,BDL,,,839498152.51,WR,,,,,381.21,WR,,,611.70,WR,,,,ANP,,,,,,ANP,,,,,,ANP,23207.41,WR,,,,ANP,,,,ANP,,,,ANP,,,0.40,BDL,,,17533333.33,WR,,ANP,,,87620.82,BQL,,,5000,WR,,,,,,,241960000,TNTC,,,13.30,BDL
M_P_Day1_B_Unspiked,1.00,0.00,0.00,0.00,0.40,BDL,,,839498152.51,WR,,,,,381.21,WR,,,611.70,WR,,,,ANP,,,,,,ANP,,,,,,ANP,0.00,WR,,,,ANP,,,,ANP,,,,ANP,,,0.40,BDL,,,0.30,BDL,,ANP,,,87620.82,BQL,,,2000,WR,,,285000,WRC,,,14095000,WR,,,13.30,BDL
M_P_Day2_B_Spiked,2.00,0.70,0.00,0.00,0.39,BDL,,,1017540563.26,WR,,,,,83.06,WR,,,1066.67,WR,,,,ANP,,,,,,ANP,,,,,,ANP,1037500.00,WR,,,,ANP,,,,ANP,,,,ANP,,,0.39,BDL,,,17433333.33,WR,,ANP,,,300950.36,BQL,,,0,BDL,,,,,,,2635033333,WR,,,13.11,BDL
M_P_Day2_B_Unspiked,2.00,0.00,0.00,0.00,0.39,BDL,,,1017540563.26,WR,,,,,83.06,WR,,,1066.67,WR,,,,ANP,,,,,,ANP,,,,,,ANP,0.00,WR,,,,ANP,,,,ANP,,,,ANP,,,0.39,BDL,,,0.30,BDL,,ANP,,,300950.36,BQL,,,35500,WR,,,60000*,TNTC,,,13550000,WR,,,13.11,BDL
