PlotID,ManureTreatmentID,StudyID
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
109,M_C_Day1_B_Spiked,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
110,M_X_Day1_B,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
101,M_S_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
102,M_P_Day1_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
203,M_P_Day2_B_Spiked,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
204,M_X_Day2_B,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
205,M_C_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
206,M_P_Day2_B_Spiked,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
405,M_X_Day3_B,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
406,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
411,M_S_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
412,M_C_Day3_B_Spiked,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
501,M_X_Day1_B,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
502,M_S_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
107,M_C_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
108,M_P_Day1_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
209,M_C_Day2_B_Spiked,B
210,M_S_Day2_B_Spiked,B
