SampleID,SalmonellaCulturableSurrogate_strain3895_MPNPerML,DetectionLevel
B-109-C-30-T,11000.00,TNTC
B-109-C-T2,11000.00,TNTC
B-102-P-30-T,11000.00,TNTC
B-102-P-T2,61.00,WR
B-101-S-30-T,2400.00,WR
B-101-S-T2,930.00,WR
B-110-x-30-T,11.00,WR
B-110-X-T2,2.40,WR
B-205-C-30-T,11000.00,TNTC
B-205-C-T2,11000.00,WR
B-206-P-30-T,11000.00,TNTC
B-206-P-T2,11000.00,TNTC
B-203-P-30-T,11000.00,WR
B-203-P-T2,11000.00,TNTC
B-204-X-30-T,11.00,TNTC
B-204-X-T2,11.00,TNTC
B-405-X-30-T,0.03,BDL
B-405-X-T2,0.03,BDL
B-406-S-30-T,0.03,BDL
B-406-S-T2,0.03,BDL
B-411-S-30-T,0.21,WR
B-411-S-T2,0.03,BDL
B-412-C-30-T,1500.00,WR
B-412-C-T2,1.10,WR
B-107-C-30-T,1100.00,TNTC
B-107-C-T2,460.00,WR
B-108-P-30-T,150.00,WR
B-108-P-T2,75.00,WR
B-501-X-30-T,0.04,WR
B-501-X-T2,0.03,BDL
B-502-S-30-T,93.00,WR
B-502-S-T2,240.00,WR
B-111-S-30-T,75.00,WR
B-111-S-T2,93.00,WR
B-112-P-30-T,1100.00,TNTC
B-112-P-T2,460.00,WR
B-209-C-30-T,1100.00,WR
B-209-C-T2,210.00,WR
B-210-S-30-T,150.00,WR
B-210-S-T2,23.00,WR
B-307-C-30-T,0.03,BDL
B-307-C-T2,150.00,WR
B-308-X-30-T,11.00,TNTC
B-308-X-T2,0.09,WR
B-407-X-30-T,0.03,BDL
B-407-X-T2,0.03,BDL
B-408-P-30-T,460.00,WR
B-408-P-T2,460.00,WR
B-105-X-30-T,0.03,BDL
B-105-X-T2,0.03,BDL
B-106-P-30-T,43.00,WR
B-106-P-T2,75.00,WR
B-503-C-30-T,9.20,WR
B-503-C-T2,23.00,WR
B-504-X-30-T,0.03,BDL
B-504-X-T2,0.03,BDL
B-201-P-30-T,64.00,WR
B-201-P-T2,43.00,WR
B-202-S-30-T,43.00,WR
B-202-S-T2,93.00,WR
B-401-S-30-T,23.00,WR
B-401-S-T2,23.00,WR
B-402-X-30-T,0.14,WR
B-402-X-T2,0.23,WR
B-403-C-30-T,15.00,WR
B-403-C-T2,15.00,WR
B-404-P-30-T,240.00,WR
B-404-P-T2,93.00,WR
B-409-C-30-T,23.00,WR
B-409-C-T2,9.20,WR
B-410-S-30-T,0.03,BDL
B-410-S-T2,0.03,BDL
