SampleID,SalmonellaCulturableWildType_MPNPerML,DetectionLevel
B-109-C-30-T,0.03,BDL
B-109-C-T2,0.03,BDL
B-102-P-30-T,0.03,BDL
B-102-P-T2,0.03,BDL
B-101-S-30-T,0.03,BDL
B-101-S-T2,0.03,BDL
B-110-x-30-T,0.03,BDL
B-110-X-T2,0.03,BDL
B-205-C-30-T,0.03,BDL
B-205-C-T2,0.03,BDL
B-206-P-30-T,0.03,BDL
B-206-P-T2,0.03,BDL
B-203-P-30-T,0.03,BDL
B-203-P-T2,0.03,BDL
B-204-X-30-T,0.03,BDL
B-204-X-T2,0.03,BDL
B-405-X-30-T,0.03,BDL
B-405-X-T2,0.03,BDL
B-406-S-30-T,0.03,BDL
B-406-S-T2,0.03,BDL
B-411-S-30-T,0.03,BDL
B-411-S-T2,0.03,BDL
B-412-C-30-T,0.03,BDL
B-412-C-T2,0.03,BDL
B-107-C-30-T,0.03,BDL
B-107-C-T2,0.03,BDL
B-108-P-30-T,0.03,BDL
B-108-P-T2,0.07,WR
B-501-X-30-T,0.03,BDL
B-501-X-T2,0.03,BDL
B-502-S-30-T,0.03,BDL
B-502-S-T2,0.03,BDL
B-111-S-30-T,0.03,BDL
B-111-S-T2,0.03,BDL
B-112-P-30-T,0.23,WR
B-112-P-T2,0.03,BDL
B-209-C-30-T,0.03,BDL
B-209-C-T2,0.03,BDL
B-210-S-30-T,0.03,BDL
B-210-S-T2,0.03,BDL
B-307-C-30-T,0.03,BDL
B-307-C-T2,0.03,BDL
B-308-X-30-T,0.03,BDL
B-308-X-T2,0.03,BDL
B-407-X-30-T,0.03,BDL
B-407-X-T2,0.03,BDL
B-408-P-30-T,0.09,WR
B-408-P-T2,0.07,WR
B-105-X-30-T,0.03,BDL
B-105-X-T2,0.03,BDL
B-106-P-30-T,0.03,BDL
B-106-P-T2,0.06,WR
B-503-C-30-T,0.03,BDL
B-503-C-T2,0.03,BDL
B-504-X-30-T,0.03,BDL
B-504-X-T2,0.03,BDL
B-201-P-30-T,0.03,BDL
B-201-P-T2,0.04,WR
B-202-S-30-T,0.03,BDL
B-202-S-T2,0.03,BDL
B-401-S-30-T,0.03,BDL
B-401-S-T2,0.03,BDL
B-402-X-30-T,0.03,BDL
B-402-X-T2,0.03,BDL
B-403-C-30-T,0.03,BDL
B-403-C-T2,0.03,BDL
B-404-P-30-T,0.04,WR
B-404-P-T2,0.07,WR
B-409-C-30-T,0.03,BDL
B-409-C-T2,0.03,BDL
B-410-S-30-T,0.03,BDL
B-410-S-T2,0.03,BDL
