SampleID,DissolvedOrganicCarbon_MgPerLiter,DetectionLevel
B-105-X-10,,ANP
B-105-X-20,,ANP
B-105-X-30,,ANP
B-105-X-5,,ANP
B-105-X-60,,ANP
B-105-X-T1,,ANP
B-106-P-10,,ANP
B-106-P-20,,ANP
B-106-P-30,,ANP
B-106-P-5,,ANP
B-106-P-60,,ANP
B-106-P-T1,,ANP
B-111-S-60,,ANP
B-111-S-T1,,ANP
B-112-P-10,,ANP
B-112-P-20,,ANP
B-112-P-30,,ANP
B-112-P-5,,ANP
B-112-P-60,,ANP
B-112-P-T1,,ANP
B-201-P-10,,ANP
B-201-P-20,,ANP
B-201-P-30,,ANP
B-201-P-5,,ANP
B-201-P-60,,ANP
B-201-P-T1,,ANP
B-202-S-10,,ANP
B-202-S-20,,ANP
B-202-S-30,,ANP
B-202-S-5,,ANP
B-202-S-60,,ANP
B-202-S-T1,,ANP
B-307-C-10,,ANP
B-307-C-20,,ANP
B-307-C-30,,ANP
B-307-C-5,,ANP
B-307-C-60,,ANP
B-307-C-T1,,ANP
B-308-X-10,,ANP
B-308-X-20,,ANP
B-308-X-30,,ANP
B-308-X-5,,ANP
B-308-X-60,,ANP
B-308-X-T1,,ANP
B-401-S-10,,ANP
B-401-S-20,,ANP
B-401-S-30,,ANP
B-401-S-5,,ANP
B-401-S-60,,ANP
B-401-S-T1,,ANP
B-402-X-10,,ANP
B-402-X-20,,ANP
B-402-X-30,,ANP
B-402-X-5,,ANP
B-402-X-60,,ANP
B-402-X-T1,,ANP
B-403-C-10,,ANP
B-403-C-20,,ANP
B-403-C-30,,ANP
B-403-C-5,,ANP
B-403-C-60,,ANP
B-403-C-T1,,ANP
B-404-P-10,,ANP
B-404-P-20,,ANP
B-404-P-30,,ANP
B-404-P-5,,ANP
B-404-P-60,,ANP
B-404-P-T1,,ANP
B-407-X-10,,ANP
B-407-X-20,,ANP
B-407-X-30,,ANP
B-407-X-5,,ANP
B-407-X-60,,ANP
B-407-X-T1,,ANP
B-408-P-10,,ANP
B-408-P-20,,ANP
B-408-P-30,,ANP
B-408-P-5,,ANP
B-408-P-60,,ANP
B-408-P-T1,,ANP
B-409-C-10,,ANP
B-409-C-20,,ANP
B-409-C-30,,ANP
B-409-C-5,,ANP
B-409-C-60,,ANP
B-409-C-T1,,ANP
B-410-S-10,,ANP
B-410-S-20,,ANP
B-410-S-30,,ANP
B-410-S-5,,ANP
B-410-S-60,,ANP
B-410-S-T1,,ANP
B-503-C-10,,ANP
B-503-C-20,,ANP
B-503-C-30,,ANP
B-503-C-5,,ANP
B-503-C-60,,ANP
B-503-C-T1,,ANP
B-504-X-10,,ANP
B-504-X-20,,ANP
B-504-X-30,,ANP
B-504-X-5,,ANP
B-504-X-60,,ANP
B-504-X-T1,,ANP
C-101-S-15,,ANP
C-101-S-30-T2,,ANP
C-101-S-T2,,ANP
C-102-P-15,,ANP
C-102-P-30-T2,,ANP
C-102-P-T2,,ANP
C-105-X-15,,ANP
C-105-X-30-T2,,ANP
C-105-X-T2,,ANP
C-106-P-15,,ANP
C-106-P-30-T2,,ANP
C-106-P-T2,,ANP
C-107-C-15,,ANP
C-107-C-30-T2,,ANP
C-107-C-T2,,ANP
C-108-P-15,,ANP
C-108-P-30-T2,,ANP
C-108-P-T2,,ANP
C-109-C-15,,ANP
C-109-C-30-T2,,ANP
C-109-C-T2,,ANP
C-110-X-15,,ANP
C-110-X-15,,ANP
C-110-X-30-T2,,ANP
C-110-X-T2,,ANP
C-111-S-15,,ANP
C-111-S-30-T2,,ANP
C-111-S-T2,,ANP
C-112-P-15,,ANP
C-112-P-30-T2,,ANP
C-112-P-T2,,ANP
C-201-P-15,,ANP
C-201-P-30-T2,,ANP
C-201-P-T2,,ANP
C-202-S-15,,ANP
C-202-S-30-T2,,ANP
C-202-S-T2,,ANP
C-203-P-15,,ANP
C-203-P-30-T2,,ANP
C-203-P-T2,,ANP
C-204-X-15,,ANP
C-204-X-30-T2,,ANP
C-204-X-T2,,ANP
C-205-C-15,,ANP
C-205-C-30-T2,,ANP
C-205-C-T2,,ANP
C-206-P-30-T2,,ANP
C-206-P-T2,,ANP
C-209-C-15,,ANP
C-209-C-30-T2,,ANP
C-209-C-T2,,ANP
C-210-S-15,,ANP
C-210-S-30-T2,,ANP
C-210-S-T2,,ANP
C-307-C-15,,ANP
C-307-C-30-T2,,ANP
C-307-C-T2,,ANP
C-308-X-15,,ANP
C-308-X-30-T2,,ANP
C-308-X-T2,,ANP
C-401-S-15,,ANP
C-401-S-30-T2,,ANP
C-401-S-T2,,ANP
C-402-X-15,,ANP
C-402-X-30-T2,,ANP
C-402-X-T2,,ANP
C-403-C-15,,ANP
C-403-C-30-T2,,ANP
C-403-C-drip,,ANP
C-403-C-T2,,ANP
C-404-P-15,,ANP
C-404-P-30-T2,,ANP
C-404-P-drip,,ANP
C-404-P-T2,,ANP
C-405-X-15,,ANP
C-405-X-30-T2,,ANP
C-405-X-T2,,ANP
C-406-S-15,,ANP
C-406-S-30-T2,,ANP
C-406-S-T2,,ANP
C-407-X-15,,ANP
C-407-X-30-T2,,ANP
C-407-X-T2,,ANP
C-408-P-15,,ANP
C-408-P-30-T2,,ANP
C-408-P-T2,,ANP
C-409-C-15,,ANP
C-409-C-30-T2,,ANP
C-409-C-drip,,ANP
C-409-C-T2,,ANP
C-410-S-15,,ANP
C-410-S-30-T2,,ANP
C-410-S-drip,,ANP
C-410-S-T2,,ANP
C-411-S-15,,ANP
C-411-S-30-T2,,ANP
C-411-S-T2,,ANP
C-412-C-15,,ANP
C-412-C-30-T2,,ANP
C-412-C-T2,,ANP
C-501-X-15,,ANP
C-501-X-30-T2,,ANP
C-501-X-T2,,ANP
C-502-S-15,,ANP
