SampleID,EColi0157SurrogateCulturable_CFUPerML,DetectionLevel
C-101-S-15,0,ANP
C-101-S-30-T2,3465,WR
C-101-S-T2,2436.67,WR
C-102-P-15, ,ANP
C-102-P-30-T2, ,ANP
C-102-P-T2, ,ANP
C-105-X-15, ,ANP
C-105-X-30-T2,0,WR
C-105-X-T2,0,WR
C-106-P-15, ,ANP
C-106-P-30-T2,,ANP
C-106-P-T2, ,ANP
C-107-C-15, ,ANP
C-107-C-30-T2,567.5,WR
C-107-C-T2,711.67,WR
C-108-P-15, ,ANP
C-108-P-30-T2, ,ANP
C-108-P-T2, ,ANP
C-109-C-15, ,ANP
C-109-C-30-T2,374666.67,WR
C-109-C-T2,348000,WR
C-110-X-15, ,ANP
C-110-X-30-T2,0,WR
C-110-X-T2,50,WR
C-111-S-15, ,ANP
C-111-S-30-T2,82.22,WR
C-111-S-T2,65.89,WR
C-112-P-15, ,ANP
C-112-P-30-T2, ,ANP
C-112-P-T2, ,ANP
C-201-P-15, ,ANP
C-201-P-30-T2, ,ANP
C-201-P-T2, ,ANP
C-202-S-15, ,ANP
C-202-S-30-T2,12.85,WR
C-202-S-T2,19.85,WR
C-203-P-15, ,ANP
C-203-P-30-T2, ,ANP
C-203-P-T2, ,ANP
C-204-X-15, ,ANP
C-204-X-30-T2,0,WR
C-204-X-T2,0,WR
C-205-C-15, ,ANP
C-205-C-30-T2,585333.33,WR
C-205-C-T2,568000,WR
C-206-P-30-T2, ,ANP
C-206-P-T2, ,ANP
C-209-C-15, ,ANP
C-209-C-30-T2,525.83,WR
C-209-C-T2,2158.33,WR
C-210-S-15, ,ANP
C-210-S-30-T2,69.44,WR
C-210-S-T2,94.67,WR
C-307-C-15, ,ANP
C-307-C-30-T2,450,WR
C-307-C-T2,586.67,WR
C-308-X-15, ,ANP
C-308-X-30-T2,34.67,WR
C-308-X-T2,50,WR
C-401-S-15,,ANP
C-401-S-30-T2,17.85,WR
C-401-S-T2,21.67,WR
C-402-X-15,,ANP
C-402-X-30-T2,0,WR
C-402-X-T2,0,WR
C-403-C-15, ,ANP
C-403-C-30-T2,174.67,WR
C-403-C-drip,102.17,WR
C-403-C-T2,228.17,WR
C-404-P-15, ,ANP
C-404-P-30-T2, ,ANP
C-404-P-T2, ,ANP
C-405-X-15, ,ANP
C-405-X-30-T2,13.33,WR
C-405-X-T2,26.67,WR
C-406-S-15, ,ANP
C-406-S-30-T2,6146.67,WR
C-406-S-T2,6126.67,WR
C-407-X-15, ,ANP
C-407-X-30-T2,8,WR
C-407-X-T2,16,WR
C-408-P-15, ,ANP
C-408-P-30-T2, ,ANP
C-408-P-T2, ,ANP
C-409-C-15, ,ANP
C-409-C-30-T2,92,WR
C-409-C-drip,16.5,WR
C-409-C-T2,97.5,WR
C-410-S-15, ,ANP
C-410-S-30-T2,30.22,WR
C-410-S-drip,5.06,WR
C-410-S-T2,44.06,WR
C-411-S-15, ,ANP
C-411-S-30-T2,606.67,WR
C-411-S-T2,1096.67,WR
C-412-C-15, ,ANP
C-412-C-30-T2,125666.67,WR
C-412-C-T2,480333.33,WR
C-501-X-15, ,ANP
C-501-X-30-T2,0.67,WR
C-501-X-T2,0,WR
C-502-S-15, ,ANP
C-502-S-30-T2,211.67,WR
C-502-S-T2,213.78,WR
C-503-C-15, ,ANP
C-503-C-30-T2,61.56,WR
C-503-C-T2,62.44,WR
C-504-X-15, ,ANP
C-504-X-30-T2,3.33,WR
C-504-X-T2,3.67,WR
