SampleID,EColiCulturableColilert_MPNPer100ML,DetectionLevel,,,,,,,,,,,,,,,
C-101-S-10,2280,WR,,,,,,,,,,,,,,,
C-101-S-20,1675,WR,,,,,,,,,,,,,,,
C-101-S-30,1675,WR,,,,,,,,,,,,,,,
C-101-S-30-T1,1485,WR,,,,,,,,,,,,,,,
C-101-S-5,1850,WR,,,,,,,,,,,,,,,
C-101-S-60,1495,WR,,,,,,,,,,,,,,,
C-101-S-T1,1315,WR,,,,,,,,,,,,,,,
C-102-P-10,34859.6,WR,,,,,,,,,,,,,,,
C-102-P-20,22949.6,WR,,,,,,,,,,,,,,,
C-102-P-30,25474.6,WR,,,,,,,,,,,,,,,
C-102-P-30-T1,29794.6,WR,,,,,,,,,,,,,,,
C-102-P-5,54447.53333,WR,,,,,,,,,,,,,,,
C-102-P-60,38769.6,WR,,,,,,,,,,,,,,,
C-102-P-T1,26839.6,WR,,,,,,,,,,,,,,,
C-105-X-10,0.5,BDL,,,,,,,,,,,,,,,
C-105-X-20,5.15,WR,,,,,,,,,,,,,,,
C-105-X-30,6.65,WR,,,,,,,,,,,,,,,
C-105-X-30-T1,3,WR,,,,,,,,,,,,,,,
C-105-X-5,2,WR,,,,,,,,,,,,,,,
C-105-X-60,9.95,WR,,,,,,,,,,,,,,,
C-105-X-T1,10.05,WR,,,,,,,,,,,,,,,
C-106-P-10,129970,WR,,,,,,,,,,,,,,,
C-106-P-20,141360,WR,,,,,,,,,,,,,,,
C-106-P-30,173290,WR,,,,,,,,,,,,,,,
C-106-P-30-T1,173290,WR,,,,,,,,,,,,,,,
C-106-P-5,130845,WR,,,,,,,,,,,,,,,
C-106-P-60,120330,WR,,,,,,,,,,,,,,,
C-106-P-T1,141360,WR,,,,,,,,,,,,,,,
C-107-C-10,860,WR,,,,,,,,,,,,,,,
C-107-C-20,1375,WR,,,,,,,,,,,,,,,
C-107-C-30,1300,WR,,,,,,,,,,,,,,,
C-107-C-30-T1,2925,WR,,,,,,,,,,,,,,,
C-107-C-5,913.3333333,WR,,,,,,,,,,,,,,,
C-107-C-60,2215,WR,,,,,,,,,,,,,,,
C-107-C-T1,2915,WR,,,,,,,,,,,,,,,
C-108-P-10,50455,WR,,,,,,,,,,,,,,,
C-108-P-20,28040,WR,,,,,,,,,,,,,,,
C-108-P-30,34355,WR,,,,,,,,,,,,,,,
C-108-P-30-T1,12815,WR,,,,,,,,,,,,,,,
C-108-P-5,45440,WR,,,,,,,,,,,,,,,
C-108-P-60,18965,WR,,,,,,,,,,,,,,,
C-108-P-T1,11385,WR,,,,,,,,,,,,,,,
C-109-C-10,19705,WR,,,,,,,,,,,,,,,
C-109-C-20,20940,WR,,,,,,,,,,,,,,,
C-109-C-30,23025,WR,,,,,,,,,,,,,,,
C-109-C-30-T1,14670,WR,,,,,,,,,,,,,,,
C-109-C-5,32003.33333,WR,,,,,,,,,,,,,,,
C-109-C-60,10540,WR,,,,,,,,,,,,,,,
C-109-C-T1,18615,WR,,,,,,,,,,,,,,,
C-110-X-10,0.5,BDL,,,,,,,,,,,,,,,
C-110-X-20,4,WR,,,,,,,,,,,,,,,
C-110-X-30,8.2,WR,,,,,,,,,,,,,,,
C-110-X-30-T1,4,WR,,,,,,,,,,,,,,,
C-110-X-5,200,WR,,,,,,,,,,,,,,,
C-110-X-60,19.6,WR,,,,,,,,,,,,,,,
C-110-X-T1,6.2,WR,,,,,,,,,,,,,,,
C-111-S-10,22,WR,,,,,,,,,,,,,,,
C-111-S-20,93.5,WR,,,,,,,,,,,,,,,
C-111-S-30,249.1,WR,,,,,,,,,,,,,,,
C-111-S-30-T1,97.3,WR,,,,,,,,,,,,,,,
C-111-S-5,6.2,WR,,,,,,,,,,,,,,,
C-111-S-60,85.9,WR,,,,,,,,,,,,,,,
C-111-S-T1,184.5,WR,,,,,,,,,,,,,,,
C-112-P-10,4430,WR,,,,,,,,,,,,,,,
C-112-P-20,5400,WR,,,,,,,,,,,,,,,
C-112-P-30,2635,WR,,,,,,,,,,,,,,,
C-112-P-30-T1,5790,WR,,,,,,,,,,,,,,,
C-112-P-5,1846.666667,WR,,,,,,,,,,,,,,,
C-112-P-60,6575,WR,,,,,,,,,,,,,,,
C-112-P-T1,4770,WR,,,,,,,,,,,,,,,
C-201-P-10,30850,WR,,,,,,,,,,,,,,,
C-201-P-20,14130,WR,,,,,,,,,,,,,,,
C-201-P-30,14995,WR,,,,,,,,,,,,,,,
C-201-P-30-T1,11215,WR,,,,,,,,,,,,,,,
C-201-P-5,31193.33333,WR,,,,,,,,,,,,,,,
C-201-P-60,12835,WR,,,,,,,,,,,,,,,
C-201-P-T1,13755,WR,,,,,,,,,,,,,,,
C-202-S-10,70.5,WR,,,,,,,,,,,,,,,
C-202-S-20,75.3,WR,,,,,,,,,,,,,,,
C-202-S-30,90.1,WR,,,,,,,,,,,,,,,
C-202-S-30-T1,114.8,WR,,,,,,,,,,,,,,,
C-202-S-5,90.15,WR,,,,,,,,,,,,,,,
C-202-S-60,87.5,WR,,,,,,,,,,,,,,,
C-202-S-T1,116.95,WR,,,,,,,,,,,,,,,
C-203-P-10,241960,TNTC,,,,,,,,,,,,,,,
C-203-P-20,241960,TNTC,,,,,,,,,,,,,,,
C-203-P-30,141360,WR,,,,,,,,,,,,,,,
C-203-P-30-T1,241960,TNTC,,,,,,,,,,,,,,,
C-203-P-5,129970,WR,,,,,,,,,,,,,,,
C-203-P-60,198630,WR,,,,,,,,,,,,,,,
C-203-P-T1,241960,TNTC,,,,,,,,,,,,,,,
C-204-X-10,0.5,BDL,,,,,,,,,,,,,,,
C-204-X-20,6,WR,,,,,,,,,,,,,,,
C-204-X-30,21.8,WR,,,,,,,,,,,,,,,
C-204-X-30-T1,8.2,WR,,,,,,,,,,,,,,,
C-204-X-5,0.5,BDL,,,,,,,,,,,,,,,
C-204-X-60,147.1,WR,,,,,,,,,,,,,,,
C-204-X-T1,82.3,WR,,,,,,,,,,,,,,,
C-205-C-10,19350,WR,,,,,,,,,,,,,,,
C-205-C-20,17085,WR,,,,,,,,,,,,,,,
C-205-C-30,16845,WR,,,,,,,,,,,,,,,
C-205-C-30-T1,9120,WR,,,,,,,,,,,,,,,
C-205-C-5,10220,WR,,,,,,,,,,,,,,,
C-205-C-60,18050,WR,,,,,,,,,,,,,,,
C-205-C-T1,39680,WR,,,,,,,,,,,,,,,
C-206-P-10,86640,WR,,,,,,,,,,,,,,,
C-206-P-20,155310,WR,,,,,,,,,,,,,,,
C-206-P-30,198630,WR,,,,,,,,,,,,,,,
C-206-P-30-T1,129970,WR,,,,,,,,,,,,,,,
C-206-P-5,125150,WR,,,,,,,,,,,,,,,
C-206-P-60,198630,WR,,,,,,,,,,,,,,,
C-206-P-T1,241960,TNTC,,,,,,,,,,,,,,,
C-209-C-10,1315,WR,,,,,,,,,,,,,,,
C-209-C-20,1000,WR,,,,,,,,,,,,,,,
C-209-C-30,1800,WR,,,,,,,,,,,,,,,
C-209-C-30-T1,2035,WR,,,,,,,,,,,,,,,
C-209-C-5,1085,WR,,,,,,,,,,,,,,,
C-209-C-60,1105,WR,,,,,,,,,,,,,,,
C-209-C-T1,1795,WR,,,,,,,,,,,,,,,
C-210-S-10,123.3,WR,,,,,,,,,,,,,,,
C-210-S-20,155,WR,,,,,,,,,,,,,,,
C-210-S-30,376.2,WR,,,,,,,,,,,,,,,
C-210-S-30-T1,239.6,WR,,,,,,,,,,,,,,,
C-210-S-5,101.2,WR,,,,,,,,,,,,,,,
C-210-S-60,296.7,WR,,,,,,,,,,,,,,,
C-210-S-T1,286.4,WR,,,,,,,,,,,,,,,
C-307-C-10,4260.5,WR,,,,,,,,,,,,,,,
C-307-C-20,4817,WR,,,,,,,,,,,,,,,
C-307-C-30,4445.5,WR,,,,,,,,,,,,,,,
C-307-C-30-T1,4187.5,WR,,,,,,,,,,,,,,,
C-307-C-5,5699.333333,WR,,,,,,,,,,,,,,,
C-307-C-60,2047,WR,,,,,,,,,,,,,,,
C-307-C-T1,3926,WR,,,,,,,,,,,,,,,
C-308-X-10,21.35,WR,,,,,,,,,,,,,,,
C-308-X-20,22.35,WR,,,,,,,,,,,,,,,
C-308-X-30,21.85,WR,,,,,,,,,,,,,,,
C-308-X-30-T1,20.85,WR,,,,,,,,,,,,,,,
C-308-X-5,25.56666667,WR,,,,,,,,,,,,,,,
C-308-X-60,28.55,WR,,,,,,,,,,,,,,,
C-308-X-T1,16.15,WR,,,,,,,,,,,,,,,
C-401-S-10,120.2333333,WR,,,,,,,,,,,,,,,
C-401-S-20,114.45,WR,,,,,,,,,,,,,,,
C-401-S-30,159.95,WR,,,,,,,,,,,,,,,
C-401-S-30-T1,144.2,WR,,,,,,,,,,,,,,,
C-401-S-5,96.65,WR,,,,,,,,,,,,,,,
C-401-S-60,139.6,WR,,,,,,,,,,,,,,,
C-401-S-T1,181.1,WR,,,,,,,,,,,,,,,
C-402-X-10,16.2,WR,,,,,,,,,,,,,,,
C-402-X-20,33.5,WR,,,,,,,,,,,,,,,
C-402-X-30,23,WR,,,,,,,,,,,,,,,
C-402-X-30-T1,21.9,WR,,,,,,,,,,,,,,,
C-402-X-5,14.66666667,WR,,,,,,,,,,,,,,,
C-402-X-60,18.6,WR,,,,,,,,,,,,,,,
C-402-X-T1,22.1,WR,,,,,,,,,,,,,,,
C-403-C-10,518.8666667,WR,,,,,,,,,,,,,,,
C-403-C-20,472.95,WR,,,,,,,,,,,,,,,
C-403-C-30,1040.3,WR,,,,,,,,,,,,,,,
C-403-C-30-T1,469.25,WR,,,,,,,,,,,,,,,
C-403-C-5,516.5,WR,,,,,,,,,,,,,,,
C-403-C-60,1593.45,WR,,,,,,,,,,,,,,,
C-403-C-DRIP,363.85,WR,,,,,,,,,,,,,,,
C-403-C-T1,890.85,WR,,,,,,,,,,,,,,,
C-404-P-10,1425,WR,,,,,,,,,,,,,,,
C-404-P-20,1730,WR,,,,,,,,,,,,,,,
C-404-P-30,1710,WR,,,,,,,,,,,,,,,
C-404-P-30-T1,705,WR,,,,,,,,,,,,,,,
C-404-P-5,2010,WR,,,,,,,,,,,,,,,
C-404-P-60,1845,WR,,,,,,,,,,,,,,,
C-404-P-DRIP,925,WR,,,,,,,,,,,,,,,
C-404-P-T1,1450,WR,,,,,,,,,,,,,,,
C-405-X-10,10.4,WR,,,,,,,,,,,,,,,
C-405-X-20,2,WR,,,,,,,,,,,,,,,
C-405-X-30,8.2,WR,,,,,,,,,,,,,,,
C-405-X-30-T1,6.2,WR,,,,,,,,,,,,,,,
C-405-X-5,2,WR,,,,,,,,,,,,,,,
C-405-X-60,21.8,WR,,,,,,,,,,,,,,,
C-405-X-T1,17,WR,,,,,,,,,,,,,,,
C-406-S-10,1260,WR,,,,,,,,,,,,,,,
C-406-S-20,2090,WR,,,,,,,,,,,,,,,
C-406-S-30,2105,WR,,,,,,,,,,,,,,,
C-406-S-30-T1,5630,WR,,,,,,,,,,,,,,,
C-406-S-5,906.6666667,WR,,,,,,,,,,,,,,,
C-406-S-60,2960,WR,,,,,,,,,,,,,,,
C-406-S-T1,3730,WR,,,,,,,,,,,,,,,
C-407-X-10,0.5,BDL,,,,,,,,,,,,,,,
C-407-X-20,1,WR,,,,,,,,,,,,,,,
C-407-X-30,1,WR,,,,,,,,,,,,,,,
C-407-X-30-T1,2,WR,,,,,,,,,,,,,,,
C-407-X-5,1,WR,,,,,,,,,,,,,,,
C-407-X-60,10.1,WR,,,,,,,,,,,,,,,
C-407-X-T1,13.35,WR,,,,,,,,,,,,,,,
C-408-P-10,14950,WR,,,,,,,,,,,,,,,
C-408-P-20,21735,WR,,,,,,,,,,,,,,,
C-408-P-30,25940,WR,,,,,,,,,,,,,,,
C-408-P-30-T1,16735,WR,,,,,,,,,,,,,,,
C-408-P-5,9003.333333,WR,,,,,,,,,,,,,,,
C-408-P-60,32815,WR,,,,,,,,,,,,,,,
