SampleID,enterococciCulturableMEI_CFUPer100ML,DetectionLevel,,,,,
C-109-C-5,41000,WR,,,,,
C-109-C-10,32000,WR,,,,,
C-109-C-20,39000,WR,,,,,
C-109-C-30,30000,WR,,,,,
C-109-C-30-T1,29000,WR,,,,,
C-109-C-60,21000,WR,,,,,
C-109-C-T1,69000,WRC,,,,,
C-110-X-5,69000,WRC,,,,,
C-110-X-10,59500,WR,,,,,
C-110-X-20,69000,WRC,,,,,
C-110-X-30,79500,WRC,,,,,
C-110-X-30-T1,56500,WRC,,,,,
C-110-X-60,29000,WR,,,,,
C-110-X-T1,10000,WRC,,,,,
C-101-S-5,13750,WRC,,,,,
C-101-S-10,18300,WRC,,,,,
C-101-S-20,13100,WRC,,,,,
C-101-S-30,20000,WR,,,,,
C-101-S-30-T1,15100,WRC,,,,,
C-101-S-60,11766.66667,WRC,,,,,
C-101-S-T1,12350,WRC,,,,,
C-102-P-5,169000,WRC,,,,,
C-102-P-10,170000,WRC,,,,,
C-102-P-20,157000,WRC,,,,,
C-102-P-30,250000,WR,,,,,
C-102-P-30-T1,149500,WRC,,,,,
C-102-P-60,115500,WRC,,,,,
C-102-P-T1,95000,WRC,,,,,
C-203-P-5,40000,WRC,,,,,
C-203-P-10,110000,WR,,,,,
C-203-P-20,20000,WRC,,,,,
C-203-P-30,244500,WRC,,,,,
C-203-P-30-T1,100000,WRC,,,,,
C-203-P-60,407000,WRC,,,,,
C-203-P-T1,80000,WRC,,,,,
C-204-X-5,56000,WR,,,,,
C-204-X-10,43000,WR,,,,,
C-204-X-20,48000,WR,,,,,
C-204-X-30,22000,WR,,,,,
C-204-X-30-T1,39000,WR,,,,,
C-204-X-60,18600,WRC,,,,,
C-204-X-T1,52000,WR,,,,,
C-205-C-5,184500,WRC,,,,,
C-205-C-10,158000,WRC,,,,,
C-205-C-20,136000,WRC,,,,,
C-205-C-30,118000,WRC,,,,,
C-205-C-30-T1,78000,WRC,,,,,
C-205-C-60,95000,WRC,,,,,
C-205-C-T1,47500,WRC,,,,,
C-206-P-5,430000,WR,,,,,
C-206-P-10,175500,WRC,,,,,
C-206-P-20,310000,WR,,,,,
C-206-P-30,206000,WRC,,,,,
C-206-P-30-T1,460000,WR,,,,,
C-206-P-60,166500,WRC,,,,,
C-206-P-T1,135000,WRC,,,,,
C-405-X-5,40000,WR,,,,,
C-405-X-10,35000,WR,,,,,
C-405-X-20,40000,WR,,,,,
C-405-X-30,60000,WR,,,,,
C-405-X-30-T1,53000,WR,,,,,
C-405-X-60,36000,WR,,,,,
C-405-X-T1,41000,WR,,,,,
C-406-S-5,12050,WRC,,,,,
C-406-S-10,21766.66667,WRC,,,,,
C-406-S-20,23000,WR,,,,,
C-406-S-30,26000,WR,,,,,
C-406-S-30-T1,17500,WRC,,,,,
C-406-S-60,10566.66667,WRC,,,,,
C-406-S-T1,9666.666667,WRC,,,,,
C-411-S-5,95000,WRC,,,,,
C-411-S-10,81000,WRC,,,,,
C-411-S-20,38000,WR,,,,,
C-411-S-30,52000,WR,,,,,
C-411-S-30-T1,42000,WR,,,,,
C-411-S-60,13650,WRC,,,,,
C-411-S-T1,29000,WR,,,,,
C-412-C-5,27000,WR,,,,,
C-412-C-10,23000,WR,,,,,
C-412-C-20,36000,WR,,,,,
C-412-C-30,67000,WRC,,,,,
C-412-C-30-T1,45000,WR,,,,,
C-412-C-60,60000,WR,,,,,
C-412-C-T1,85000,WRC,,,,,
C-502-S-5,30000,WR,,,,,
C-502-S-10,14650,WRC,,,,,
C-502-S-20,13900,WRC,,,,,
C-502-S-30,8500,WRC,,,,,
C-502-S-30-T1,15800,WRC,,,,,
C-502-S-60,4900,WR,,,,,
C-502-S-T1,8000,WRC,,,,,
C-501-X-5,13600,WRC,,,,,
C-501-X-10,11050,WRC,,,,,
C-501-X-20,2000,WR,,,,,
C-501-X-30,7400,WRC,,,,,
C-501-X-30-T1,8150,WRC,,,,,
C-501-X-60,10400,WRC,,,,,
C-501-X-T1,10167,WRC,,,,,
C-107-C-5,4800,WR,,,,,
C-107-C-10,3500,WR,,,,,
C-107-C-20,4800,WRC,,,,,
C-107-C-30,5700,WR,,,,,
C-107-C-30-T1,8700,WRC,,,,,
C-107-C-60,8200,WRC,,,,,
C-107-C-T1,7950,WRC,,,,,
C-108-P-5,130000,WRC,,,,,
C-108-P-10,75000,WRC,,,,,
C-108-P-20,112000,WRC,,,,,
C-108-P-30,160000,WRC,,,,,
C-108-P-30-T1,170000,WRC,,,,,
C-108-P-60,83500,WRC,,,,,
C-108-P-T1,115667,WRC,,,,,
C-209-C-5,31000,WR,,,,,
C-209-C-10,26500,WR,,,,,
C-209-C-20,36000,WR,,,,,
C-209-C-30,27000,WR,,,,,
C-209-C-30-T1,31000,WR,,,,,
C-209-C-60,25000,WR,,,,,
C-209-C-T1,8850,WRC,,,,,
C-210-S-5,15100,WRC,,,,,
C-210-S-10,11350,WRC,,,,,
C-210-S-20,20500,WR,,,,,
C-210-S-30,11800,WRC,,,,,
C-210-S-30-T1,25000,WR,,,,,
C-210-S-60,5100,WR,,,,,
C-210-S-T1,14900,WRC,,,,,
C-111-S-5,9950,WRC,,,,,
C-111-S-10,5800,WR,,,,,
C-111-S-20,4300,WR,,,,,
C-111-S-30,4900,WR,,,,,
C-111-S-30-T1,6300,WRC,,,,,
C-111-S-60,4000,WR,,,,,
C-111-S-T1,4300,WR,,,,,
C-112-P-5,49000,WR,,,,,
C-112-P-10,25000,WR,,,,,
C-112-P-20,40000,WR,,,,,
C-112-P-30,22000,WR,,,,,
C-112-P-30-T1,56000,WR,,,,,
C-112-P-60,23000,WR,,,,,
C-112-P-T1,26000,WR,,,,,
C-307-C-5,16300,WRC,,,,,
C-307-C-10,30000,WR,,,,,
C-307-C-20,17750,WRC,,,,,
C-307-C-30,15900,WRC,,,,,
C-307-C-30-T1,14550,WRC,,,,,
C-307-C-60,21000,WR,,,,,
C-307-C-T1,15000,WRC,,,,,
C-308-X-5,8550,WRC,,,,,
C-308-X-10,12600,WRC,,,,,
C-308-X-20,13500,WRC,,,,,
C-308-X-30,8350,WRC,,,,,
C-308-X-30-T1,8950,WRC,,,,,
C-308-X-60,5800,WR,,,,,
C-308-X-T1,9200,WRC,,,,,
C-407-X-5,3700,WR,,,,,
C-407-X-10,5800,WR,,,,,
C-407-X-20,5000,WRC,,,,,
C-407-X-30,5900,WR,,,,,
C-407-X-30-T1,5000,WRC,,,,,
C-407-X-60,12000,WRC,,,,,
C-407-X-T1,6000,TNTC,,,,,
C-408-P-5,43000,WR,,,,,
C-408-P-10,29000,WR,,,,,
C-408-P-20,81000,WRC,,,,,
C-408-P-30,102500,WRC,,,,,
C-408-P-30-T1,37600,WRC,,,,,
C-408-P-60,60966.66667,WRC,,,,,
C-408-P-T1,4100,WR,,,,,
C-106-P-5,490000,WR,,,,,
C-106-P-10,320000,WR,,,,,
C-106-P-20,135000,WRC,,,,,
C-106-P-30,460000,WR,,,,,
C-106-P-30-T1,610000,WRC,,,,,
C-106-P-60,209000,WRC,,,,,
C-106-P-T1,470000,WR,,,,,
C-105-X-5,39000,WR,,,,,
C-105-X-10,17000,WRC,,,,,
C-105-X-20,14000,WRC,,,,,
C-105-X-30,13050,WRC,,,,,
C-105-X-30-T1,15350,WRC,,,,,
C-105-X-60,8950,WRC,,,,,
C-105-X-T1,12350,WRC,,,,,
C-503-C-5,49000,WR,,,,,
C-503-C-10,12000,WR,,,,,
C-503-C-20,54000,WR,,,,,
C-503-C-30,49000,WR,,,,,
C-503-C-30-T1,48000,WR,,,,,
C-503-C-60,46000,WR,,,,,
C-503-C-T1,24000,WR,,,,,
C-504-X-5,2900,WR,,,,,
C-504-X-10,4000,WR,,,,,
C-504-X-20,4800,WR,,,,,
C-504-X-30,12400,WRC,,,,,
C-504-X-30-T1,4600,WR,,,,,
C-504-X-60,4300,WR,,,,,
C-504-X-T1,9500,WRC,,,,,
C-401-S-5,86000,WRC,,,,,
C-401-S-10,70000,WRC,,,,,
C-401-S-20,76500,WRC,,,,,
C-401-S-30,48000,WR,,,,,
C-401-S-30-T1,69000,WRC,,,,,
C-401-S-60,23000,WR,,,,,
C-401-S-T1,31000,WR,,,,,
C-402-X-5,63000,WRC,,,,,
C-402-X-10,51000,WR,,,,,
C-402-X-20,53000,WR,,,,,
C-402-X-30,39000,WR,,,,,
C-402-X-30-T1,48000,WR,,,,,
C-402-X-60,38000,WR,,,,,
C-402-X-T1,44000,WR,,,,,
C-201-P-5,200000,WR,,,,,
C-201-P-10,280000,WR,,,,,
C-201-P-20,320000,WR,,,,,
C-201-P-30,170000,WRC,,,,,
C-201-P-30-T1,182500,WRC,,,,,
