RainfallTreatmentID,RainfallStartTime,RainfallDuration_Minutes,AverageRainfallIntensity_cmPerHour,RunoffStartTimeSinceRainfallStarted_Minutes,CummulativeRunoffVolume_Liters,Notes
R_109_C,6/22/10 12:20 PM,60,6.25,133,24.67,
R_110_C,6/22/10 12:20 PM,60,6.52,127,34.53,
R_101_C,6/22/10 12:20 PM,60,6.45,101,18.55,
R_102_C,6/22/10 12:20 PM,60,6.48,112,13.80,
R_203_C,6/23/10 12:08 PM,60,6.24,114,14.96,
R_204_C,6/23/10 12:08 PM,60,6.8,89,25.11,
R_205_C,6/23/10 12:08 PM,60,6.13,94,19.67,
R_206_C,6/23/10 12:08 PM,60,6.53,157,12.13,
R_405_C,6/24/10 12:23 PM,60,6.05,91,34.97,
R_406_C,6/24/10 12:23 PM,60,6.84,97,48.39,
R_411_C,6/24/10 12:23 PM,60,5.8,164,10.24,
R_412_C,6/24/10 12:23 PM,60,6.63,168,18.99,
R_502_C,6/29/10 11:00 AM,60,6.68,84,32.09,
R_501_C,6/29/10 11:00 AM,60,6.01,145,11.84,
R_107_C,6/29/10 11:00 AM,60,6.04,160,9.54,
R_108_C,6/29/10 11:00 AM,60,6.67,150,14.13,
R_209_C,6/30/10 10:28 AM,60,6.57,139,22.95,
R_210_C,6/30/10 10:28 AM,60,7.03,155,30.33,
R_111_C,6/30/10 10:28 AM,60,5.97,139,25.79,
R_112_C,6/30/10 10:28 AM,60,7.42,143,28.62,
R_307_C,7/11/10 10:07 AM,60,4.35,100,25.95,
R_308_C,7/11/10 10:07 AM,60,5.78,100,22.65,
R_407_C,7/11/10 10:07 AM,60,5.13,145,18.80,
R_408_C,7/11/10 10:07 AM,60,5.32,151,20.98,
R_106_C,7/6/10 11:07 AM,60,7.00,146,7.85,
R_105_C,7/6/10 11:07 AM,60,6.69,93,26.01,
R_503_C,7/6/10 11:07 AM,60,5.83,126,18.64,
R_504_C,7/6/10 11:07 AM,60,7.09,68,50.84,
R_401_C,7/7/10 10:39 AM,60,6.04,93,43.88,
R_402_C,7/7/10 10:39 AM,60,6.92,97,37.90,
R_201_C,7/7/10 10:39 AM,60,6.43,88,18.59,
R_202_C,7/7/10 10:39 AM,60,6.57,165,15.78,
R_403_C,7/8/10 9:39 AM,60,5.88,212,16.70,
R_404_C,7/8/10 9:39 AM,60,5.85,155,24.60,
R_409_C,7/8/10 9:39 AM,60,5.85,136,29.31,
R_410_C,7/8/10 9:39 AM,60,6.54,152,29.06,
,,,,,,
