SampleID,SalmonellaCulturableSurrogate_strain3895_MPNPerML,DetectionLevel
C-101-S-15,0,ANP
C-101-S-30-T2,2.40E+03,WR
C-101-S-T2,1.10E+04,TNTC
C-102-P-15,0,ANP
C-102-P-30-T2,4.30E+02,WR
C-102-P-T2,2.30E+02,WR
C-105-X-15,0.00E+00,ANP
C-105-X-30-T2,3.00E-02,BDL
C-105-X-T2,3.00E-02,BDL
C-106-P-15,0.00E+00,ANP
C-106-P-30-T2,0.00E+00,ANP
C-106-P-T2,2.90E+01,WR
C-107-C-15,0.00E+00,ANP
C-107-C-30-T2,9.30E+01,WR
C-107-C-T2,1.50E+01,WR
C-108-P-15,0.00E+00,ANP
C-108-P-30-T2,2.30E+01,WR
C-108-P-T2,2.80E+00,WR
C-109-C-15,0.00E+00,ANP
C-109-C-30-T2,2.00E+02,WR
C-109-C-T2,1.10E+04,TNTC
C-110-X-15,0.00E+00,ANP
C-110-X-30-T2,1.10E+01,WR
C-110-X-T2,1.10E+01,TNTC
C-111-S-15,0.00E+00,ANP
C-111-S-30-T2,2.30E+00,WR
C-111-S-T2,3.60E-01,WR
C-112-P-15,0.00E+00,ANP
C-112-P-30-T2,4.40E-01,WR
C-112-P-T2,3.60E-01,WR
C-201-P-15,0.00E+00,ANP
C-201-P-30-T2,2.40E-01,WR
C-201-P-T2,4.40E-01,WR
C-202-S-15,0.00E+00,ANP
C-202-S-30-T2,2.10E-01,WR
C-202-S-T2,2.10E-01,WR
C-203-P-15,0.00E+00,ANP
C-203-P-30-T2,4.30E+02,WR
C-203-P-T2,2.30E+02,WR
C-204-X-15,0.00E+00,ANP
C-204-X-30-T2,3.00E-02,BDL
C-204-X-T2,4.30E-01,WR
C-205-C-15,0.00E+00,ANP
C-205-C-30-T2,1.10E+04,TNTC
C-205-C-T2,1.10E+04,WR
C-206-P-30-T2,2.30E+02,WR
C-206-P-T2,4.30E+02,WR
C-209-C-15,0.00E+00,ANP
C-209-C-30-T2,9.20E+01,WR
C-209-C-T2,9.20E+01,WR
C-210-S-15,0.00E+00,ANP
C-210-S-30-T2,2.30E+01,WR
C-210-S-T2,2.30E+01,WR
C-307-C-15,0.00E+00,ANP
C-307-C-30-T2,9.20E+00,WR
C-307-C-T2,7.30E+00,WR
C-308-X-15,0.00E+00,ANP
C-308-X-30-T2,0.03,BDL
C-308-X-T2,0.03,BDL
C-401-S-15,0.00E+00,ANP
C-401-S-30-T2,2.90E+01,WR
C-401-S-T2,1.20E+01,WR
C-402-X-15,0.00E+00,ANP
C-402-X-30-T2,3.60E-02,WR
C-402-X-T2,0.03,BDL
C-403-C-15,0.00E+00,ANP
C-403-C-30-T2,1.30E-01,WR
C-403-C-drip,1.50E+01,WR
C-403-C-T2,3.60E-01,WR
C-404-P-15,0.00E+00,ANP
C-404-P-30-T2,2.40E+01,WR
C-404-P-drip,2.40E+01,WR
C-404-P-T2,9.30E+00,WR
C-405-X-15,0.00E+00,ANP
C-405-X-30-T2,0.03,BDL
C-405-X-T2,9.30E-01,WR
C-406-S-15,0.00E+00,ANP
C-406-S-30-T2,3.20E-01,WR
C-406-S-T2,1.30E+00,WR
C-407-X-15,0.00E+00,ANP
C-407-X-30-T2,0.03,BDL
C-407-X-T2,0.03,BDL
C-408-P-15,0.00E+00,ANP
C-408-P-30-T2,4.20E+01,WR
C-408-P-T2,2.30E+02,WR
C-409-C-15,0.00E+00,ANP
C-409-C-30-T2,4.40E-01,WR
C-409-C-drip,9.20E-01,WR
C-409-C-T2,3.60E-01,WR
C-410-S-15,0.00E+00,ANP
C-410-S-30-T2,4.60E+01,WR
C-410-S-drip,4.30E+00,WR
C-410-S-T2,4.60E+01,WR
C-411-S-15,0.00E+00,ANP
C-411-S-30-T2,1.50E+02,WR
C-411-S-T2,4.30E+02,WR
C-412-C-15,0.00E+00,ANP
C-412-C-30-T2,1.10E+04,WR
C-412-C-T2,2.90E+03,WR
C-501-X-15,0.00E+00,ANP
C-501-X-30-T2,0.03,BDL
C-501-X-T2,0.03,BDL
C-502-S-15,0.00E+00,ANP
C-502-S-30-T2,9.20E+00,WR
C-502-S-T2,5.20E-01,WR
C-503-C-15,0.00E+00,ANP
C-503-C-30-T2,4.30E+00,WR
C-503-C-T2,2.40E+01,WR
C-504-X-15,0.00E+00,ANP
C-504-X-30-T2,1.50E+00,WR
C-504-X-T2,7.30E-02,WR
