"","plot","result","dl","method"
"1","A-101-S-30-T",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"2","A-101-S-T2",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"3","A-203-P-T2",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"4","A-204-X-30-T",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"5","A-204-X-T2",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"6","A-209-C-30-T",0.0041,"BDL","CampylobacterCulturable_MPNPerML"
"7","A-209-C-T2",0.0041,"BDL","CampylobacterCulturable_MPNPerML"
"8","A-405-X-30-T",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"9","A-406-S-30-T",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"10","A-406-S-T2-a",0.03,"BDL","CampylobacterCulturable_MPNPerML"
"11","A-407-X-30-T",0.0041,"BDL","CampylobacterCulturable_MPNPerML"
"12","A-408-P-T2",2.2,"BDL","CampylobacterCulturable_MPNPerML"
"13","A-410-S-30-T",0.0032,"BDL","CampylobacterCulturable_MPNPerML"
"14","A-410-S-T2",0.0032,"BDL","CampylobacterCulturable_MPNPerML"
"15","A-102-P-30-T",0.16,"WR","CampylobacterCulturable_MPNPerML"
"16","A-102-P-T2",2.9,"WR","CampylobacterCulturable_MPNPerML"
"17","A-104-X-T2",0.29,"WR","CampylobacterCulturable_MPNPerML"
"18","A-105-X-30-T",0.029,"WR","CampylobacterCulturable_MPNPerML"
"19","A-105-X-T2",0.02,"WR","CampylobacterCulturable_MPNPerML"
"20","A-106-P-30-T",0.23,"WR","CampylobacterCulturable_MPNPerML"
"21","A-106-P-T2",0.054,"WR","CampylobacterCulturable_MPNPerML"
"22","A-107-C-30-T",0.017,"WR","CampylobacterCulturable_MPNPerML"
"23","A-107-C-T2",0.0083,"WR","CampylobacterCulturable_MPNPerML"
"24","A-108-P-30-T",0.13,"WR","CampylobacterCulturable_MPNPerML"
"25","A-108-P-T2",0.32,"WR","CampylobacterCulturable_MPNPerML"
"26","A-109-C-40-T",0.29,"WR","CampylobacterCulturable_MPNPerML"
"27","A-109-C-T2",0.93,"WR","CampylobacterCulturable_MPNPerML"
"28","A-110-C-T2-a",0.93,"WR","CampylobacterCulturable_MPNPerML"
"29","A-110-C-T2-b",0.29,"WR","CampylobacterCulturable_MPNPerML"
"30","A-111-S-30-T",0.04,"WR","CampylobacterCulturable_MPNPerML"
"31","A-111-S-T2",0.029,"WR","CampylobacterCulturable_MPNPerML"
"32","A-112-P-30-T",0.07,"WR","CampylobacterCulturable_MPNPerML"
"33","A-112-P-T2",0.019,"WR","CampylobacterCulturable_MPNPerML"
"34","A-201-P-30-T",0.16,"WR","CampylobacterCulturable_MPNPerML"
"35","A-201-P-T2",0.032,"WR","CampylobacterCulturable_MPNPerML"
"36","A-202-S-30-T",0.047,"WR","CampylobacterCulturable_MPNPerML"
"37","A-202-S-T2",0.047,"WR","CampylobacterCulturable_MPNPerML"
"38","A-203-P-30-T",0.21,"WR","CampylobacterCulturable_MPNPerML"
"39","A-205-C-30-T",0.23,"WR","CampylobacterCulturable_MPNPerML"
"40","A-205-C-T2-a",2.4,"WR","CampylobacterCulturable_MPNPerML"
"41","A-206-P-30-T",0.23,"WR","CampylobacterCulturable_MPNPerML"
"42","A-206-P-T2",0.23,"WR","CampylobacterCulturable_MPNPerML"
"43","A-210-S-T2",0.48,"WR","CampylobacterCulturable_MPNPerML"
"44","A-307-C-30-T",0.017,"WR","CampylobacterCulturable_MPNPerML"
"45","A-307-C-T2",0.013,"WR","CampylobacterCulturable_MPNPerML"
"46","A-308-X-30-T",2.2,"WR","CampylobacterCulturable_MPNPerML"
"47","A-308-X-T2",0.013,"WR","CampylobacterCulturable_MPNPerML"
"48","A-401-S-30-T",0.021,"WR","CampylobacterCulturable_MPNPerML"
"49","A-401-S-T2",0.013,"WR","CampylobacterCulturable_MPNPerML"
"50","A-402-X-30-T",0.023,"WR","CampylobacterCulturable_MPNPerML"
"51","A-402-X-T2",0.023,"WR","CampylobacterCulturable_MPNPerML"
"52","A-403-C-30-T",0.03,"WR","CampylobacterCulturable_MPNPerML"
"53","A-403-C-T2",0.92,"WR","CampylobacterCulturable_MPNPerML"
"54","A-404-P-30-T",0.034,"WR","CampylobacterCulturable_MPNPerML"
"55","A-404-P-T2",0.044,"WR","CampylobacterCulturable_MPNPerML"
"56","A-405-X-T2",0.062,"WR","CampylobacterCulturable_MPNPerML"
"57","A-407-X-T2",0.48,"WR","CampylobacterCulturable_MPNPerML"
"58","A-408-P-30-T",0.48,"WR","CampylobacterCulturable_MPNPerML"
"59","A-409-C-30-T",0.0096,"WR","CampylobacterCulturable_MPNPerML"
"60","A-409-C-T2",0.0064,"WR","CampylobacterCulturable_MPNPerML"
"61","A-411-S-T2",0.092,"WR","CampylobacterCulturable_MPNPerML"
"62","A-412-C-T2",0.21,"WR","CampylobacterCulturable_MPNPerML"
"63","A-501-X-30-T",0.013,"WR","CampylobacterCulturable_MPNPerML"
"64","A-501-X-T2",0.021,"WR","CampylobacterCulturable_MPNPerML"
"65","A-502-S-30-T",0.021,"WR","CampylobacterCulturable_MPNPerML"
"66","A-502-S-T2",0.0042,"WR","CampylobacterCulturable_MPNPerML"
"67","A-503-C-30-T",0.013,"WR","CampylobacterCulturable_MPNPerML"
"68","A-503-C-T2",0.0063,"WR","CampylobacterCulturable_MPNPerML"
"69","A-504-X-30-T",0.0096,"WR","CampylobacterCulturable_MPNPerML"
"70","A-504-X-T2",0.0096,"WR","CampylobacterCulturable_MPNPerML"
"71","A-101-S-30-T",0.99,"BDL","Campylobacter_GUPerML"
"72","A-101-S-T2",2.034,"BDL","Campylobacter_GUPerML"
"73","A-102-P-30-T",5.654737012,"BQL","Campylobacter_GUPerML"
"74","A-102-P-T2",0.54,"BDL","Campylobacter_GUPerML"
